MHz,400,,,,,,
Temperature,0,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
D-GalNAc-ol, , H11,3.8, , ,0, 
D-GalNAc-ol, , H12,3.74, , ,0, 
D-GalNAc-ol, , H2,4.24, , ,0, 
D-GalNAc-ol, , H3,4.04, , ,0, 
D-GalNAc-ol, , H4,3.62, , ,0, 
D-GalNAc-ol, , H5,4.19, , ,0, 
D-GalNAc-ol, , H61,3.92, , ,0, 
D-GalNAc-ol, , H62,3.67, , ,0, 
D-GalNAc-ol, , NAC,2.05, , ,0, 
b-D-GlcpNAc,6, H1,4.56, , ,0, 
b-D-GlcpNAc,6, H2,3.71, , ,0, 
b-D-GlcpNAc,6, H3,3.53, , ,0, 
b-D-GlcpNAc,6, H4,3.44, , ,0, 
b-D-GlcpNAc,6, H5,3.45, , ,0, 
b-D-GlcpNAc,6, H61,3.94, , ,0, 
b-D-GlcpNAc,6, H62,3.74, , ,0, 
b-D-GlcpNAc,6, NAC,2.05, , ,0, 
b-D-Galp,3, H1,4.69, , ,0, 
b-D-Galp,3, H2,3.84, , ,0, 
b-D-Galp,3, H3,4.2, , ,0, 
b-D-Galp,3, H4,4, , ,0, 
b-D-Galp,3, H5,3.77, , ,0, 
b-D-Galp," 3,3", H1,5.03, , ,0, 
b-D-Galp," 3,3", H2,3.72, , ,0, 
b-D-Galp," 3,3", H3,3.95, , ,0, 
b-D-Galp," 3,3", H4,4.05, , ,0, 
b-D-Galp," 3,3", H5,3.79, , ,0, 
a-D-Galp," 4,3,3", H1,4.98, , ,0, 
a-D-Galp," 4,3,3", H2,3.85, , ,0, 
a-D-Galp," 4,3,3", H3,3.96, , ,0, 
a-D-Galp," 4,3,3", H4,4.04, , ,0, 
a-D-Galp," 4,3,3", H5,4.34, , ,0, 
a-D-Galp," 4,3,3", H6,3.71, , ,0, 
a-L-Fucp," 2,3,3", H1,5.42, , ,0, 
a-L-Fucp," 2,3,3", H2,3.78, , ,0, 
a-L-Fucp," 2,3,3", H3,3.86, , ,0, 
a-L-Fucp," 2,3,3", H4,3.81, , ,0, 
a-L-Fucp," 2,3,3", H5,4.3, , ,0, 
a-L-Fucp," 2,3,3", CH3,1.19, , ,0, 
a-L-Fucp," 2,3", H1,5.34, , ,0, 
a-L-Fucp," 2,3", H2,3.8, , ,0, 
a-L-Fucp," 2,3", H3,3.71, , ,0, 
a-L-Fucp," 2,3", H4,3.81, , ,0, 
a-L-Fucp," 2,3", H5,4.31, , ,0, 
a-L-Fucp," 2,3", CH3,1.24, , ,0,
D-GalNAc-ol, , C1,61.43, , ,0, 
D-GalNAc-ol, , C2,53.82, , ,0, 
D-GalNAc-ol, , C3,75.58, , ,0, 
D-GalNAc-ol, , C4,70.53, , ,0, 
D-GalNAc-ol, , C5,68.88, , ,0, 
D-GalNAc-ol, , C6,71.67, , ,0, 
D-GalNAc-ol, , CH3,23.13, , ,0, 
b-D-GlcpNAc,6, C1,102.26, , ,0, 
b-D-GlcpNAc,6, C2,56.27, , ,0, 
b-D-GlcpNAc,6, C3,74.8, , ,0, 
b-D-GlcpNAc,6, C4,70.75, , ,0, 
b-D-GlcpNAc,6, C5,76.67, , ,0, 
b-D-GlcpNAc,6, C6,61.64, , ,0, 
b-D-GlcpNAc,6, CH3,23.13, , ,0, 
b-D-Galp,3, C1,101.29, , ,0, 
b-D-Galp,3, C2,74.14, , ,0, 
b-D-Galp,3, C3,80.36, , ,0, 
b-D-Galp,3, C4,70.27, , ,0, 
b-D-Galp,3, C5,76.36, , ,0, 
b-D-Galp,3, C6,60.93, , ,0, 
b-D-Galp," 3,3", C1,101.93, , ,0, 
b-D-Galp," 3,3", C2,77.49, , ,0, 
b-D-Galp," 3,3", C3,73.8, , ,0, 
b-D-Galp," 3,3", C4,79.76, , ,0, 
b-D-Galp," 3,3", C5,75.71, , ,0, 
b-D-Galp," 3,3", C6,60.93, , ,0, 
a-D-Galp," 4,3,3", C1,101.61, , ,0, 
a-D-Galp," 4,3,3", C2,68.49, , ,0, 
a-D-Galp," 4,3,3", C3,69.88, , ,0, 
a-D-Galp," 4,3,3", C4,69.84, , ,0, 
a-D-Galp," 4,3,3", C5,71.93, , ,0, 
a-D-Galp," 4,3,3", C6,61.43, , ,0, 
a-L-Fucp," 2,3,3", C1,98.5, , ,0, 
a-L-Fucp," 2,3,3", C2,68.84, , ,0, 
a-L-Fucp," 2,3,3", C3,70.1, , ,0, 
a-L-Fucp," 2,3,3", C4,72.8, , ,0, 
a-L-Fucp," 2,3,3", C5,67.23, , ,0, 
a-L-Fucp," 2,3,3", C6,16.42, , ,0, 
a-L-Fucp," 2,3", C1,100.56, , ,0, 
a-L-Fucp," 2,3", C2,68.79, , ,0, 
a-L-Fucp," 2,3", C3,69.97, , ,0, 
a-L-Fucp," 2,3", C4,72.8, , ,0, 
a-L-Fucp," 2,3", C5,68.1, , ,0, 
a-L-Fucp," 2,3", C6,16.32, , ,0,
