MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Note,a)3.67-3.70 ppm,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Tyr, , H2,3.939, , ,0, 
Tyr, , H31,3.232,2,3,14.5, 
Tyr, , H32,3.082,2, 3',8.5, 
Tyr, , H5,7.136, , ,0, 
Tyr, , H6,7.284, , ,0, 
b-D-Galp,7, H1,5.119,1,2,7.5, 
b-D-Galp,7, H2,3.932,2,3,10, 
b-D-Galp,7, H3,3.834,3,4,3, 
b-D-Galp,7, H4,4.097,4,5,1, 
b-D-Galp,7, H5,3.88, , ,0, 
b-D-Galp,7, H61,3.77, , ,0, 
b-D-Galp,7, H62,3.76, , ,0, 
a-L-Rhap," 3,7", H1,5.064,1,2,1, 
a-L-Rhap," 3,7", H2,4.201,2,3,4, 
a-L-Rhap," 3,7", H3,3.939,3,4,10, 
a-L-Rhap," 3,7", H4,3.58, , ,0, 
a-L-Rhap," 3,7", H5,3.896, , ,0, 
a-L-Rhap," 3,7", CH3,1.31, , ,0, 
a-L-Rhap," 3,3,7", H1,5.05,1,2,1, 
a-L-Rhap," 3,3,7", H2,4.173,2,3,4, 
a-L-Rhap," 3,3,7", H3,3.926,3,4,10, 
a-L-Rhap," 3,3,7", H4,3.56, , ,0, 
a-L-Rhap," 3,3,7", H5,3.902, , ,0, 
a-L-Rhap," 3,3,7", CH3,1.31, , ,0, 
a-L-Rhap," 3,3,3,7", H1,5.102,1,2,1, 
a-L-Rhap," 3,3,3,7", H2,4.3,2,3,4, 
a-L-Rhap," 3,3,3,7", H3,3.945,3,4,10, 
a-L-Rhap," 3,3,3,7", H4,3.528, , ,0, 
a-L-Rhap," 3,3,3,7", H5,3.901, , ,0, 
a-L-Rhap," 3,3,3,7", CH3,1.31, , ,0, 
a-D-Manp," 3,3,3,3,7", H1,5.054,1,2,1, 
a-D-Manp," 3,3,3,3,7", H2,4.003, , ,0, 
a-D-Manp," 3,3,3,3,7", H4,3.84, , ,0, 
a-D-Manp," 3,3,3,3,7", H5,3.94, , ,0, 
a-D-Manp," 3,3,3,3,7", H6,3.67, , ,0, a
