MHz,500,,,,,,
Temperature,50,,,,,,
Spectrometer,Bruker DRX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-L-XYLP, , H1,4.47, , , , note
B-L-XYLP, , H2,3.31, , , , note
B-L-XYLP, , H3,3.46, , , , note
B-L-XYLP, , H4,3.63, , , , note
B-L-XYLP, , H5,3.37, , , , note
B-L-XYLP, , H6,3.91, , , , note
A-L-RHAP,1, H1,5, , , , note
A-L-RHAP,1, H2,4.17, , , , note
A-L-RHAP,1, H3,4.01, , , , note
A-L-RHAP,1, H4,3.78, , , , note
A-L-RHAP,1, H5,3.86, , , , note
A-L-RHAP,1, H6,1.3, , , , note
A-L-RHAP," 1, 3", H1,5.2, , , , note
A-L-RHAP," 1, 3", H2,4.2, , , , note
A-L-RHAP," 1, 3", H3,3.9, , , , note
A-L-RHAP," 1, 3", H4,3.52, , , , note
A-L-RHAP," 1, 3", H5,3.93, , , , note
A-L-RHAP," 1, 3", H6,1.34, , , , note
B-L-XYLP," 1, 3, 2", H1,4.44, , , , note
B-L-XYLP," 1, 3, 2", H2,3.34, , , , note
B-L-XYLP," 1, 3, 2", H3,3.49, , , , note
B-L-XYLP," 1, 3, 2", H4,3.66, , , , note
B-L-XYLP," 1, 3, 2", H5,3.3, , , , note
B-L-XYLP," 1, 3, 2", H6,4.02, , , , note
A-L-RHAP," 1, 3, 3", H1,5.22, , , , note
A-L-RHAP," 1, 3, 3", H2,4.09, , , , note
A-L-RHAP," 1, 3, 3", H3,3.94, , , , note
A-L-RHAP," 1, 3, 3", H4,3.53, , , , note
A-L-RHAP," 1, 3, 3", H5,3.94, , , , note
A-L-RHAP," 1, 3, 3", H15,1.35, , , , note
B-L-XYLP, , C1,105.5, , , , note
B-L-XYLP, , C2,75, , , , note
B-L-XYLP, , C3,77.1, , , , note
B-L-XYLP, , C4,71.2, , , , note
B-L-XYLP, , C5,66.6, , , , note
A-L-RHAP,1, C1,103.3, , , , note
A-L-RHAP,1, C2,71.6, , , , note
A-L-RHAP,1, C3,75.9, , , , note
A-L-RHAP,1, C4,82.4, , , , note
A-L-RHAP,1, C5,70.1, , , , note
A-L-RHAP,1, C6,18.3, , , , note
A-L-RHAP," 1, 3", C1,101.3, , , , note
A-L-RHAP," 1, 3", C2,79.6, , , , note
A-L-RHAP," 1, 3", C3,79.3, , , , note
A-L-RHAP," 1, 3", C4,73.5, , , , note
A-L-RHAP," 1, 3", C5,70.6, , , , note
A-L-RHAP," 1, 3", C6,18.1, , , , note
B-L-XYLP," 1, 3, 2", C1,104.5, , , , note
B-L-XYLP," 1, 3, 2", C2,74.2, , , , note
B-L-XYLP," 1, 3, 2", C3,77.1, , , , note
B-L-XYLP," 1, 3, 2", C4,70.7, , , , note
B-L-XYLP," 1, 3, 2", C5,66.6, , , , note
A-L-RHAP," 1, 3, 3", C1,102.1, , , , note
A-L-RHAP," 1, 3, 3", C2,79.3, , , , note
A-L-RHAP," 1, 3, 3", C3,71.4, , , , note
A-L-RHAP," 1, 3, 3", C4,73.7, , , , note
A-L-RHAP," 1, 3, 3", C5,70.6, , , , note
A-L-RHAP," 1, 3, 3", C6,18, , , , note
