MHz,600.13,,,,,,,
Temperature,27,,,,,,,
Solvent,H2O,,,,,,,
Spectrometer,Bruker AMX 600,,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note,
A-D-GLCPN, , H1,5.594, , , , note,
A-D-GLCPN, , H2,3.278, , , , note,
A-D-GLCPN, , H3,3.841, , , , note,
A-D-GLCPN, , H4,3.665, , , , note,
A-D-GLCPN, , H5,4.139, , , , note,
A-D-GLCPN, , H6,3.716, , , , note,
A-D-GLCPN, , H7,4.273, , , , note,
B-D-GLCPN,6, H1,4.752, , , , note,
B-D-GLCPN,6, H2,2.983, , , , note,
B-D-GLCPN,6, H3,3.792, , , , note,
B-D-GLCPN,6, H4,3.684, , , , note,
B-D-GLCPN,6, H5,3.684, , , , note,
B-D-GLCPN,6, H61,3.393, , , , note,
B-D-GLCPN,6, H62,3.698, , , , note,
A-D-KDOP," 6, 6", H31,2.147, , , , note,ax
A-D-KDOP," 6, 6", H32,1.973, , , , note,eq
A-D-KDOP," 6, 6", H4,3.975, , , , note,
A-D-KDOP," 6, 6", H5,4.407, , , , note,
A-D-KDOP," 6, 6", H6,3.604, , , , note,
A-D-KDOP," 6, 6", H7,3.75, , , , note,
A-D-KDOP," 6, 6", H81,3.556, , , , note,
A-D-KDOP," 6, 6", H82,3.857, , , , note,
A-D-KDOP," 6, 6, 4", H31,1.765, , , , note,
A-D-KDOP," 6, 6, 4", H32,1.936, , , , note,
A-D-KDOP," 6, 6, 4", H4,4.115, , , , note,
A-D-KDOP," 6, 6, 4", H5,4.006, , , , note,
A-D-KDOP," 6, 6, 4", H6,3.636, , , , note,
A-D-KDOP," 6, 6, 4", H7,3.949, , , , note,
A-D-KDOP," 6, 6, 4", H81,3.722, , , , note,
A-D-KDOP," 6, 6, 4", H82,3.965, , , , note,
A-D-KDOP," 6, 6, 5", H31,2.017, , , , note,
A-D-KDOP," 6, 6, 5", H32,2.428, , , , note,
A-D-KDOP," 6, 6, 5", H4,4.428, , , , note,
A-D-KDOP," 6, 6, 5", H5,4.273, , , , note,
A-D-KDOP," 6, 6, 5", H6,4.481, , , , note,
A-D-KDOP," 6, 6, 5", H7,4.009, , , , note,
A-D-KDOP," 6, 6, 5", H81,3.829, , , , note,
A-D-KDOP," 6, 6, 5", H82,3.943, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", H1,5.206, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", H2,3.008, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", H3,3.968, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", H4,3.796, , , , note,
