MHz,750.04,,,,,,
Temperature,27,,,,,,
Solvent,H2O,,,,,,
Spectrometer,Varian INOVA 750,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-D-GLCPN, , H1,5.646, , , , note
A-D-GLCPN, , H2,3.348, , , , note
A-D-GLCPN, , H3,3.91, , , , note
A-D-GLCPN, , H4,3.629, , , , note
A-D-GLCPN, , H5,4.05, , , , note
A-D-GLCPN, , H6 a,3.819, , , , note
A-D-GLCPN, , H 6b,4.097, , , , note
B-D-GLCPN,6, H1,4.691, , , , note
B-D-GLCPN,6, H2,3.766, , , , note
B-D-GLCPN,6, H3,3.72, , , , note
B-D-GLCPN,6, H4,3.752, , , , note
B-D-GLCPN,6, H5,3.68, , , , note
B-D-GLCPN,6, H6 a,3.381, , , , note
B-D-GLCPN,6, H6 b,3.666, , , , note
A-D-KDOP," 6, 6", H3 ax,2.081, , , , note
A-D-KDOP," 6, 6", H3 eq,1.974, , , , note
A-D-KDOP," 6, 6", H4,3.96, , , , note
A-D-KDOP," 6, 6", H5,4.297, , , , note
A-D-KDOP," 6, 6", H6,3.503, , , , note
A-D-KDOP," 6, 6", H7,3.684, , , , note
A-D-KDOP," 6, 6", H8a,3.547, , , , note
A-D-KDOP," 6, 6", H8 b,3.857, , , , note
A-D-KDOP," 6, 6, 4", H3 ax,1.744, , , , note
A-D-KDOP," 6, 6, 4", H3 eq,1.998, , , , note
A-D-KDOP," 6, 6, 4", H4,4.031, , , , note
A-D-KDOP," 6, 6, 4", H5,3.989, , , , note
A-D-KDOP," 6, 6, 4", H6,3.557, , , , note
A-D-KDOP," 6, 6, 4", H7,3.926, , , , note
A-D-KDOP," 6, 6, 4", H8 a,3.716, , , , note
A-D-KDOP," 6, 6, 4", H8 b,4.003, , , , note
A-D-KDOP," 6, 6, 5", H3 ax,2.056, , , , note
A-D-KDOP," 6, 6, 5", H3 eq,2.432, , , , note
A-D-KDOP," 6, 6, 5", H4,4.463, , , , note
A-D-KDOP," 6, 6, 5", H5,4.195, , , , note
A-D-KDOP," 6, 6, 5", H6,4.378, , , , note
A-D-KDOP," 6, 6, 5", H7,4, , , , note
A-D-KDOP," 6, 6, 5", H8a,3.99, , , , note
A-D-KDOP," 6, 6, 5", H8 b,3.99, , , , note
A-D-GLCPNAC," 6, 6, 5, 4", H1,5.28, , , , note
A-D-GLCPNAC," 6, 6, 5, 4", H2,3.469, , , , note
A-D-GLCPNAC," 6, 6, 5, 4", H3,4.108, , , , note
A-D-GLCPNAC," 6, 6, 5, 4", H4,3.915, , , , note
A-D-GLCPNAC," 6, 6, 5, 4", H5,4.153, , , , note
A-D-GLCPN," 6, 6, 5, 4, 4", H1,5.745, , , , note
A-D-GLCPN," 6, 6, 5, 4, 4", H2,3.254, , , , note
A-D-GLCPN," 6, 6, 5, 4, 4", H3,3.848, , , , note
A-D-GLCPN," 6, 6, 5, 4, 4", H4,3.423, , , , note
A-D-GLCPN," 6, 6, 5, 4, 4", H5,3.807, , , , note
A-D-KDOP," 6, 6, 5, 5", H3 ax,1.869, , , , note
A-D-KDOP," 6, 6, 5, 5", H3 eq,2.299, , , , note
