MHz,0,,,,,,
Temperature,298,,,,,,
Solvent,D2O,,,,,,
Spectrometer,?,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-ARAF, , H1,5.17, , , , note
A-L-ARAF,2, H1,5.11, , , , note
A-L-ARAF,2, H2,4.055, , , , note
A-L-ARAF,2, H3,3.885, , , , note
A-L-ARAF,2, H4,4, , , , note
A-L-ARAF,2, H51,3.76, , , , note
A-L-ARAF,2, H52,3.66, , , , note
A-L-ARAF,3, H1,5.11, , , , note
A-L-ARAF,3, H2,4.055, , , , note
A-L-ARAF,3, H3,3.885, , , , note
A-L-ARAF,3, H4,4, , , , note
A-L-ARAF,3, H51,3.76, , , , note
A-L-ARAF,3, H52,3.66, , , , note
A-L-ARAF,5, H1,5.01, , , , note
A-L-ARAF,5, H2,4.05, , , , note
A-L-ARAF,5, H3,3.93, , , , note
A-L-ARAF,5, H4,4.13, , , , note
A-L-ARAF,5, H51,3.8, , , , note
A-L-ARAF,5, H52,3.73, , , , note
A-L-ARAF," 5, 5", H1,5.17, , , , note
A-L-ARAF," 5, 5", H2,4.085, , , , note
A-L-ARAF," 5, 5", H3,4.085, , , , note
A-L-ARAF," 5, 5", H4,4.215, , , , note
A-L-ARAF," 5, 5, 2", H1,5.11, , , , note
A-L-ARAF," 5, 5, 2", H2,4.055, , , , note
A-L-ARAF," 5, 5, 2", H3,3.885, , , , note
A-L-ARAF," 5, 5, 2", H4,4, , , , note
A-L-ARAF," 5, 5, 2", H51,3.76, , , , note
A-L-ARAF," 5, 5, 2", H52,3.66, , , , note
A-L-ARAF," 5, 5, 5", H1,5.01, , , , note
A-L-ARAF," 5, 5, 5, 3", H1,5.11, , , , note
A-L-ARAF," 5, 5, 5, 3", H2,4.055, , , , note
A-L-ARAF," 5, 5, 5, 3", H3,3.885, , , , note
A-L-ARAF," 5, 5, 5, 3", H4,4, , , , note
A-L-ARAF," 5, 5, 5, 3", H51,3.76, , , , note
A-L-ARAF," 5, 5, 5, 3", H52,3.66, , , , note
A-L-ARAF, , C1,107.2, , , , note
A-L-ARAF, , C2,87.67, , , , note
A-L-ARAF, , C3,75.98, , , , note
A-L-ARAF, , C4,79.88, , , , note
A-L-ARAF, , C5,67.2, , , , note
A-L-ARAF,2, C1,107.9, , , , note
A-L-ARAF,2, C2,82.13, , , , note
A-L-ARAF,2, C3,77.33, , , , note
A-L-ARAF,2, C4,84.81, , , , note
A-L-ARAF,2, C5,61.9, , , , note
A-L-ARAF,3, C1,107.9, , , , note
A-L-ARAF,3, C2,82.13, , , , note
A-L-ARAF,3, C3,77.33, , , , note
A-L-ARAF,3, C4,84.81, , , , note
A-L-ARAF,3, C5,61.9, , , , note
A-L-ARAF,5, C1,108.3, , , , note
A-L-ARAF,5, C2,81.59, , , , note
A-L-ARAF,5, C3,77.5, , , , note
A-L-ARAF,5, C4,83.12, , , , note
A-L-ARAF,5, C5,67.65, , , , note
A-L-ARAF," 5, 5", C1,107.2, , , , note
A-L-ARAF," 5, 5, 2", C1,107.9, , , , note
A-L-ARAF," 5, 5, 2", C2,82.13, , , , note
A-L-ARAF," 5, 5, 2", C3,77.33, , , , note
A-L-ARAF," 5, 5, 2", C4,84.81, , , , note
A-L-ARAF," 5, 5, 2", C5,61.9, , , , note
A-L-ARAF," 5, 5, 5", C1,108.3, , , , note
A-L-ARAF," 5, 5, 5", C5,67.65, , , , note
A-L-ARAF," 5, 5, 5, 3", C1,107.9, , , , note
A-L-ARAF," 5, 5, 5, 3", C2,8.13, , , , note
A-L-ARAF," 5, 5, 5, 3", C3,77.33, , , , note
A-L-ARAF," 5, 5, 5, 3", C4,84.81, , , , note
A-L-ARAF," 5, 5, 5, 3", C5,61.9, , , , note
