MHz,400,,,,,,
Temperature,328,,,,,,
Solvent,HYD 721 DP in D2O,,,,,,
Spectrometer,Bruker DRX-400,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCP, , H1,4.51, , , , note
B-D-GLCP, , H2,3.36, , , , note
B-D-GLCP, , H3,3.8, , , , note
B-D-GLCP, , H4,3.65, , , , note
B-D-GLCP, , H5,3.93, , , , note
B-D-GLCP, , H6,3.72, , , , note
A-D-GALP,4, H1,5.45, , , , note
A-D-GALP,4, H2,4.17, , , , note
A-D-GALP,4, H3,4.06, , , , note
A-D-GALP,4, H4,4.45, , , , note
A-D-GALP,4, H5,4.03, , , , note
A-D-GALP,4, H6,3.7, , , , note
B-D-GALP," 4, 3", H1,4.66, , , , note
B-D-GALP," 4, 3", H2,3.78, , , , note
B-D-GALP," 4, 3", H3,3.81, , , , note
B-D-GALP," 4, 3", H4,4.13, , , , note
B-D-GALP," 4, 3", H5,3.68, , , , note
B-D-GALP," 4, 3", H6,3.67, , , , note
B-D-GLCP," 4, 4", H1,4.92, , , , note
B-D-GLCP," 4, 4", H2,3.36, , , , note
B-D-GLCP," 4, 4", H3,3.71, , , , note
B-D-GLCP," 4, 4", H4,3.64, , , , note
B-D-GLCP," 4, 4", H5,3.54, , , , note
B-D-GLCP," 4, 4", H6,3.89, , , , note
B-D-GLCP, , C1,104.5, , , , note
B-D-GLCP, , C2,75.1, , , , note
B-D-GLCP, , C3,77.9, , , , note
B-D-GLCP, , C4,80.8, , , , note
B-D-GLCP, , C5,76.6, , , , note
B-D-GLCP, , C6,62.8, , , , note
A-D-GALP,4, C1,101.8, , , , note
A-D-GALP,4, C2,70.1, , , , note
A-D-GALP,4, C3,80.7, , , , note
A-D-GALP,4, C4,78.2, , , , note
A-D-GALP,4, C5,73, , , , note
A-D-GALP,4, C6,62.6, , , , note
B-D-GALP," 4, 3", C1,106.2, , , , note
B-D-GALP," 4, 3", C2,72.3, , , , note
B-D-GALP," 4, 3", C3,84.3, , , , note
B-D-GALP," 4, 3", C4,75.3, , , , note
B-D-GALP," 4, 3", C5,76.8, , , , note
B-D-GALP," 4, 3", C6,63, , , , note
B-D-GLCP," 4, 4", C1,104.1, , , , note
B-D-GLCP," 4, 4", C2,75.5, , , , note
B-D-GLCP," 4, 4", C3,76.1, , , , note
B-D-GLCP," 4, 4", C4,79, , , , note
B-D-GLCP," 4, 4", C5,77.1, , , , note
B-D-GLCP," 4, 4", C6,62.4, , , , note
