MHz,500,,,,,,
Temperature,50,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker Avance DXM 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCP2AC," 4, 4", H1,4.41, , , , note
B-D-GLCP2AC," 4, 4", H2,3.26, , , , note
B-D-GLCP2AC," 4, 4", H3,3.6, , , , note
B-D-GLCP2AC," 4, 4", H4,3.53, , , , note
B-D-GLCP2AC," 4, 4", H5,3.51, , , , note
B-D-GLCP2AC," 4, 4", H61,3.82, , , , note
B-D-GLCP2AC," 4, 4", H62,3.66, , , , note
B-D-MANP," 4, 4, 4", H1,4.65, , , , note
B-D-MANP," 4, 4, 4", H2,4.01, , , , note
B-D-MANP," 4, 4, 4", H3,3.71, , , , note
B-D-MANP," 4, 4, 4", H4,3.79, , , , note
B-D-MANP," 4, 4, 4", H5,3.64, , , , note
B-D-MANP," 4, 4, 4", H61,3.92, , , , note
B-D-MANP," 4, 4, 4", H62,3.79, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H1,4.86, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H2,5.41, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H3,4.01, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H4,3.79, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H5,3.6, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H61,3.92, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", H62,3.79, , , , note
B-D-MANP," 4, 4, 4, 6", H1,4.1, , , , note
B-D-MANP," 4, 4, 4, 6", H3,3.92, , , , note
B-D-MANP," 4, 4, 4, 6, 3", H1,4.77, , , , note
B-D-MANP," 4, 4, 4, 6, 3", H3,3.68, , , , note
B-D-MANP," 4, 4, 4, 6, 3", H4,3.71, , , , note
B-D-MANP," 4, 4, 4, 6, 3", H5,3.39, , , , note
B-D-MANP," 4, 4, 4, 6, 3", H61,3.79, , , , note
B-D-MANP," 4, 4, 4, 6, 3", H62,3.79, , , , note
B-D-GLCP2AC," 4, 4", C1,102.9, , , , note
B-D-GLCP2AC," 4, 4", C2,73.1, , , , note
B-D-GLCP2AC," 4, 4", C3,74.4, , , , note
B-D-GLCP2AC," 4, 4", C4,78.9, , , , note
B-D-GLCP2AC," 4, 4", C5,75.2, , , , note
B-D-GLCP2AC," 4, 4", C6,60.7, , , , note
B-D-MANP," 4, 4, 4", C1,100.5, , , , note
B-D-MANP," 4, 4, 4", C2,70.9, , , , note
B-D-MANP," 4, 4, 4", C3,71.8, , , , note
B-D-MANP," 4, 4, 4", C4,76.9, , , , note
B-D-MANP," 4, 4, 4", C5,75.4, , , , note
B-D-MANP," 4, 4, 4", C6,60.9, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", C1,99.5, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", C2,73.3, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", C3,70.6, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", C4,76.9, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", C5,75.4, , , , note
B-D-MANP2AC," 4, 4, 4, 4, 4", C6,60.9, , , , note
B-D-MANP," 4, 4, 4, 6", C1,100.3, , , , note
B-D-MANP," 4, 4, 4, 6", C2,70.2, , , , note
B-D-MANP," 4, 4, 4, 6", C3,71.7, , , , note
B-D-MANP," 4, 4, 4, 6", C4,76.9, , , , note
B-D-MANP," 4, 4, 4, 6", C5,74, , , , note
B-D-MANP," 4, 4, 4, 6", C6,67, , , , note
B-D-MANP," 4, 4, 4, 6, 3", C1,101.7, , , , note
B-D-MANP," 4, 4, 4, 6, 3", C2,69.1, , , , note
B-D-MANP," 4, 4, 4, 6, 3", C3,80.7, , , , note
B-D-MANP," 4, 4, 4, 6, 3", C4,65, , , , note
B-D-MANP," 4, 4, 4, 6, 3", C5,74.4, , , , note
B-D-MANP," 4, 4, 4, 6, 3", C6,60.9, , , , note
