MHz,270,,,,,,
Temperature,75,,,,,,
Solvent,D2O,,,,,,
Spectrometer,"Jeol GSX-270, Varian Mercury 300, Inova 600",,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GALPNAC, , H1,4.86, , , , note
B-D-GALPNAC, , H2,3.51, , , , note
B-D-GALPNAC, , H3,3.71, , , , note
B-D-GALPNAC, , H4,3.93, , , , note
B-D-GALPNAC, , H5,3.68, , , , note
B-D-GALPNAC, , H6,3.78, , , , note
B-D-GLCP,3, H1,4.61, , , , note
B-D-GLCP,3, H2,3.6, , , , note
B-D-GLCP,3, H3,3.68, , , , note
B-D-GLCP,3, H4,3.67, , , , note
B-D-GLCP,3, H5,3.54, , , , note
B-D-GLCP,3, H61,3.81, , , , note
B-D-GLCP,3, H62,3.93, , , , note
B-D-GLCPNAC," 3, 2", H1,4.87, , , , note
B-D-GLCPNAC," 3, 2", H2,3.72, , , , note
B-D-GLCPNAC," 3, 2", H3,3.54, , , , note
B-D-GLCPNAC," 3, 2", H4,3.46, , , , note
B-D-GLCPNAC," 3, 2", H5,3.38, , , , note
B-D-GLCPNAC," 3, 2", H61,3.77, , , , note
B-D-GLCPNAC," 3, 2", H62,3.92, , , , note
B-D-GALP," 3, 4", H1,4.47, , , , note
B-D-GALP," 3, 4", H2,3.74, , , , note
B-D-GALP," 3, 4", H3,3.83, , , , note
B-D-GALP," 3, 4", H4,4.38, , , , note
B-D-GALP," 3, 4", H5,3.74, , , , note
B-D-GALP," 3, 4", H61,3.77, , , , note
B-D-GALP," 3, 4", H62,3.82, , , , note
B-D-GALP," 3, 4, 4", H1,4.86, , , , note
B-D-GALP," 3, 4, 4", H2,3.51, , , , note
B-D-GALP," 3, 4, 4", H3,3.71, , , , note
B-D-GALP," 3, 4, 4", H4,3.93, , , , note
B-D-GALP," 3, 4, 4", H5,3.68, , , , note
B-D-GALP," 3, 4, 4", H6,3.78, , , , note
B-D-GALPNAC, , C1,104, , , , note
B-D-GALPNAC, , C2,52.5, , , , note
B-D-GALPNAC, , C3,80.6, , , , note
B-D-GALPNAC, , C4,68.7, , , , note
B-D-GALPNAC, , C5,75.5, , , , note
B-D-GALPNAC, , C6,62, , , , note
B-D-GLCP,3, C1,103, , , , note
B-D-GLCP,3, C2,79.9, , , , note
B-D-GLCP,3, C3,76.5, , , , note
B-D-GLCP,3, C4,79.5, , , , note
B-D-GLCP,3, C5,75.3, , , , note
B-D-GLCP,3, C6,60.9, , , , note
B-D-GLCPNAC," 3, 2", C1,102.2, , , , note
B-D-GLCPNAC," 3, 2", C2,56.8, , , , note
B-D-GLCPNAC," 3, 2", C3,75.1, , , , note
B-D-GLCPNAC," 3, 2", C4,70.9, , , , note
B-D-GLCPNAC," 3, 2", C5,76.8, , , , note
B-D-GLCPNAC," 3, 2", C6,61.8, , , , note
B-D-GALP," 3, 4", C1,103.9, , , , note
B-D-GALP," 3, 4", C2,71.3, , , , note
B-D-GALP," 3, 4", C3,82.5, , , , note
B-D-GALP," 3, 4", C4,76.1, , , , note
B-D-GALP," 3, 4", C5,75.3, , , , note
B-D-GALP," 3, 4", C6,61.6, , , , note
B-D-GALP," 3, 4, 4", C1,103.6, , , , note
B-D-GALP," 3, 4, 4", C2,72.4, , , , note
B-D-GALP," 3, 4, 4", C3,73.9, , , , note
B-D-GALP," 3, 4, 4", C4,69.7, , , , note
B-D-GALP," 3, 4, 4", C5,75.8, , , , note
B-D-GALP," 3, 4, 4", C6,61.9, , , , note
