MHz,600,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Varian Unity 600,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-L-RHAP, , H1,4.81, , , , note
B-L-RHAP, , H2,4.23, , , , note
B-L-RHAP, , H3,3.61, , , , note
B-L-RHAP, , H4,3.39, , , , note
B-L-RHAP, , H5,3.35, , , , note
B-L-RHAP, , H6,1.28, , , , note
A-D-GLCP,3, H1,5.06, , , , note
A-D-GLCP,3, H2,3.57, , , , note
A-D-GLCP,3, H3,3.88, , , , note
A-D-GLCP,3, H4,3.76, , , , note
A-D-GLCP,3, H5,4.05, , , , note
B-D-GALP," 3, 4", H1,4.61, , , , note
B-D-GALP," 3, 4", H2,3.71, , , , note
B-D-GALP," 3, 4", H3,3.8, , , , note
B-D-GALP," 3, 4", H4,4.13, , , , note
B-D-GALP," 3, 4", H5,3.72, , , , note
A-D-GLCP," 3, 4, 2", H1,5.27, , , , note
A-D-GLCP," 3, 4, 2", H2,3.48, , , , note
A-D-GLCP," 3, 4, 2", H3,3.65, , , , note
A-D-GLCP," 3, 4, 2", H4,3.38, , , , note
A-D-GLCP," 3, 4, 2", H5,4, , , , note
A-D-GLCP," 3, 4, 2", H61,3.74, , , , note
A-D-GLCP," 3, 4, 2", H62,4, , , , note
B-D-GLCP," 3, 4, 4", H1,4.61, , , , note
B-D-GLCP," 3, 4, 4", H2,3.32, , , , note
B-D-GLCP," 3, 4, 4", H3,3.58, , , , note
B-D-GLCP," 3, 4, 4", H4,3.59, , , , note
B-D-GLCP," 3, 4, 4", H5,3.45, , , , note
B-L-RHAP, , C1,101.7, , , , note
B-L-RHAP, , C2,68.2, , , , note
B-L-RHAP, , C3,77.9, , , , note
B-L-RHAP, , C4,71.3, , , , note
B-L-RHAP, , C5,73.2, , , , note
B-L-RHAP, , C6,17.5, , , , note
A-D-GLCP,3, C1,96.1, , , , note
A-D-GLCP,3, C2,72.4, , , , note
A-D-GLCP,3, C3,72.3, , , , note
A-D-GLCP,3, C4,76.6, , , , note
A-D-GLCP,3, C5,71.5, , , , note
B-D-GALP," 3, 4", C1,102.7, , , , note
B-D-GALP," 3, 4", C2,77.1, , , , note
B-D-GALP," 3, 4", C3,73, , , , note
B-D-GALP," 3, 4", C4,79.7, , , , note
B-D-GALP," 3, 4", C5,73.9, , , , note
A-D-GLCP," 3, 4, 2", C1,105.1, , , , note
A-D-GLCP," 3, 4, 2", C2,74.9, , , , note
A-D-GLCP," 3, 4, 2", C3,76.5, , , , note
A-D-GLCP," 3, 4, 2", C4,78.5, , , , note
A-D-GLCP," 3, 4, 2", C5,75.7, , , , note
B-D-GLCP," 3, 4, 4", C1,99.1, , , , note
B-D-GLCP," 3, 4, 4", C2,72.4, , , , note
B-D-GLCP," 3, 4, 4", C3,75.4, , , , note
B-D-GLCP," 3, 4, 4", C4,70.5, , , , note
B-D-GLCP," 3, 4, 4", C5,72.7, , , , note
