MHz,400.13,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker Avance DPX 400.13 MHZ 1H,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCP, , H1,4.53, , , , note
B-D-GLCP, , H2,3.33, , , , note
B-D-GLCP, , H3,3.51, , , , note
B-D-GLCP, , H4,3.43, , , , note
B-D-GLCP, , H5,3.6, , , , note
B-D-GLCP, , H6a,3.73, , , , note
B-D-GLCP, , H6b,4.07, , , , note
A-D-GALF,6, H1,5.08, , , , note
A-D-GALF,6, H2,4.13, , , , note
A-D-GALF,6, H3,4.14, , , , note
A-D-GALF,6, H4,4.03, , , , note
A-D-GALF,6, H5,3.78, , , , note
A-D-GALF,6, H6a,3.51, , , , note
A-D-GALF,6, H6b,4.04, , , , note
B-D-GLCP," 6, 6", H1,4.49, , , , note
B-D-GLCP," 6, 6", H2,3.36, , , , note
B-D-GLCP," 6, 6", H3,3.63, , , , note
B-D-GLCP," 6, 6", H4,3.48, , , , note
B-D-GLCP," 6, 6", H5,3.8, , , , note
B-D-GLCP," 6, 6", H6a,3.8, , , , note
B-D-GLCP," 6, 6", H6b,3.98, , , , note
B-L-RHAP," 6, 6, 4", H1,4.91, , , , note
B-L-RHAP," 6, 6, 4", H2,4.33, , , , note
B-L-RHAP," 6, 6, 4", H3,3.75, , , , note
B-L-RHAP," 6, 6, 4", H4,3.44, , , , note
B-L-RHAP," 6, 6, 4", H5,3.54, , , , note
B-L-RHAP," 6, 6, 4", CH3,1.36, , , , note
A-L-RHAP," 6, 6, 4, 2", H1,5.27, , , , note
A-L-RHAP," 6, 6, 4, 2", H2,4.07, , , , note
A-L-RHAP," 6, 6, 4, 2", H3,3.85, , , , note
A-L-RHAP," 6, 6, 4, 2", H4,3.47, , , , note
A-L-RHAP," 6, 6, 4, 2", H5,4.07, , , , note
A-L-RHAP," 6, 6, 4, 2", CH3,1.29, , , , note
A-D-GALP," 6, 6, 4, 3", H1,5.15, , , , note
A-D-GALP," 6, 6, 4, 3", H2,3.92, , , , note
A-D-GALP," 6, 6, 4, 3", H3,4.05, , , , note
A-D-GALP," 6, 6, 4, 3", H4,4.36, , , , note
A-D-GALP," 6, 6, 4, 3", H5,3.89, , , , note
A-D-GALP," 6, 6, 4, 3", H6a,3.94, , , , note
A-D-GALP," 6, 6, 4, 3", H6b,4.08, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H1,4.45, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H2,3.56, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H3,3.66, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H4,3.97, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H5,3.88, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H6a,3.97, , , , note
B-D-GALP," 6, 6, 4, 3, 6", H6b,4.06, , , , note
B-D-GLCP, , C1,103.96, , , , note
B-D-GLCP, , C2,74.36, , , , note
B-D-GLCP, , C3,76.95, , , , note
B-D-GLCP, , C4,71.11, , , , note
B-D-GLCP, , C5,76.09, , , , note
B-D-GLCP, , C6,68.21, , , , note
A-D-GALF,6, C1,109.13, , , , note
A-D-GALF,6, C2,82.1, , , , note
A-D-GALF,6, C3,77.98, , , , note
A-D-GALF,6, C4,84.43, , , , note
A-D-GALF,6, C5,70.28, , , , note
A-D-GALF,6, C6,72.24, , , , note
B-D-GLCP," 6, 6", C1,103.89, , , , note
B-D-GLCP," 6, 6", C2,74.25, , , , note
B-D-GLCP," 6, 6", C3,75.98, , , , note
B-D-GLCP," 6, 6", C4,78.23, , , , note
B-D-GLCP," 6, 6", C5,77.17, , , , note
B-D-GLCP," 6, 6", C6,62.33, , , , note
B-L-RHAP," 6, 6, 4", C1,101.46, , , , note
B-L-RHAP," 6, 6, 4", C2,74.69, , , , note
B-L-RHAP," 6, 6, 4", C3,81.14, , , , note
B-L-RHAP," 6, 6, 4", C4,73.47, , , , note
B-L-RHAP," 6, 6, 4", C5,72.24, , , , note
B-L-RHAP," 6, 6, 4", C6,17.96, , , , note
A-L-RHAP," 6, 6, 4, 2", C1,101.62, , , , note
A-L-RHAP," 6, 6, 4, 2", C2,71.55, , , , note
A-L-RHAP," 6, 6, 4, 2", C3,73.33, , , , note
A-L-RHAP," 6, 6, 4, 2", C4,70.28, , , , note
A-L-RHAP," 6, 6, 4, 2", C5,69.54, , , , note
A-L-RHAP," 6, 6, 4, 2", C6,17.74, , , , note
A-D-GALP," 6, 6, 4, 3", C1,98.33, , , , note
A-D-GALP," 6, 6, 4, 3", C2,70.28, , , , note
A-D-GALP," 6, 6, 4, 3", C3,69.21, , , , note
A-D-GALP," 6, 6, 4, 3", C4,70.92, , , , note
A-D-GALP," 6, 6, 4, 3", C5,71.55, , , , note
A-D-GALP," 6, 6, 4, 3", C6,69.85, , , , note
B-D-GALP," 6, 6, 4, 3, 6", C1,104.24, , , , note
B-D-GALP," 6, 6, 4, 3, 6", C2,73.86, , , , note
B-D-GALP," 6, 6, 4, 3, 6", C3,72.01, , , , note
B-D-GALP," 6, 6, 4, 3, 6", C4,69.85, , , , note
B-D-GALP," 6, 6, 4, 3, 6", C5,74.97, , , , note
B-D-GALP," 6, 6, 4, 3, 6", C6,70.28, , , , note
