MHz,400,,,,,,
Temperature,27,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker AMX-600,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
KDO-OL, , H2,4.16, , , , note
KDO-OL, , H31,2, , , , note
KDO-OL, , H32,2.17, , , , note
KDO-OL, , H4,4.02, , , , note
KDO-OL, , H5,4.17, , , , note
KDO-OL, , H6,3.78, , , , note
KDO-OL, , H7,3.89, , , , note
KDO-OL, , H81,3.76, , , , note
KDO-OL, , H82,3.88, , , , note
A-D-GLCPANAC,4, H1,4.97, , , , note
A-D-GLCPANAC,4, H2,4.2, , , , note
A-D-GLCPANAC,4, H3,4.29, , , , note
A-D-GLCPANAC,4, H4,3.94, , , , note
A-D-GLCPANAC,4, H5,4.25, , , , note
B-D-GLCP," 4, 3", H1,4.61, , , , note
B-D-GLCP," 4, 3", H2,3.32, , , , note
B-D-GLCP," 4, 3", H3,3.6, , , , note
B-D-GLCP," 4, 3", H4,3.68, , , , note
B-D-GLCP," 4, 3", H5,3.52, , , , note
B-D-GLCP," 4, 3", H61,3.85, , , , note
B-D-GLCP," 4, 3", H62,3.96, , , , note
B-D-GLCP," 4, 3, 4", H1,4.5, , , , note
B-D-GLCP," 4, 3, 4", H2,3.34, , , , note
B-D-GLCP," 4, 3, 4", H3,3.64, , , , note
B-D-GLCP," 4, 3, 4", H4,3.75, , , , note
B-D-GLCP," 4, 3, 4", H5,3.63, , , , note
B-D-GLCP," 4, 3, 4", H61,3.85, , , , note
B-D-GLCP," 4, 3, 4", H62,3.96, , , , note
B-D-GLCP," 4, 3, 4, 4", H1,4.63, , , , note
B-D-GLCP," 4, 3, 4, 4", H2,3.49, , , , note
B-D-GLCP," 4, 3, 4, 4", H3,3.57, , , , note
B-D-GLCP," 4, 3, 4, 4", H4,3.41, , , , note
B-D-GLCP," 4, 3, 4, 4", H5,3.43, , , , note
B-D-GLCP," 4, 3, 4, 4", H61,3.69, , , , note
B-D-GLCP," 4, 3, 4, 4", H62,3.9, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H1,5.34, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H2,3.51, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H3,3.73, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H4,3.43, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H5,4.04, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H61,3.75, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", H62,3.78, , , , note
A-D-GALPN," 4, 4", H1,5.74, , , , note
A-D-GALPN," 4, 4", H2,3.26, , , , note
A-D-GALPN," 4, 4", H3,3.87, , , , note
A-D-GALPN," 4, 4", H4,3.96, , , , note
A-D-GALPN," 4, 4", H5,3.92, , , , note
A-D-GALPN," 4, 4", H61,3.68, , , , note
A-D-GALPN," 4, 4", H62,3.68, , , , note
B-D-GLCPN,7, H1,4.54, , , , note
B-D-GLCPN,7, H2,2.68, , , , note
B-D-GLCPN,7, H3,3.37, , , , note
B-D-GLCPN,7, H4,3.36, , , , note
B-D-GLCPN,7, H5,3.43, , , , note
B-D-GLCPN,7, H61,3.69, , , , note
B-D-GLCPN,7, H62,3.9, , , , note
KDO-OL, , C1,182, , , , note
KDO-OL, , C2,70.7, , , , note
KDO-OL, , C3,37, , , , note
KDO-OL, , C4,76.5, , , , note
KDO-OL, , C5,70.4, , , , note
KDO-OL, , C6,69.2, , , , note
KDO-OL, , C7,80.1, , , , note
KDO-OL, , C8,61.2, , , , note
A-D-GLCPANAC,4, C1,97.6, , , , note
A-D-GLCPANAC,4, C2,54, , , , note
A-D-GLCPANAC,4, C3,77.7, , , , note
A-D-GLCPANAC,4, C4,74, , , , note
A-D-GLCPANAC,4, C5,74.2, , , , note
A-D-GLCPANAC,4, C6,175, , , , note
B-D-GLCP," 4, 3", C1,103.5, , , , note
B-D-GLCP," 4, 3", C2,73.5, , , , note
B-D-GLCP," 4, 3", C3,74.7, , , , note
B-D-GLCP," 4, 3", C4,79.1, , , , note
B-D-GLCP," 4, 3", C5,75.4, , , , note
B-D-GLCP," 4, 3", C6,59.7, , , , note
B-D-GLCP," 4, 3, 4", C1,103.2, , , , note
B-D-GLCP," 4, 3, 4", C2,73.5, , , , note
B-D-GLCP," 4, 3, 4", C3,74.5, , , , note
B-D-GLCP," 4, 3, 4", C4,76.6, , , , note
B-D-GLCP," 4, 3, 4", C5,75.7, , , , note
B-D-GLCP," 4, 3, 4", C6,60.8, , , , note
B-D-GLCP," 4, 3, 4, 4", C1,102.2, , , , note
B-D-GLCP," 4, 3, 4, 4", C2,77.1, , , , note
B-D-GLCP," 4, 3, 4, 4", C3,75.3, , , , note
B-D-GLCP," 4, 3, 4, 4", C4,70.7, , , , note
B-D-GLCP," 4, 3, 4, 4", C5,76.7, , , , note
B-D-GLCP," 4, 3, 4, 4", C6,61.8, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", C1,98.2, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", C2,72.1, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", C3,73.5, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", C4,70.1, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", C5,72.4, , , , note
A-D-GLCP," 4, 3, 4, 4, 2", C6,61.1, , , , note
A-D-GALPN," 4, 4", C1,96.7, , , , note
A-D-GALPN," 4, 4", C2,51.5, , , , note
A-D-GALPN," 4, 4", C3,68.5, , , , note
A-D-GALPN," 4, 4", C4,68.7, , , , note
A-D-GALPN," 4, 4", C5,71.7, , , , note
A-D-GALPN," 4, 4", C6,61.3, , , , note
B-D-GLCPN,7, C1,103.3, , , , note
B-D-GLCPN,7, C2,57.4, , , , note
B-D-GLCPN,7, C3,76.4, , , , note
B-D-GLCPN,7, C4,70.7, , , , note
B-D-GLCPN,7, C5,76.7, , , , note
B-D-GLCPN,7, C6,61.4, , , , note
