MHz,0,,,,,,
Temperature,60,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX500 +DRX600,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-RHAP, , H1,5.18, , , , note
A-L-RHAP, , H2,4.19, , , , note
A-L-RHAP, , H3,3.89, , , , note
A-L-RHAP, , H4,3.48, , , , note
A-L-RHAP, , H5,3.71, , , , note
A-L-RHAP, , H6,1.27, , , , note
B-D-GLCPNAC,2, H1,4.61, , , , note
B-D-GLCPNAC,2, H2,3.72, , , , note
B-D-GLCPNAC,2, H3,3.59, , , , note
B-D-GLCPNAC,2, H4,3.47, , , , note
B-D-GLCPNAC,2, H5,4.42, , , , note
B-D-GLCPNAC,2, H61,3.76, , , , note
B-D-GLCPNAC,2, H62,3.89, , , , note
B-D-GLCPNAC,2, CH3CON,2.09, , , , note
A-L-RHAP,3, H1,5, , , , note
A-L-RHAP,3, H2,4.12, , , , note
A-L-RHAP,3, H3,3.76, , , , note
A-L-RHAP,3, H4,3.62, , , , note
A-L-RHAP,3, H5,3.78, , , , note
A-L-RHAP,3, H6,1.34, , , , note
A-L-RHAP," 3, 3", H1,5.17, , , , note
A-L-RHAP," 3, 3", H2,4.08, , , , note
A-L-RHAP," 3, 3", H3,3.96, , , , note
A-L-RHAP," 3, 3", H4,3.49, , , , note
A-L-RHAP," 3, 3", H5,3.83, , , , note
A-L-RHAP," 3, 3", H6,1.3, , , , note
A-L-RHAP," 3, 3, 2", H1,5.12, , , , note
A-L-RHAP," 3, 3, 2", H2,4.09, , , , note
A-L-RHAP," 3, 3, 2", H3,3.91, , , , note
A-L-RHAP," 3, 3, 2", H4,3.47, , , , note
A-L-RHAP," 3, 3, 2", H5,3.7, , , , note
A-L-RHAP," 3, 3, 2", H6,1.29, , , , note
A-L-RHAP, , C1,101.9, , , , note
A-L-RHAP, , C2,78.6, , , , note
A-L-RHAP, , C3,78.9, , , , note
A-L-RHAP, , C4,72.9, , , , note
A-L-RHAP, , C5,70.4, , , , note
A-L-RHAP, , C6,17.9, , , , note
B-D-GLCPNAC,2, C1,103.2, , , , note
B-D-GLCPNAC,2, C2,56.9, , , , note
B-D-GLCPNAC,2, C3,74.4, , , , note
B-D-GLCPNAC,2, C4,71.1, , , , note
B-D-GLCPNAC,2, C5,76.8, , , , note
B-D-GLCPNAC,2, C6,61.8, , , , note
B-D-GLCPNAC,2, CH3CON,23.9, , , , note
B-D-GLCPNAC,2, CH3CON,175.6, , , , note
A-L-RHAP,3, C1,103.7, , , , note
A-L-RHAP,3, C2,71, , , , note
A-L-RHAP,3, C3,78.8, , , , note
A-L-RHAP,3, C4,72.8, , , , note
A-L-RHAP,3, C5,70.2, , , , note
A-L-RHAP,3, C6,17.9, , , , note
A-L-RHAP," 3, 3", C1,101.9, , , , note
A-L-RHAP," 3, 3", C2,78.5, , , , note
A-L-RHAP," 3, 3", C3,71.3, , , , note
A-L-RHAP," 3, 3", C4,73.4, , , , note
A-L-RHAP," 3, 3", C5,70.2, , , , note
A-L-RHAP," 3, 3", C6,18.1, , , , note
A-L-RHAP," 3, 3, 2", C1,101.7, , , , note
A-L-RHAP," 3, 3, 2", C2,79.1, , , , note
A-L-RHAP," 3, 3, 2", C3,71, , , , note
A-L-RHAP," 3, 3, 2", C4,73.4, , , , note
A-L-RHAP," 3, 3, 2", C5,71, , , , note
A-L-RHAP," 3, 3, 2", C6,17.9, , , , note
