MHz,400,,,,,,
Temperature,298,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX 400/ AMX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-D-GALP, , H1,5.4, , , , note
A-D-GALP, , H2,3.86, , , , note
A-D-GALP, , H3,3.93, , , , note
A-D-GALP, , H4,4.13, , , , note
A-D-GALP, , H5,4.67, , , , note
A-D-GALPA2SO3,4, H1,5.26, , , , note
A-D-GALPA2SO3,4, H2,4.73, , , , note
A-D-GALPA2SO3,4, H3,4.25, , , , note
A-D-GALPA2SO3,4, H4,4.68, , , , note
A-D-GALPA2SO3,4, H5,4.7, , , , note
B-D-GLCPA," 4, 3", H1,4.67, , , , note
B-D-GLCPA," 4, 3", H2,3.53, , , , note
B-D-GLCPA," 4, 3", H3,3.78, , , , note
B-D-GLCPA," 4, 3", H4,4.05, , , , note
B-D-GLCPA," 4, 3", H5,3.91, , , , note
A-D-GLCP," 4, 3, 3", H1,5.32, , , , note
A-D-GLCP," 4, 3, 3", H2,3.5, , , , note
A-D-GLCP," 4, 3, 3", H3,3.74, , , , note
A-D-GLCP," 4, 3, 3", H4,3.46, , , , note
A-D-GLCP," 4, 3, 3", H5,4, , , , note
B-D-GLCPA," 4, 3, 4", H1,4.66, , , , note
B-D-GLCPA," 4, 3, 4", H2,3.44, , , , note
B-D-GLCPA," 4, 3, 4", H3,3.76, , , , note
B-D-GLCPA," 4, 3, 4", H4,3.86, , , , note
A-D-GLCP," 4, 3, 4, 2", H1,5.2, , , , note
A-D-GLCP," 4, 3, 4, 2", H2,3.47, , , , note
A-D-GLCP," 4, 3, 4, 2", H3,3.78, , , , note
A-D-GLCP," 4, 3, 4, 2", H4,3.47, , , , note
A-D-GLCP," 4, 3, 4, 2", H5,4, , , , note
A-D-GALP," 4, 3, 4, 4", H1,5.49, , , , note
A-D-GALP," 4, 3, 4, 4", H2,3.79, , , , note
A-D-GALP," 4, 3, 4, 4", H3,3.88, , , , note
A-D-GALP," 4, 3, 4, 4", H4,4.03, , , , note
A-D-GALP," 4, 3, 4, 4", H5,4.12, , , , note
A-D-GALP," 4, 3, 4, 4", H6,4.12, , , , note
B-D-GLCP," 4, 3, 4, 4, 6", H1,4.64, , , , note
B-D-GLCP," 4, 3, 4, 4, 6", H2,3.33, , , , note
B-D-GLCP," 4, 3, 4, 4, 6", H3,3.78, , , , note
B-D-GLCP," 4, 3, 4, 4, 6", H4,3.86, , , , note
B-D-GLCP," 4, 4", H1,4.73, , , , note
B-D-GLCP," 4, 4", H2,3.31, , , , note
B-D-GLCP," 4, 4", H3,3.78, , , , note
B-D-GLCP," 4, 4", H4,3.55, , , , note
B-D-GLCP," 4, 4", H5,3.48, , , , note
A-D-GALP, , C1,102.8, , , , note
A-D-GALP, , C2,71.8, , , , note
A-D-GALP, , C3,71.5, , , , note
A-D-GALP, , C4,81.8, , , , note
A-D-GALPA2SO3,4, C1,101.2, , , , note
A-D-GALPA2SO3,4, C2,76.9, , , , note
A-D-GALPA2SO3,4, C3,80, , , , note
A-D-GALPA2SO3,4, C4,81.5, , , , note
A-D-GALPA2SO3,4, C5,74.6, , , , note
B-D-GLCPA," 4, 3", C1,106.8, , , , note
B-D-GLCPA," 4, 3", C2,75, , , , note
B-D-GLCPA," 4, 3", C3,83, , , , note
B-D-GLCPA," 4, 3", C4,80.5, , , , note
B-D-GLCPA," 4, 3", C5,79.7, , , , note
B-D-GLCPA," 4, 3", C6,180, , , , note
A-D-GLCP," 4, 3, 3", C1,102.1, , , , note
A-D-GLCP," 4, 3, 3", C2,75, , , , note
A-D-GLCP," 4, 3, 3", C3,75.6, , , , note
A-D-GLCP," 4, 3, 3", C4,72.2, , , , note
A-D-GLCP," 4, 3, 3", C5,74.7, , , , note
B-D-GLCPA," 4, 3, 4", C1,102.9, , , , note
B-D-GLCPA," 4, 3, 4", C2,82.8, , , , note
B-D-GLCPA," 4, 3, 4", C3,79, , , , note
B-D-GLCPA," 4, 3, 4", C4,79, , , , note
B-D-GLCPA," 4, 3, 4", C6,180, , , , note
A-D-GLCP," 4, 3, 4, 2", C1,102.8, , , , note
A-D-GLCP," 4, 3, 4, 2", C2,74.8, , , , note
A-D-GLCP," 4, 3, 4, 2", C3,76.1, , , , note
A-D-GLCP," 4, 3, 4, 2", C4,72.2, , , , note
A-D-GLCP," 4, 3, 4, 2", C5,74.7, , , , note
A-D-GALP," 4, 3, 4, 4", C1,100.8, , , , note
A-D-GALP," 4, 3, 4, 4", C2,71.3, , , , note
A-D-GALP," 4, 3, 4, 4", C3,71.5, , , , note
A-D-GALP," 4, 3, 4, 4", C4,72.3, , , , note
A-D-GALP," 4, 3, 4, 4", C5,73.5, , , , note
A-D-GALP," 4, 3, 4, 4", C6,69.3, , , , note
B-D-GLCP," 4, 3, 4, 4, 6", C1,103.2, , , , note
B-D-GLCP," 4, 3, 4, 4, 6", C2,76.1, , , , note
B-D-GLCP," 4, 4", C1,105.4, , , , note
B-D-GLCP," 4, 4", C2,76.1, , , , note
B-D-GLCP," 4, 4", C3,76.1, , , , note
B-D-GLCP," 4, 4", C4,80.5, , , , note
B-D-GLCP," 4, 4", C5,74.9, , , , note
