MHz,500,,,,,,
Temperature,313,,,,,,
Solvent,D2O,,,,,,
Note,Proton chemical shifts were referenced to residual HDO at 4.61 ppm.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Galf," 5,until", H1,5,1,2,1, 
b-D-Galf," 5,until", H2,4.11, , ,0, 
b-D-Galf," 5,until", H3,4.06, , ,0, 
b-D-Galf," 5,until", H4,4.08, , ,0, 
b-D-Galf," 5,until", H5,3.94, , ,0, 
b-D-Galf," 5,until", H6,3.76, , ,0, 
b-D-Galf," 5,until", H6',3.75, , ,0, 
b-D-Galf," 5,5,until", H1,5.3,1,2,2, 
b-D-Galf," 5,5,until", H2,4.23, , ,0, 
b-D-Galf," 5,5,until", H3,4.2, , ,0, 
b-D-Galf," 5,5,until", H4,4.04, , ,0, 
b-D-Galf," 5,5,until", H5,3.96, , ,0, 
b-D-Galf," 5,5,until", H61,3.62, , ,0, 
b-D-Galf," 5,5,until", H62,3.84, , ,0, 
a-D-Galf," 2,5,5,until", H1,5.33,1,2,4.3, 
a-D-Galf," 2,5,5,until", H2,4.23,2,3,8.5, 
a-D-Galf," 2,5,5,until", H3,4.33,3,4,7.1, 
a-D-Galf," 2,5,5,until", H4,3.82,4,5,6.2, 
a-D-Galf," 2,5,5,until", H5,3.78, , ,0, 
a-D-Galf," 2,5,5,until", H61,3.71, , ,0, 
a-D-Galf," 2,5,5,until", H62,3.59, , ,0, 
a-D-Glcp," 2,2,5,5,until", H1,4.97,1,2,3.8, 
a-D-Glcp," 2,2,5,5,until", H2,3.53,2,3,9.9, 
a-D-Glcp," 2,2,5,5,until", H3,3.74,3,4,9.4, 
a-D-Glcp," 2,2,5,5,until", H4,3.43,4,5,9.6, 
a-D-Glcp," 2,2,5,5,until", H5,3.8, , ,0, 
a-D-Glcp," 2,2,5,5,until", H61,3.84, , ,0, 
a-D-Glcp," 2,2,5,5,until", H62,3.74, , ,0, 
b-D-Galf," 5,until", C1,108.8, , ,0, 
b-D-Galf," 5,until", C2,81.9, , ,0, 
b-D-Galf," 5,until", C3,77.5, , ,0, 
b-D-Galf," 5,until", C4,82.9, , ,0, 
b-D-Galf," 5,until", C5,76.8, , ,0, 
b-D-Galf," 5,until", C6,62.2, , ,0, 
b-D-Galf," 5,5,until", C1,106.2, , ,0, 
b-D-Galf," 5,5,until", C2,88, , ,0, 
b-D-Galf," 5,5,until", C3,76, , ,0, 
b-D-Galf," 5,5,until", C4,83.3, , ,0, 
b-D-Galf," 5,5,until", C5,70.3, , ,0, 
b-D-Galf," 5,5,until", C6,70.2, , ,0, 
a-D-Galf," 2,5,5,until", C1,100, , ,0, 
a-D-Galf," 2,5,5,until", C2,81.3, , ,0, 
a-D-Galf," 2,5,5,until", C3,73.6, , ,0, 
a-D-Galf," 2,5,5,until", C4,82.2, , ,0, 
a-D-Galf," 2,5,5,until", C5,73.2, , ,0, 
a-D-Galf," 2,5,5,until", C6,63.3, , ,0, 
a-D-Glcp," 2,2,5,5,until", C1,98.4, , ,0, 
a-D-Glcp," 2,2,5,5,until", C2,72.2, , ,0, 
a-D-Glcp," 2,2,5,5,until", C3,73.9, , ,0, 
a-D-Glcp," 2,2,5,5,until", C4,70.6, , ,0, 
a-D-Glcp," 2,2,5,5,until", C5,73.1, , ,0, 
a-D-Glcp," 2,2,5,5,until", C6,61.6, , ,0,
