MHz,400,,,,,,
Temperature,338,,,,,,
Solvent,D2O,,,,,,
Note,a)Assignments may have to be interchnaged.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-GlcpNAc," 3,until", H1,4.62, , ,0, 
b-D-GlcpNAc," 3,until", H2,3.88, , ,0, 
b-D-GlcpNAc," 3,until", H3,3.85, , ,0, 
b-D-GlcpNAc," 3,until", H4,3.62, , ,0, 
b-D-GlcpNAc," 3,until", H5,3.52, , ,0, 
b-D-GlcpNAc," 3,until", H61,3.8, , ,0, 
b-D-GlcpNAc," 3,until", H62,3.96, , ,0, 
b-D-GlcpNAc," 3,until", NAC,2.03, , ,0, a
b-D-GalpA," 3,3,until", H1,4.55, , ,0, 
b-D-GalpA," 3,3,until", H2,3.62, , ,0, 
b-D-GalpA," 3,3,until", H3,3.83, , ,0, 
b-D-GalpA," 3,3,until", H4,4.38, , ,0, 
b-D-GalpA," 3,3,until", H5,4.44, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H1,4.94, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H2,4.02, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H3,3.85, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H4,3.57, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H5,4.32, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H61,3.82, , ,0, 
a-D-GlcpNAc," 4,3,3,until", H62,4.12, , ,0, 
a-D-GlcpNAc," 4,3,3,until", NAC,2.06, , ,0, a
b-D-Fucp3NAc," 3,4,3,3,until", H1,4.48, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", H2,3.52, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", H3,3.93, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", H4,3.74, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", H5,3.91, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", CH3,1.25, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", 3NAC,2.06, , ,0, a
b-D-GlcpNAc," 3,until", C1,102.28, , ,0, 
b-D-GlcpNAc," 3,until", C2,55.43, , ,0, 
b-D-GlcpNAc," 3,until", C3,84.68, , ,0, 
b-D-GlcpNAc," 3,until", C4,69.88, , ,0, 
b-D-GlcpNAc," 3,until", C5,76.32, , ,0, 
b-D-GlcpNAc," 3,until", C6,61.77, , ,0, 
b-D-GalpA," 3,3,until", C1,104.34, , ,0, 
b-D-GalpA," 3,3,until", C2,70.87, , ,0, 
b-D-GalpA," 3,3,until", C3,72.39, , ,0, 
b-D-GalpA," 3,3,until", C4,78.07, , ,0, 
b-D-GalpA," 3,3,until", C5,73.69, , ,0, 
b-D-GalpA," 3,3,until", C6,171.23, , ,0, 
a-D-GlcpNAc," 4,3,3,until", C1,99.4, , ,0, 
a-D-GlcpNAc," 4,3,3,until", C2,53.07, , ,0, 
a-D-GlcpNAc," 4,3,3,until", C3,81.32, , ,0, 
a-D-GlcpNAc," 4,3,3,until", C4,69.14, , ,0, 
a-D-GlcpNAc," 4,3,3,until", C5,71.43, , ,0, 
a-D-GlcpNAc," 4,3,3,until", C6,69.23, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", C1,104.55, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", C2,69.06, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", C3,55.63, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", C4,70.63, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", C5,72.85, , ,0, 
b-D-Fucp3NAc," 3,4,3,3,until", C6,16.22, , ,0,
