MHz,270,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Note,a)Tentative assignment.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-Manp," 2,until", H1,5.33, , ,0, 
a-D-Manp," 2,until", H2,4.06, , ,0, 
a-D-Manp," 2,until", H3,4, , ,0, 
a-D-Manp," 2,until", H4,3.56, , ,0, a
a-D-Manp," 2,until", H5,3.89, , ,0, a
a-D-Manp," 2,2,until", H1,5.16, , ,0, 
a-D-Manp," 2,2,until", H2,4.33, , ,0, 
a-D-Manp," 2,2,until", H3,4.03, , ,0, 
a-D-Manp," 2,2,until", H4,3.77, , ,0, 
a-D-Manp," 2,2,until", H5,3.91, , ,0, a
a-D-Galp," 3,2,2,until", H1,5.24,1,2,3, 
a-D-Galp," 3,2,2,until", H2,3.87, , ,0, 
a-D-Galp," 3,2,2,until", H3,3.97, , ,0, 
a-D-Galp," 3,2,2,until", H4,4.15, , ,0, 
a-D-Galp," 3,2,2,until", H5,4.23, , ,0, a
b-D-GlcpA," 2,2,2,until", H1,4.54,1,2,8, 
b-D-GlcpA," 2,2,2,until", H2,3.42, , ,0, 
b-D-GlcpA," 2,2,2,until", H3,3.63, , ,0, 
b-D-GlcpA," 2,2,2,until", H4,3.8, , ,0, 
b-D-GlcpA," 2,2,2,until", H5,3.75, , ,0, 
b-D-Manp," 4,2,2,2,until", H1,4.66, , ,0, 
b-D-Manp," 4,2,2,2,until", H2,3.97, , ,0, 
b-D-Manp," 4,2,2,2,until", H3,3.62, , ,0, 
b-D-Manp," 4,2,2,2,until", H4,3.57, , ,0, 
b-D-Manp," 4,2,2,2,until", H5,3.38, , ,0, 
a-D-Manp," 2,until", C1,95.8, C, H,171, 
a-D-Manp," 2,until", C2,79.3, , ,0, 
a-D-Manp," 2,until", C3,71.1, , ,0, 
a-D-Manp," 2,until", C4,67.5, , ,0, 
a-D-Manp," 2,until", C5,73.5, , ,0, 
a-D-Manp," 2,2,until", C1,100.5, C, H,171, 
a-D-Manp," 2,2,until", C2,78.3, , ,0, 
a-D-Manp," 2,2,until", C3,78.1, , ,0, 
a-D-Manp," 2,2,until", C4,67.1, , ,0, 
a-D-Manp," 2,2,until", C5,74.5, , ,0, 
a-D-Galp," 3,2,2,until", C1,102.2, C, H,173, 
a-D-Galp," 3,2,2,until", C2,68.2, , ,0, 
a-D-Galp," 3,2,2,until", C3,75.1, , ,0, a
a-D-Galp," 3,2,2,until", C4,66.7, , ,0, 
a-D-Galp," 3,2,2,until", C5,71.4, , ,0, 
b-D-GlcpA," 2,2,2,until", C1,102.4, C, H,163, 
b-D-GlcpA," 2,2,2,until", C2,73.1, , ,0, 
b-D-GlcpA," 2,2,2,until", C3,74.8, , ,0, 
b-D-GlcpA," 2,2,2,until", C4,81.2, , ,0, 
b-D-GlcpA," 2,2,2,until", C5,77.4, , ,0, 
b-D-GlcpA," 2,2,2,until", CO,175.1, , ,0, 
b-D-Manp," 4,2,2,2,until", C1,100.7, C, H,161, 
b-D-Manp," 4,2,2,2,until", C2,71.4, , ,0, a
b-D-Manp," 4,2,2,2,until", C3,73.5, , ,0, 
b-D-Manp," 4,2,2,2,until", C4,67.9, , ,0, a
b-D-Manp," 4,2,2,2,until", C5,77, , ,0, 
