MHz,400,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Note,a)Assignments may have to be interchanged.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-L-Rhap," 3,until", H1,4.94, , ,0, 
a-L-Rhap," 3,until", H2,3.87, , ,0, 
a-L-Rhap," 3,until", H3,3.78, , ,0, 
a-L-Rhap," 3,until", H4,3.56, , ,0, 
a-L-Rhap," 3,until", H5,4.01, , ,0, 
a-L-Rhap," 3,until", CH3,1.27, , ,0, 
a-L-Rhap," 3,3,until", H1,5.17, , ,0, 
a-L-Rhap," 3,3,until", H2,4.05, , ,0, 
a-L-Rhap," 3,3,until", H3,3.92, , ,0, 
a-L-Rhap," 3,3,until", H4,3.45, , ,0, 
a-L-Rhap," 3,3,until", H5,3.74, , ,0, 
a-L-Rhap," 3,3,until", CH3,1.3, , ,0, 
a-L-Rhap," 2,3,3,until", H1,5.05, , ,0, 
a-L-Rhap," 2,3,3,until", H2,4.29, , ,0, 
a-L-Rhap," 2,3,3,until", H3,3.95, , ,0, 
a-L-Rhap," 2,3,3,until", H4,3.68, , ,0, 
a-L-Rhap," 2,3,3,until", H5,3.78, , ,0, 
a-L-Rhap," 2,3,3,until", CH3,1.33, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", H1,5, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", H2,4.36, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", H3,4.08, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", H4,3.65, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", NAC,2.07, , ,0, a
a-D-GlcpNAc," 2,2,3,3,until", H1,5.03, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", H2,4.06, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", H3,3.82, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", H4,3.66, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", NAC,2.06, , ,0, a
a-L-Rhap," 3,until", C1,101.6, , ,0, 
a-L-Rhap," 3,until", C2,71.44, , ,0, 
a-L-Rhap," 3,until", C3,78.19, , ,0, 
a-L-Rhap," 3,until", C4,72.47, , ,0, 
a-L-Rhap," 3,until", C5,69.81, , ,0, 
a-L-Rhap," 3,until", C6,17.31, , ,0, a
a-L-Rhap," 3,3,until", C1,101.48, , ,0, 
a-L-Rhap," 3,3,until", C2,79.72, , ,0, 
a-L-Rhap," 3,3,until", C3,70.69, , ,0, 
a-L-Rhap," 3,3,until", C4,73.04, , ,0, 
a-L-Rhap," 3,3,until", C6,17.74, , ,0, a
a-L-Rhap," 2,3,3,until", C1,99.77, , ,0, 
a-L-Rhap," 2,3,3,until", C2,72.47, , ,0, 
a-L-Rhap," 2,3,3,until", C3,73.22, , ,0, 
a-L-Rhap," 2,3,3,until", C6,17.54, , ,0, a
a-D-ManpNAc," 3,2,3,3,until", C1,96.38, , ,0, b
a-D-ManpNAc," 3,2,3,3,until", C2,53.52, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", C3,70.28, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", C4,67.43, , ,0, 
a-D-ManpNAc," 3,2,3,3,until", C6,61.13, , ,0, c
a-D-ManpNAc," 3,2,3,3,until", CO,174.72, , ,0, d
a-D-ManpNAc," 3,2,3,3,until", CH3,22.77, , ,0, e
a-D-GlcpNAc," 2,2,3,3,until", C1,96.47, , ,0, b
a-D-GlcpNAc," 2,2,3,3,until", C2,54.02, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", C3,79.94, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", C4,68.71, , ,0, 
a-D-GlcpNAc," 2,2,3,3,until", C6,60.95, , ,0, c
a-D-GlcpNAc," 2,2,3,3,until", CO,175.29, , ,0, d
a-D-GlcpNAc," 2,2,3,3,until", CH3,22.89, , ,0, e
