MHz,500,,,,,,,
Temperature,303,,,,,,,
Solvent,D2O,,,,,,,
Note,a-c)Assignments may have to be interchanged.,,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note,
a-D-GalpNAc,3, H1,4.884, , ,0, ,
a-D-GalpNAc,3, H2,4.336, , ,0, ,
a-D-GalpNAc,3, H3,4.079, , ,0, ,
a-D-GalpNAc,3, H4,4.215, , ,0, ,
a-D-GalpNAc,3, H5,4.18, , ,0, ,
a-D-GalpNAc,3,H61,4.09, , ,0, ,
a-D-GalpNAc,3,H62,3.36, , ,0, ,
b-D-GlcpNAc," 6,3", H1,4.572, , ,0, ,
b-D-GlcpNAc," 6,3", H2,3.751, , ,0, ,
b-D-GlcpNAc," 6,3", H3,3.7, , ,0, ,
b-D-GlcpNAc," 6,3", H4,3.72, , ,0, ,
b-D-GlcpNAc," 6,3", H5,3.6, , ,0, ,
b-D-GlcpNAc," 6,3",H61,4, , ,0, ,
b-D-GlcpNAc," 6,3",H62,3.85, , ,0, ,
b-D-Galp," 4,6,3", H1,4.554, , ,0, ,
b-D-Galp," 4,6,3", H2,3.579, , ,0, ,
b-D-Galp," 4,6,3", H3,4.118, , ,0, ,
b-D-Galp," 4,6,3", H4,3.965, , ,0, ,
b-D-Galp," 4,6,3", H5,3.73, , ,0, ,
a-D-Neup5Ac," 3,4,6,3",H31,1.8, , ,0, , H3A
a-D-Neup5Ac," 3,4,6,3",H32,2.769, , ,0, , H3E
a-D-Neup5Ac," 3,4,6,3", H4,3.7, , ,0, a,
a-D-Neup5Ac," 3,4,6,3", H5,3.846, , ,0, b,
a-D-Neup5Ac," 3,4,6,3", H6,3.642, , ,0, c,
a-D-Neup5Ac," 3,4,6,3", H7,3.6, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", H8,3.9, , ,0, ,
a-D-Neup5Ac," 3,4,6,3",H91,3.86, , ,0, ,
a-D-Neup5Ac," 3,4,6,3",H92,3.65, , ,0, ,
b-D-Galp," 3,3", H1,4.532, , ,0, ,
b-D-Galp," 3,3", H2,3.531, , ,0, ,
b-D-Galp," 3,3", H3,4.066, , ,0, ,
b-D-Galp," 3,3", H4,3.937, , ,0, ,
b-D-Galp," 3,3", H5,3.64, , ,0, ,
b-D-Galp," 3,3",H61,3.73, , ,0, ,
b-D-Galp," 3,3",H62,3.73, , ,0, ,
a-D-Neup5Ac," 3,3,3",H31,1.783, , ,0, , H3A
a-D-Neup5Ac," 3,3,3",H32,2.76, , ,0, , H3E
a-D-Neup5Ac," 3,3,3", H4,3.69, , ,0, a,
a-D-Neup5Ac," 3,3,3", H5,3.841, , ,0, b,
a-D-Neup5Ac," 3,3,3", H6,3.633, , ,0, c,
a-D-Neup5Ac," 3,3,3", H7,3.6, , ,0, ,
a-D-Neup5Ac," 3,3,3", H8,3.9, , ,0, ,
a-D-Neup5Ac," 3,3,3",H11,3.86, , ,0, ,
a-D-Neup5Ac," 3,3,3",H12,3.65, , ,0,,
a-D-GalpNAc,3, C1,98.98, , ,0, ,
a-D-GalpNAc,3, C2,49.18, , ,0, ,
a-D-GalpNAc,3, C3,77.54, , ,0, ,
a-D-GalpNAc,3, C4,69.85, , ,0, ,
a-D-GalpNAc,3, C5,70.25, , ,0, ,
a-D-GalpNAc,3, C6,71.02, , ,0, ,
b-D-GlcpNAc," 6,3", C1,102, , ,0, ,
b-D-GlcpNAc," 6,3", C2,55.91, , ,0, ,
b-D-GlcpNAc," 6,3", C3,73.2, , ,0, ,
b-D-GlcpNAc," 6,3", C4,79.29, , ,0, ,
b-D-GlcpNAc," 6,3", C5,75.67, , ,0, ,
b-D-GlcpNAc," 6,3", C6,60.97, , ,0, ,
b-D-Galp," 4,6,3", C1,103.51, , ,0, ,
b-D-Galp," 4,6,3", C2,70.26, , ,0, ,
b-D-Galp," 4,6,3", C3,76.38, , ,0, a,
b-D-Galp," 4,6,3", C4,68.38, , ,0, ,
b-D-Galp," 4,6,3", C5,76.06, , ,0, ,
b-D-Galp," 4,6,3", C6,61.89, , ,0, b,
a-D-Neup5Ac," 3,4,6,3", C2,100.71, , ,0, c,
a-D-Neup5Ac," 3,4,6,3", C3,40.67, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", C4,69.19, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", C5,52.58, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", C6,73.78, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", C7,69.03, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", C8,72.63, , ,0, ,
a-D-Neup5Ac," 3,4,6,3", C9,63.5, , ,0, ,
b-D-Galp," 3,3", C1,105.3, , ,0, ,
b-D-Galp," 3,3", C2,69.88, , ,0, ,
b-D-Galp," 3,3", C3,76.52, , ,0, a,
b-D-Galp," 3,3", C4,68.24, , ,0, ,
b-D-Galp," 3,3", C5,75.65, , ,0, ,
b-D-Galp," 3,3", C6,61.86, , ,0, b,
a-D-Neup5Ac," 3,3,3", C2,101.31, , ,0, ,
a-D-Neup5Ac," 3,3,3", C3,41.08, , ,0, ,
a-D-Neup5Ac," 3,3,3", C4,69.23, , ,0, ,
a-D-Neup5Ac," 3,3,3", C5,52.61, , ,0, ,
a-D-Neup5Ac," 3,3,3", C6,73.68, , ,0, ,
a-D-Neup5Ac," 3,3,3", C7,69.03, , ,0, ,
a-D-Neup5Ac," 3,3,3", C9,63.45, , ,0, ,
