MHz,500,,,,,,
Temperature,0,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-Glcp, , H1,5.14,1,2,3.7, 
a-D-Glcp, , H2,3.57,2,3,9.9, 
a-D-Glcp, , H3,3.82,3,4,9.2, 
a-D-Glcp, , H4,3.39,4,5,9.3, 
a-D-Glcp, , H5,3.89, , ,0, 
a-D-Glcp,1, H1,5.12,1,2,3.9, 
a-D-Glcp,1, H2,3.65,2,3,9, 
a-D-Glcp,1, H3,3.96,3,4,9, 
a-D-Glcp,1, H4,3.82, , ,0, 
a-D-Glcp, , C1,92, , ,0, 
a-D-Glcp, , C2,69.6, , ,0, 
a-D-Glcp, , C3,71.1, , ,0, 
a-D-Glcp, , C4,68.2, , ,0, 
a-D-Glcp, , C5,70.5, , ,0, 
a-D-Glcp, , C6,58.9, , ,0, 
a-D-Glcp,1, C1,91.7, , ,0, 
a-D-Glcp,1, C2,69.3, , ,0, 
a-D-Glcp,1, C3,69.7, , ,0, 
a-D-Glcp,1, C4,72.2, , ,0, 
a-D-Glcp,1, C5,70.7, , ,0, 
a-D-Glcp,1, C6,59.1, , ,0,
