MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Note,a)Assignments may have to be interchanged.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-Galp," 3,until", H1,5.081, , ,0, 
a-D-Galp," 3,until", H2,3.955, , ,0, 
a-D-Galp," 3,until", H3,4.036, , ,0, 
a-D-Galp," 3,until", H4,4.115, , ,0, 
a-D-Galp," 3,until", H5,4.28, , ,0, 
a-D-Galp," 3,until", H61,3.724, , ,0, a
a-D-Galp," 3,until", H62,3.724, , ,0, a
a-L-Rhap," 3,3,until", H1,5.198, , ,0, 
a-L-Rhap," 3,3,until", H2,4.131, , ,0, 
a-L-Rhap," 3,3,until", H3,3.969, , ,0, 
a-L-Rhap," 3,3,until", H4,3.566, , ,0, 
a-L-Rhap," 3,3,until", H5,3.857, , ,0, 
a-L-Rhap," 3,3,until", CH3,1.314, , ,0, 
a-D-Galp," 3,until", C1,98.28,1,1,170, 
a-D-Galp," 3,until", C2,68.31, , ,0, 
a-D-Galp," 3,until", C3,78.13, , ,0, 
a-D-Galp," 3,until", C4,69.85, , ,0, 
a-D-Galp," 3,until", C5,71.83, , ,0, 
a-D-Galp," 3,until", C6,61.65, , ,0, 
a-L-Rhap," 3,3,until", C1,100.21,1,1,170, 
a-L-Rhap," 3,3,until", C2,76.53, , ,0, 
a-L-Rhap," 3,3,until", C3,70.28, , ,0, 
a-L-Rhap," 3,3,until", C4,72.7, , ,0, 
a-L-Rhap," 3,3,until", C5,70.28, , ,0, 
a-L-Rhap," 3,3,until", C6,17.4, , ,0,
