MHz,250,,,,,,
Temperature,333,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-GalpNAc," 4,until", H1,5.19,1,2,4, 
a-D-GalpNAc," 4,until", H2,4.24,2,3,10, 
a-D-GalpNAc," 4,until", H3,4.05,3,4,3, 
a-D-GalpNAc," 4,until", H4,4.07,4,5,2, 
a-D-GalpNAc," 4,until", H5,4.16,5,6,6.5, 
a-D-GalpNAc," 4,until", H6,3.74, , ,0, 
a-D-GalpNAc," 4,until", NAC,2.03, , ,0, 
a-D-Rhap," 4,4,until", H1,4.8,1,2,1.5, 
a-D-Rhap," 4,4,until", H2,4.08,2,3,3.5, 
a-D-Rhap," 4,4,until", H3,3.92,3,4,9.5, 
a-D-Rhap," 4,4,until", H4,3.54,4,5,9.5, 
a-D-Rhap," 4,4,until", H5,4.09,5,6,6, 
a-D-Rhap," 4,4,until", CH3,1.24, , ,0, 
a-D-Rhap," 3,4,4,until", H1,5.05,1,2,1.5, 
a-D-Rhap," 3,4,4,until", H2,4.22,2,3,3.5, 
a-D-Rhap," 3,4,4,until", H3,3.91,3,4,9, 
a-D-Rhap," 3,4,4,until", H4,3.6,4,5,9, 
a-D-Rhap," 3,4,4,until", H5,3.84,5,6,6, 
a-D-Rhap," 3,4,4,until", CH3,1.31, , ,0, 
a-D-GalpNAc," 4,until", C1,100.5, , ,0, 
a-D-GalpNAc," 4,until", C2,51.4, , ,0, 
a-D-GalpNAc," 4,until", C3,68.3, , ,0, 
a-D-GalpNAc," 4,until", C4,79.4, , ,0, 
a-D-GalpNAc," 4,until", C5,72.8, , ,0, 
a-D-GalpNAc," 4,until", C6,61.9, , ,0, 
a-D-GalpNAc," 4,until", CO,175.4, , ,0, 
a-D-GalpNAc," 4,until", CH3,22.9, , ,0, 
a-D-Rhap," 4,4,until", C1,102.6, , ,0, 
a-D-Rhap," 4,4,until", C2,70.9, , ,0, 
a-D-Rhap," 4,4,until", C3,78.6, , ,0, 
a-D-Rhap," 4,4,until", C4,72.2, , ,0, 
a-D-Rhap," 4,4,until", C5,70.7, , ,0, 
a-D-Rhap," 4,4,until", C6,17.5, , ,0, 
a-D-Rhap," 3,4,4,until", C1,102.9, , ,0, 
a-D-Rhap," 3,4,4,until", C2,71.1, , ,0, 
a-D-Rhap," 3,4,4,until", C3,79.3, , ,0, 
a-D-Rhap," 3,4,4,until", C4,72.3, , ,0, 
a-D-Rhap," 3,4,4,until", C5,70.3, , ,0, 
a-D-Rhap," 3,4,4,until", C6,17.5, , ,0,
