MHz,500,,,,,,
Temperature,333,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-Galp," 3,until", H1,5.18, , ,0, 
a-D-Galp," 3,until", H2,3.99, , ,0, 
a-D-Galp," 3,until", H3,4.06, , ,0, 
a-D-Galp," 3,until", H4,4.25, , ,0, 
a-D-Galp," 3,until", H5,4.18, , ,0, 
a-D-Manp," 3,3,until", H1,5.28, , ,0, 
a-D-Manp," 3,3,until", H2,4.05, , ,0, 
a-D-Manp," 3,3,until", H3,4.02, , ,0, 
a-D-Manp," 3,3,until", H4,3.73, , ,0, 
a-D-Manp," 3,3,until", H5,3.89, , ,0, 
a-D-Manp," 2,3,3,until", H1,5.26, , ,0, 
a-D-Manp," 2,3,3,until", H2,4.13, , ,0, 
a-D-GlcpA," 2,2,3,3,until", H1,5.14, , ,0, 
a-D-GlcpA," 2,2,3,3,until", H2,3.65, , ,0, 
a-D-GlcpA," 2,2,3,3,until", H3,3.79, , ,0, 
a-D-GlcpA," 2,2,3,3,until", H4,3.61, , ,0, 
a-D-GlcpA," 2,2,3,3,until", H5,4.17, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", H1,4.97, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", H2,3.94, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", H3,3.89, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", H4,3.48, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", H5,4.02, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", CH3,1.25, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", H1,4.99, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", H2,4.27, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", H3,3.89, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", H4,3.58, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", H5,3.8, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", CH3,1.31, , ,0,
a-D-Galp," 3,until", C1,96.01, , ,0, 
a-D-Galp," 3,until", C2,67.55, , ,0, 
a-D-Galp," 3,until", C3,74.65, , ,0, 
a-D-Galp," 3,until", C4,66.04, , ,0, 
a-D-Galp," 3,until", C5,71.51, , ,0, 
a-D-Manp," 3,3,until", C1,95.62, , ,0, 
a-D-Manp," 3,3,until", C2,80.03, , ,0, 
a-D-Manp," 3,3,until", C3,70.88, , ,0, 
a-D-Manp," 3,3,until", C4,67.88, , ,0, 
a-D-Manp," 3,3,until", C5,73.63, , ,0, 
a-D-Manp," 2,3,3,until", C1,101.61, , ,0, 
a-D-Manp," 2,3,3,until", C2,80.36, , ,0, 
a-D-Manp," 2,3,3,until", C3,71.2, , ,0, 
a-D-Manp," 2,3,3,until", C4,68.13, , ,0, 
a-D-Manp," 2,3,3,until", C5,74.16, , ,0, 
a-D-GlcpA," 2,2,3,3,until", C1,101.33, , ,0, 
a-D-GlcpA," 2,2,3,3,until", C2,72.75, , ,0, 
a-D-GlcpA," 2,2,3,3,until", C3,72.75, , ,0, 
a-D-GlcpA," 2,2,3,3,until", C4,80.49, , ,0, 
a-D-GlcpA," 2,2,3,3,until", C5,73.44, , ,0, 
a-D-GlcpA," 2,2,3,3,until", C6,175.6, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", C1,102.25, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", C2,79.69, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", C3,70.78, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", C4,73.08, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", C5,69.96, , ,0, 
a-L-Rhap," 4,2,2,3,3,until", C6,17.72, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", C1,100.02, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", C2,67.45, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", C3,76.02, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", C4,71.36, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", C5,69.83, , ,0, 
a-L-Rhap," 2,4,2,2,3,3,until", C6,17.49, , ,0,
