MHz,600,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Galp," 4,until", H1,4.62,1,2,7.6, 
b-D-Galp," 4,until", H2,3.46,2,3,9.3, 
b-D-Galp," 4,until", H3,3.76,3,4,3, 
b-D-Galp," 4,until", H4,4.1,4,5,1, 
b-D-Galp," 4,until", H5,3.72, , ,0, 
b-D-Galp," 4,until", H61,3.75, , ,0, 
b-D-Galp," 4,until", H62,3.8, , ,0, 
b-D-GalpNAc," 4,4,until", H1,4.7,1,2,8.6, 
b-D-GalpNAc," 4,4,until", H2,4.03,2,3,9.7, 
b-D-GalpNAc," 4,4,until", H3,3.9,3,4,3, 
b-D-GalpNAc," 4,4,until", H4,4.16,4,5,1, 
b-D-GalpNAc," 4,4,until", H5,3.67, , ,0, 
b-D-GalpNAc," 4,4,until", H61,3.74, , ,0, 
b-D-GalpNAc," 4,4,until", H62,3.82, , ,0, 
b-D-GalpNAc," 4,4,until", NAC,2.04, , ,0, 
b-D-Galp," 3,4,4,until", H1,4.5,1,2,7.9, 
b-D-Galp," 3,4,4,until", H2,3.67,2,3,9.6, 
b-D-Galp," 3,4,4,until", H3,3.77,3,4,3, 
b-D-Galp," 3,4,4,until", H4,4.12,4,5,1, 
b-D-Galp," 3,4,4,until", H5,3.68, , ,0, 
b-D-Galp," 3,4,4,until", H61,3.75, , ,0, 
b-D-Galp," 3,4,4,until", H62,3.8, , ,0, 
b-D-Galp," 4,until", C1,105.2, , ,0, 
b-D-Galp," 4,until", C2,70.6, , ,0, 
b-D-Galp," 4,until", C3,73.2, , ,0, 
b-D-Galp," 4,until", C4,76.8, , ,0, 
b-D-Galp," 4,until", C5,74, , ,0, 
b-D-Galp," 4,until", C6,61.9, , ,0, 
b-D-GalpNAc," 4,4,until", C1,103.2, , ,0, 
b-D-GalpNAc," 4,4,until", C2,52.2, , ,0, 
b-D-GalpNAc," 4,4,until", C3,80.7, , ,0, 
b-D-GalpNAc," 4,4,until", C4,68.7, , ,0, 
b-D-GalpNAc," 4,4,until", C5,75.4, , ,0, 
b-D-GalpNAc," 4,4,until", C6,61.4, , ,0, 
b-D-GalpNAc," 4,4,until", CO,176.2, , ,0, 
b-D-GalpNAc," 4,4,until", CH3,23, , ,0, 
b-D-Galp," 3,4,4,until", C1,105.3, , ,0, 
b-D-Galp," 3,4,4,until", C2,70.7, , ,0, 
b-D-Galp," 3,4,4,until", C3,82.5, , ,0, 
b-D-Galp," 3,4,4,until", C4,69.3, , ,0, 
b-D-Galp," 3,4,4,until", C5,75.4, , ,0, 
b-D-Galp," 3,4,4,until", C6,61.9, , ,0, 
