MHz,300,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-L-Rhap," 3,until", H1,5.13,1,2,2, 
a-L-Rhap," 3,until", H2,4.27,2,3,2.5, 
a-L-Rhap," 3,until", H3,3.92,3,4,9.5, 
a-L-Rhap," 3,until", H4,3.6,4,5,9.5, 
a-L-Rhap," 3,until", H5,4.04,5,6,6.5, 
a-L-Rhap," 3,until", CH3,1.26, , ,0, 
b-D-GlcpA," 3,3,until", H1,4.69,1,2,7.7, 
b-D-GlcpA," 3,3,until", H2,3.52,2,3,10, 
b-D-GlcpA," 3,3,until", H3,3.62,3,4,8.5, 
b-D-GlcpA," 3,3,until", H4,3.63,4,5,9.4, 
b-D-GlcpA," 3,3,until", H5,3.84, , ,0,
a-L-Rhap," 3,until", C1,101.5, C1, H1,173, 
a-L-Rhap," 3,until", C2,70.7, , ,0, 
a-L-Rhap," 3,until", C3,81.5, , ,0, 
a-L-Rhap," 3,until", C4,71.9, , ,0, 
a-L-Rhap," 3,until", C5,69.6, , ,0, 
a-L-Rhap," 3,until", C6,17.5, , ,0, 
b-D-GlcpA," 3,3,until", C1,104.3, C1, H1,161, 
b-D-GlcpA," 3,3,until", C2,74.5, , ,0, 
b-D-GlcpA," 3,3,until", C3,82.68, , ,0, 
b-D-GlcpA," 3,3,until", C4,71, , ,0, 
b-D-GlcpA," 3,3,until", C5,76.6, , ,0, 
b-D-GlcpA," 3,3,until", C6,175.2, , ,0,
