MHz,500,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Note,a)Tentative assignment.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Glcp," 4,until", H1,4.5, , ,0, 
b-D-Glcp," 4,until", H2,3.36, , ,0, 
b-D-Glcp," 4,until", H3,3.65, , ,0, 
b-D-Glcp," 4,until", H4,3.65, , ,0, 
b-D-Glcp," 4,until", H5,3.54, , ,0, 
b-D-Glcp," 4,until", H61,3.85, , ,0, 
b-D-Glcp," 4,until", H62,3.66, , ,0, 
b-D-ManpNAc," 4,4,until", H1,4.87, , ,0, 
b-D-ManpNAc," 4,4,until", H2,4.62, , ,0, 
b-D-ManpNAc," 4,4,until", H3,3.92, , ,0, 
b-D-ManpNAc," 4,4,until", H4,3.77, , ,0, 
b-D-ManpNAc," 4,4,until", H5,3.47, , ,0, 
b-D-ManpNAc," 4,4,until", H61,3.92, , ,0, 
b-D-ManpNAc," 4,4,until", H62,3.8, , ,0, 
a-D-Glcp," 3,4,4,until", H1,5.25, , ,0, 
a-D-Glcp," 3,4,4,until", H2,3.62, , ,0, 
a-D-Glcp," 3,4,4,until", H3,3.76, , ,0, 
a-D-Glcp," 3,4,4,until", H4,3.62, , ,0, 
a-D-Glcp," 3,4,4,until", H5,3.8, , ,0, 
a-D-Glcp," 3,4,4,until", H61,3.92, , ,0, a
a-D-Glcp," 3,4,4,until", H62,3.83, , ,0, a
a-D-GlcpA," 3,3,4,4,until", H1,5.34, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H2,3.62, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H3,3.93, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H4,3.76, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H5,4.33, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H1,5.39, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H2,3.92, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H3,3.84, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H4,3.69, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H5,3.92, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H61,3.82, , ,0, a
a-D-GlcpNAc," 4,3,3,4,4,until", H62,3.77, , ,0, a
b-D-Glcp," 4,until", C1,103.1, , ,0, 
b-D-Glcp," 4,until", C2,73.8, , ,0, 
b-D-Glcp," 4,until", C3,74.7, , ,0, 
b-D-Glcp," 4,until", C4,79.4, , ,0, 
b-D-Glcp," 4,until", C5,75.3, , ,0, 
b-D-ManpNAc," 4,4,until", C1,100, , ,0, 
b-D-ManpNAc," 4,4,until", C2,53.5, , ,0, 
b-D-ManpNAc," 4,4,until", C3,79.1, , ,0, 
b-D-ManpNAc," 4,4,until", C4,67.4, , ,0, 
b-D-ManpNAc," 4,4,until", C5,77, , ,0, 
a-D-Glcp," 3,4,4,until", C1,101.4, , ,0, 
a-D-Glcp," 3,4,4,until", C2,72.7, , ,0, 
a-D-Glcp," 3,4,4,until", C3,79.8, , ,0, 
a-D-Glcp," 3,4,4,until", C4,70.8, , ,0, 
a-D-Glcp," 3,4,4,until", C5,72.9, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C1,99.7, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C2,71.1, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C3,74.2, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C4,77.2, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C5,73.6, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C1,97.3, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C2,54.1, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C3,70.2, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C4,79.5, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C5,71.4, , ,0,
