MHz,500,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Glcp," 4,until", H1,4.49, , ,0, 
b-D-Glcp," 4,until", H2,3.34, , ,0, 
b-D-Glcp," 4,until", H3,3.64, , ,0, 
b-D-Glcp," 4,until", H4,3.64, , ,0, 
b-D-Glcp," 4,until", H5,3.52, , ,0, 
b-D-Glcp," 4,until", H61,3.84, , ,0, 
b-D-Glcp," 4,until", H62,3.69, , ,0, 
b-D-ManpNAc," 4,4,until", H1,4.86, , ,0, 
b-D-ManpNAc," 4,4,until", H2,4.6, , ,0, 
b-D-ManpNAc," 4,4,until", H3,3.94, , ,0, 
b-D-ManpNAc," 4,4,until", H4,3.74, , ,0, 
b-D-ManpNAc," 4,4,until", H5,3.45, , ,0, 
b-D-ManpNAc," 4,4,until", H61,3.91, , ,0, 
b-D-ManpNAc," 4,4,until", H62,3.8, , ,0, 
a-D-Galp," 3,4,4,until", H1,5.3, , ,0, 
a-D-Galp," 3,4,4,until", H2,3.94, , ,0, 
a-D-Galp," 3,4,4,until", H3,3.81, , ,0, 
a-D-Galp," 3,4,4,until", H4,4.17, , ,0, 
a-D-Galp," 3,4,4,until", H5,4.12, , ,0, 
a-D-Galp," 3,4,4,until", H61,3.75, , ,0, 
a-D-Galp," 3,4,4,until", H62,3.75, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H1,5.08, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H2,3.63, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H3,3.96, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H4,3.76, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H5,4.27, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H1,5.37, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H2,3.91, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H3,3.81, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H4,3.67, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", H5,3.91, , ,0,
b-D-Glcp," 4,until", C1,103.2, , ,0, 
b-D-Glcp," 4,until", C2,73.9, , ,0, 
b-D-Glcp," 4,until", C3,74.8, , ,0, 
b-D-Glcp," 4,until", C4,79.5, , ,0, 
b-D-Glcp," 4,until", C5,75.4, , ,0, 
b-D-ManpNAc," 4,4,until", C1,100.1, , ,0, 
b-D-ManpNAc," 4,4,until", C2,53.5, , ,0, 
b-D-ManpNAc," 4,4,until", C3,78, , ,0, 
b-D-ManpNAc," 4,4,until", C4,67.6, , ,0, 
b-D-ManpNAc," 4,4,until", C5,77.2, , ,0, 
a-D-Galp," 3,4,4,until", C1,101, , ,0, 
a-D-Galp," 3,4,4,until", C2,67.7, , ,0, 
a-D-Galp," 3,4,4,until", C3,75, , ,0, 
a-D-Galp," 3,4,4,until", C4,66.5, , ,0, 
a-D-Galp," 3,4,4,until", C5,71.9, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C1,95.6, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C2,72.3, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C3,74.3, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C4,77.4, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C5,73.6, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C1,97.5, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C2,54.2, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C3,70.2, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C4,79.6, , ,0, 
a-D-GlcpNAc," 4,3,3,4,4,until", C5,71.5, , ,0,
