MHz,400,,,,,,
Temperature,323,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-L-Rhap2Ac," 2,3,until", H1,4.94,1,2,1.5, 
a-L-Rhap2Ac," 2,3,until", H2,4.23,2,3,3.3, 
a-L-Rhap2Ac," 2,3,until", H3,3.82,3,4,9.5, 
a-L-Rhap2Ac," 2,3,until", H4,3.56,4,5,9.6, 
a-L-Rhap2Ac," 2,3,until", H5,4.04,5,6,6.2, 
a-L-Rhap2Ac," 2,3,until", CH3,1.3, , ,0, 
a-L-Rhap2Ac," 2,3,until", NAC,2.26, , ,0, 
a-D-Galp," 3,2,3,until", H1,5.31,1,2,3.8, 
a-D-Galp," 3,2,3,until", H2,3.86,2,3,10.2, 
a-D-Galp," 3,2,3,until", H3,3.97,3,4,2.5, 
a-D-Galp," 3,2,3,until", H4,4.01, , ,0, 
a-D-Galp," 3,2,3,until", H5,4.18, , ,0, 
a-D-Galp," 3,2,3,until", H61,3.75, , ,0, 
a-D-Galp," 3,2,3,until", H62,3.73, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", H1,4.69,1,2,8.2, 
b-D-GlcpNAc," 2,3,2,3,until", H2,3.83,2,3,8.9, 
b-D-GlcpNAc," 2,3,2,3,until", H3,3.75,3,4,9.2, 
b-D-GlcpNAc," 2,3,2,3,until", H4,3.66,4,5,9.2, 
b-D-GlcpNAc," 2,3,2,3,until", H5,3.52, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", H61,3.95, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", H62,3.75, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", NAC,1.97, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", H1,5.34,1,2,4.1, 
a-D-GalpA," 3,2,3,2,3,until", H2,3.86,2,3,10.2, 
a-D-GalpA," 3,2,3,2,3,until", H3,3.99,3,4,3, 
a-D-GalpA," 3,2,3,2,3,until", H4,4.42, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", H5,4.51, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H1,4.88, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H2,3.85, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H3,3.89, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H4,3.81, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H5,4.04, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H61,3.81, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", H62,3.76, , ,0,
a-L-Rhap2Ac," 2,3,until", C1,101.41, , ,0, 
a-L-Rhap2Ac," 2,3,until", C2,67.92, , ,0, 
a-L-Rhap2Ac," 2,3,until", C3,77.2, , ,0, 
a-L-Rhap2Ac," 2,3,until", C4,71.25, , ,0, 
a-L-Rhap2Ac," 2,3,until", C5,69.93, , ,0, 
a-L-Rhap2Ac," 2,3,until", C6,17.49, , ,0, 
a-L-Rhap2Ac," 2,3,until", CH3,174.17, , ,0, 
a-D-Galp," 3,2,3,until", C1,96.47, , ,0, 
a-D-Galp," 3,2,3,until", C2,79.35, , ,0, 
a-D-Galp," 3,2,3,until", C3,69.12, , ,0, 
a-D-Galp," 3,2,3,until", C4,70.43, , ,0, 
a-D-Galp," 3,2,3,until", C5,71.37, , ,0, 
a-D-Galp," 3,2,3,until", C6,61.75, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", C1,104.05, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", C2,55.37, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", C3,83.16, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", C4,71.37, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", C5,76.42, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", C6,61.75, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", CH3,23.03, , ,0, 
b-D-GlcpNAc," 2,3,2,3,until", CO,175.54, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", C1,101.41, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", C2,69.19, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", C3,69, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", C4,80.09, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", C5,71.25, , ,0, 
a-D-GalpA," 3,2,3,2,3,until", C6,173.11, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", C1,102.21, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", C2,71.58, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", C3,70, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", C4,76.18, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", C5,72.94, , ,0, 
a-D-Manp," 4,3,2,3,2,3,until", C6,61.3, , ,0,
