MHz,400,,,,,,
Temperature,343,,,,,,
Solvent,H2O:D2O=4:1,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-GlcpNAc," 4,until", H1,4.88,1,2,3.8, 
a-D-GlcpNAc," 4,until", H2,3.64,2,3,5, 
a-D-GlcpNAc," 4,until", H3,3.82,3,4,4, 
a-D-GlcpNAc," 4,until", H4,4.03,4,5,3, 
a-D-GlcpNAc," 4,until", H5,4.67, , ,0, 
a-D-GlcpNAc," 4,until", NH,8.01,2, NH,9.4, 
a-D-GlcpNAc," 4,until", NAC,1.99, , ,0, 
a-L-IdopA," 4,4,until", H1,5.13,1,2,3.7, 
a-L-IdopA," 4,4,until", H2,3.92,2,3,9.5, 
a-L-IdopA," 4,4,until", H3,3.72,3,4,9.6, 
a-L-IdopA," 4,4,until", H4,3.68,4,5,10, 
a-L-IdopA," 4,4,until", H5,3.84,5, 6pS,3.6, 
a-L-IdopA," 4,4,until", H6PS,3.84,5, 6pR,4.6, 
a-L-IdopA," 4,4,until", H6PR,3.78, 6pS, 6pR,-12.3,
a-D-GlcpNAc," 4,until", C1,102.5, , ,0, 
a-D-GlcpNAc," 4,until", C2,70.9, , ,0, 
a-D-GlcpNAc," 4,until", C3,70.6, , ,0, 
a-D-GlcpNAc," 4,until", C4,75.8, , ,0, 
a-D-GlcpNAc," 4,until", C5,70.9, , ,0, 
a-D-GlcpNAc," 4,until", C6,175.1, , ,0, 
a-D-GlcpNAc," 4,until", CO,175.1, , ,0, 
a-D-GlcpNAc," 4,until", CH3,22.8, , ,0, 
a-L-IdopA," 4,4,until", C1,95.5, , ,0, 
a-L-IdopA," 4,4,until", C2,54.6, , ,0, 
a-L-IdopA," 4,4,until", C3,70.6, , ,0, 
a-L-IdopA," 4,4,until", C4,78.2, , ,0, 
a-L-IdopA," 4,4,until", C5,72, , ,0, 
a-L-IdopA," 4,4,until", C6,60.9, , ,0,
