MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Glcp," 4,until", H1,4.569,1,2,8, 
b-D-Glcp," 4,until", H2,3.362,2,3,8.5, 
b-D-Glcp," 4,until", H3,3.67, , ,0, 
b-D-Glcp," 4,until", H4,3.68, , ,0, 
b-D-Glcp," 4,until", H5,3.62, , ,0, 
b-D-Glcp," 4,until", H61,4,5,6,2, 
b-D-Glcp," 4,until", H62,3.84,6, 6',-11.7, 
b-D-Galp," 4,4,until", H1,4.512,1,2,7.9, 
b-D-Galp," 4,4,until", H2,3.59, , ,0, 
b-D-Galp," 4,4,until", H3,3.75, , ,0, 
b-D-Galp," 4,4,until", H4,4.03, , ,0, 
b-D-Galp," 4,4,until", H5,3.79, , ,0, 
b-D-Galp," 4,4,until", H61,3.93, , ,0, 
b-D-Galp," 4,4,until", H62,3.85, , ,0, 
a-D-Glcp," 4,4,4,until", H1,4.919,1,2,3.5, 
a-D-Glcp," 4,4,4,until", H2,3.561,2,3,9.9, 
a-D-Glcp," 4,4,4,until", H3,3.75, , ,0, 
a-D-Glcp," 4,4,4,until", H4,3.56, , ,0, 
a-D-Glcp," 4,4,4,until", H5,4.288, , ,0, 
a-D-Glcp," 4,4,4,until", H61,4.105,5,6,2, 
a-D-Glcp," 4,4,4,until", H62,3.89,5, 6',2, 
b-D-GlcpA," 6,4,4,4,until", H1,4.528,1,2,8, 
b-D-GlcpA," 6,4,4,4,until", H2,3.435,2,3,8.5, 
b-D-GlcpA," 6,4,4,4,until", H3,3.65, , ,0, 
b-D-GlcpA," 6,4,4,4,until", H4,3.76, , ,0, 
b-D-GlcpA," 6,4,4,4,until", H5,3.86, , ,0,
b-D-Glcp," 4,until", C1,103.22, C1, H1,163, 
b-D-Glcp," 4,until", C2,73.87, , ,0, 
b-D-Glcp," 4,until", C3,75.07, , ,0, 
b-D-Glcp," 4,until", C4,79.57, , ,0, 
b-D-Glcp," 4,until", C5,75.71, , ,0, 
b-D-Glcp," 4,until", C6,61.04, , ,0, 
b-D-Galp," 4,4,until", C1,104.08, C1, H1,162, 
b-D-Galp," 4,4,until", C2,71.7, , ,0, 
b-D-Galp," 4,4,until", C3,73, , ,0, 
b-D-Galp," 4,4,until", C4,78.03, , ,0, 
b-D-Galp," 4,4,until", C5,76.24, , ,0, 
b-D-Galp," 4,4,until", C6,61.04, , ,0, 
a-D-Glcp," 4,4,4,until", C1,100.81, C1, H1,171, 
a-D-Glcp," 4,4,4,until", C2,72.6, , ,0, 
a-D-Glcp," 4,4,4,until", C3,73.55, , ,0, 
a-D-Glcp," 4,4,4,until", C4,69.19, , ,0, 
a-D-Glcp," 4,4,4,until", C5,71.83, , ,0, 
a-D-Glcp," 4,4,4,until", C6,68.97, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C1,103.35, C1, H1,163, 
b-D-GlcpA," 6,4,4,4,until", C2,73.55, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C3,75.25, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C4,81.36, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C5,76.56, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C6,175.62, , ,0, 
