MHz,250,,,,,,
Temperature,303,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-Galp," 6,until", H1,4.9,1,2,3.2, 
a-D-Galp," 6,until", H2,3.72,2,3,9.8, 
a-D-Galp," 6,until", H3,3.8,3,4,8.9, 
a-D-Galp," 6,until", H4,3.93,4,5,10, 
a-D-Galp," 6,until", H5,4.03,5,6,6, 
a-D-Galp," 6,until", H61,3.77,5, 6',6, 
a-D-Galp," 6,until", H62,3.63,6, 6',9, 
a-D-Galp," 6,6,until", H1,5.09,1,2,2.2, 
a-D-Galp," 6,6,until", H2,3.83, , ,0, 
a-D-Galp," 6,6,until", H3,3.87, , ,0, 
a-D-Galp," 6,6,until", H4,3.92, , ,0, 
a-D-Galp," 6,6,until", H5,3.91, , ,0, 
a-D-Galp," 6,6,until", H61,3.64, , ,0, 
a-D-Galp," 6,6,until", H62,3.64, , ,0, 
a-D-Glcp," 2,6,6,until", H1,5,1,2,3, 
a-D-Glcp," 2,6,6,until", H2,3.48, , ,0, 
a-D-Glcp," 2,6,6,until", H3,3.67, , ,0, 
a-D-Glcp," 2,6,6,until", H4,3.39, , ,0, 
a-D-Glcp," 2,6,6,until", H5,4.01, , ,0, 
a-D-Glcp," 2,6,6,until", H61,3.68, , ,0, 
a-D-Glcp," 2,6,6,until", H62,3.84, , ,0,
a-D-Galp," 6,until", C1,99, , ,0, 
a-D-Galp," 6,until", C2,69.3, , ,0, 
a-D-Galp," 6,until", C3,70.2, , ,0, 
a-D-Galp," 6,until", C4,70.3, , ,0, 
a-D-Galp," 6,until", C5,69.7, , ,0, 
a-D-Galp," 6,until", C6,67.8, , ,0, 
a-D-Galp," 6,6,until", C1,97, , ,0, 
a-D-Galp," 6,6,until", C2,74, , ,0, 
a-D-Galp," 6,6,until", C3,70.3, , ,0, 
a-D-Galp," 6,6,until", C4,68.8, , ,0, 
a-D-Galp," 6,6,until", C5,71.8, , ,0, 
a-D-Galp," 6,6,until", C6,62.1, , ,0, 
a-D-Glcp," 2,6,6,until", C1,97.2, , ,0, 
a-D-Glcp," 2,6,6,until", C2,72.2, , ,0, 
a-D-Glcp," 2,6,6,until", C3,74.2, , ,0, 
a-D-Glcp," 2,6,6,until", C4,70.7, , ,0, 
a-D-Glcp," 2,6,6,until", C5,71.2, , ,0, 
a-D-Glcp," 2,6,6,until", C6,67, , ,0,
