MHz,300,,,,,,
Temperature,353,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-L-Rhap," 2,until", H1,4.87,1,2,2, 
a-L-Rhap," 2,until", H2,3.9,2,3,3.5, 
a-L-Rhap," 2,until", H3,3.71,3,4,9.5, 
a-L-Rhap," 2,until", H4,3.25,4,5,9.5, 
a-L-Rhap," 2,until", H5,3.59,5,6,6, 
a-L-Rhap," 2,until", CH3,1.22, , ,0, 
b-D-GlcpNAc," 2,2,until", H1,4.59,1,2,8, 
b-D-GlcpNAc," 2,2,until", H2,3.82,2,3,10, 
b-D-GlcpNAc," 2,2,until", H3,3.64,3,4,10, 
b-D-GlcpNAc," 2,2,until", H4,3.47,4,5,10, 
b-D-GlcpNAc," 2,2,until", H5,3.39,5,6,3, 
b-D-GlcpNAc," 2,2,until", H61,3.86,6, 6',12.3, 
b-D-GlcpNAc," 2,2,until", H62,3.71,5, 6',5.5, 
a-L-FucpNAc," 3,2,2,until", H1,4.95,1,2,4, 
a-L-FucpNAc," 3,2,2,until", H2,4.3,2,3,10.5, 
a-L-FucpNAc," 3,2,2,until", H3,3.87,3,4,3.5, 
a-L-FucpNAc," 3,2,2,until", H4,3.84,4,5,2, 
a-L-FucpNAc," 3,2,2,until", H5,4.35,5,6,6, 
a-L-FucpNAc," 3,2,2,until", CH3,1.15, , ,0, 
a-D-Glcp," 3,3,2,2,until", H1,4.97,1,2,4, 
a-D-Glcp," 3,3,2,2,until", H2,3.44,2,3,9.5, 
a-D-Glcp," 3,3,2,2,until", H3,3.67,3,4,9.5, 
a-D-Glcp," 3,3,2,2,until", H4,3.32,4,5,9.5, 
a-D-Glcp," 3,3,2,2,until", H5,3.82,5,6,2.5, 
a-D-Glcp," 3,3,2,2,until", H61,3.91,6, 6',11.5, 
a-D-Glcp," 3,3,2,2,until", H62,3.57,5, 6',5,
a-L-Rhap," 2,until", C1,100.1, C1, H1,173, 
a-L-Rhap," 2,until", C2,79.4, , ,0, 
a-L-Rhap," 2,until", C3,71, , ,0, 
a-L-Rhap," 2,until", C4,73.4, , ,0, 
a-L-Rhap," 2,until", C5,69.6, , ,0, 
a-L-Rhap," 2,until", C6,17.5, , ,0, 
b-D-GlcpNAc," 2,2,until", C1,103.4, C1, H1,163, 
b-D-GlcpNAc," 2,2,until", C2,56.6, , ,0, 
b-D-GlcpNAc," 2,2,until", C3,79.9, , ,0, 
b-D-GlcpNAc," 2,2,until", C4,69.6, , ,0, 
b-D-GlcpNAc," 2,2,until", C5,76.68, , ,0, 
b-D-GlcpNAc," 2,2,until", C6,61.8, , ,0, 
a-L-FucpNAc," 3,2,2,until", C1,98.9, C1, H1,172, 
a-L-FucpNAc," 3,2,2,until", C2,49.1, , ,0, 
a-L-FucpNAc," 3,2,2,until", C3,77.4, , ,0, 
a-L-FucpNAc," 3,2,2,until", C4,72.18, , ,0, 
a-L-FucpNAc," 3,2,2,until", C5,67.68, , ,0, 
a-L-FucpNAc," 3,2,2,until", C6,16.2, , ,0, 
a-D-Glcp," 3,3,2,2,until", C1,101.4, C1, H1,170, 
a-D-Glcp," 3,3,2,2,until", C2,72.38, , ,0, 
a-D-Glcp," 3,3,2,2,until", C3,73.8, , ,0, 
a-D-Glcp," 3,3,2,2,until", C4,70.8, , ,0, 
a-D-Glcp," 3,3,2,2,until", C5,72.1, , ,0, 
a-D-Glcp," 3,3,2,2,until", C6,67.68, , ,0,
