MHz,300,,,,,,
Temperature,338,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Galf," 2,until", H1,5.07,1,2,1.5, 
b-D-Galf," 2,until", H2,4.14,2,3,3.5, 
b-D-Galf," 2,until", H3,4.24,3,4,7, 
b-D-Galf," 2,until", H4,4.01,4,5,4, 
b-D-Galf," 2,until", H5,3.88,5,6,6.5, 
b-D-Galf," 2,until", H61,3.73,5, 6',6.5, 
b-D-Galf," 2,until", H62,3.68,6, 6',11, 
a-D-GlcpNAc," 2,2,until", H1,4.96,1,2,3.5, 
a-D-GlcpNAc," 2,2,until", H2,4.13,2,3,10, 
a-D-GlcpNAc," 2,2,until", H3,3.76,3,4,9, 
a-D-GlcpNAc," 2,2,until", H4,3.61,4,5,9, 
a-D-GlcpNAc," 2,2,until", H5,3.79,5,6,3.5, 
a-D-GlcpNAc," 2,2,until", H61,3.95,5, 6',4, 
a-D-GlcpNAc," 2,2,until", H62,3.85,6, 6',12, 
a-L-Rhap2Ac," 3,2,2,until", H1,4.92,1,2,2.5, 
a-L-Rhap2Ac," 3,2,2,until", H2,5.12,2,3,3, 
a-L-Rhap2Ac," 3,2,2,until", H3,3.94,3,4,9.5, 
a-L-Rhap2Ac," 3,2,2,until", H4,3.6,4,5,9.5, 
a-L-Rhap2Ac," 3,2,2,until", H5,4.08,5,6,6.5, 
a-L-Rhap2Ac," 3,2,2,until", CH3,1.28, , ,0, 
a-D-Glcp," 3,3,2,2,until", H1,4.95,1,2,4, 
a-D-Glcp," 3,3,2,2,until", H2,3.54,2,3,10, 
a-D-Glcp," 3,3,2,2,until", H3,3.69,3,4,10, 
a-D-Glcp," 3,3,2,2,until", H4,3.48,4,5,10, 
a-D-Glcp," 3,3,2,2,until", H5,3.99,5,6,2, 
a-D-Glcp," 3,3,2,2,until", H61,3.95,5, 6',0, 
a-D-Glcp," 3,3,2,2,until", H62,3.72,6, 6',11,
b-D-Galf," 2,until", C1,106.8, C, H,174, 
b-D-Galf," 2,until", C2,87.4, , ,0, 
b-D-Galf," 2,until", C3,76.3, , ,0, 
b-D-Galf," 2,until", C4,83.3, , ,0, 
b-D-Galf," 2,until", C5,71.3, , ,0, 
b-D-Galf," 2,until", C6,63.8, , ,0, 
a-D-GlcpNAc," 2,2,until", C1,97.9, C, H,171, 
a-D-GlcpNAc," 2,2,until", C2,53.7, , ,0, 
a-D-GlcpNAc," 2,2,until", C3,80.4, , ,0, 
a-D-GlcpNAc," 2,2,until", C4,69.3, , ,0, 
a-D-GlcpNAc," 2,2,until", C5,73.7, , ,0, 
a-D-GlcpNAc," 2,2,until", C6,61.6, , ,0, 
a-D-GlcpNAc," 2,2,until", CO,175, , ,0, 
a-D-GlcpNAc," 2,2,until", CH3,23, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", C1,99.2, C, H,171, 
a-L-Rhap2Ac," 3,2,2,until", C2,69.7, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", C3,74.7, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", C4,71.5, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", C5,69.6, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", C6,17.4, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", CO,173.8, , ,0, 
a-L-Rhap2Ac," 3,2,2,until", CH3,21.1, , ,0, 
a-D-Glcp," 3,3,2,2,until", C1,96.5, C, H,174, 
a-D-Glcp," 3,3,2,2,until", C2,72.5, , ,0, 
a-D-Glcp," 3,3,2,2,until", C3,73.8, , ,0, 
a-D-Glcp," 3,3,2,2,until", C4,70.4, , ,0, 
a-D-Glcp," 3,3,2,2,until", C5,71.3, , ,0, 
a-D-Glcp," 3,3,2,2,until", C6,66.9, , ,0, 
