MHz,300,,,,,,
Temperature,303,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-GlcpNAc," 4,until", H1,4.54,1,2,8, 
b-D-GlcpNAc," 4,until", H2,3.75,2,3,9, 
b-D-GlcpNAc," 4,until", H4,3.72,4,5,9, 
b-D-GlcpNAc," 4,until", H5,3.6,5,6,2, 
b-D-GlcpNAc," 4,until", H61,4,5, 6',3, 
b-D-GlcpNAc," 4,until", H62,3.86,6, 6',11, 
b-D-Galp," 4,4,until", H1,4.52,1,2,7.5, 
b-D-Galp," 4,4,until", H2,3.62,2,3,10, 
b-D-Galp," 4,4,until", H3,3.8,3,4,4, 
b-D-Galp," 4,4,until", H4,4.19,4,5,2, 
b-D-Galp," 4,4,until", H5,3.8, , ,0, 
b-D-Galp," 4,4,until", H61,4, , ,0, 
b-D-Galp," 4,4,until", H62,3.85, , ,0, 
b-D-Galp," 4,4,4,until", H1,4.58,1,2,7, 
b-D-Galp," 4,4,4,until", H2,3.56,2,3,10, 
b-D-Galp," 4,4,4,until", H3,3.67,3,4,4, 
b-D-Galp," 4,4,4,until", H4,3.92,4,5,2, 
b-D-Galp," 4,4,4,until", H5,3.86, , ,0, 
b-D-Galp," 4,4,4,until", H61,3.78, , ,0, 
b-D-Galp," 4,4,4,until", H62,3.78, , ,0, 
b-D-GlcpA," 6,4,4,4,until", H1,4.505,1,2,8, 
b-D-GlcpA," 6,4,4,4,until", H2,3.35,2,3,9, 
b-D-GlcpA," 6,4,4,4,until", H3,3.74,3,4,10, 
b-D-GlcpA," 6,4,4,4,until", H4,3.76,4,5,10, 
b-D-GlcpA," 6,4,4,4,until", H5,3.79, , ,0, 
a-D-Glcp," 4,6,4,4,4,until", H1,5.45,1,2,3, 
a-D-Glcp," 4,6,4,4,4,until", H2,3.47,2,3,10, 
a-D-Glcp," 4,6,4,4,4,until", H3,3.67,3,4,10, 
a-D-Glcp," 4,6,4,4,4,until", H4,3.42,4,5,10, 
a-D-Glcp," 4,6,4,4,4,until", H5,3.75,5,6,2, 
a-D-Glcp," 4,6,4,4,4,until", H61,4.06,5, 6',6, 
a-D-Glcp," 4,6,4,4,4,until", H62,3.84,6, 6',11,
b-D-GlcpNAc," 4,until", C1,102.3, C, H,163, 
b-D-GlcpNAc," 4,until", C2,55.9, , ,0, 
b-D-GlcpNAc," 4,until", C3,73.18, , ,0, 
b-D-GlcpNAc," 4,until", C4,79.8, , ,0, 
b-D-GlcpNAc," 4,until", C5,75.5, , ,0, 
b-D-GlcpNAc," 4,until", C6,61, , ,0, 
b-D-GlcpNAc," 4,until", CO,175.3, , ,0, 
b-D-GlcpNAc," 4,until", CH3,23.1, , ,0, 
b-D-Galp," 4,4,until", C1,103.6, C, H,163, 
b-D-Galp," 4,4,until", C2,72.1, , ,0, 
b-D-Galp," 4,4,until", C3,73.8, , ,0, 
b-D-Galp," 4,4,until", C4,77.9, , ,0, 
b-D-Galp," 4,4,until", C5,75.3, , ,0, 
b-D-Galp," 4,4,until", C6,61.6, , ,0, 
b-D-Galp," 4,4,4,until", C1,104.9, C, H,163, 
b-D-Galp," 4,4,4,until", C2,72.2, , ,0, 
b-D-Galp," 4,4,4,until", C3,73.5, , ,0, 
b-D-Galp," 4,4,4,until", C4,69.4, , ,0, 
b-D-Galp," 4,4,4,until", C5,74.4, , ,0, 
b-D-Galp," 4,4,4,until", C6,70.28, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C1,103.8, C, H,161, 
b-D-GlcpA," 6,4,4,4,until", C2,73.9, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C3,77.4, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C4,77.6, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C5,77.18, , ,0, 
b-D-GlcpA," 6,4,4,4,until", C6,175.6, , ,0, 
a-D-Glcp," 4,6,4,4,4,until", C1,98.7, C, H,172, 
a-D-Glcp," 4,6,4,4,4,until", C2,72.4, , ,0, 
a-D-Glcp," 4,6,4,4,4,until", C3,73.6, , ,0, 
a-D-Glcp," 4,6,4,4,4,until", C4,70.2, , ,0, 
a-D-Glcp," 4,6,4,4,4,until", C5,71.4, , ,0, 
a-D-Glcp," 4,6,4,4,4,until", C6,68.6, , ,0,
