MHz,500,,,,,,
Temperature,313,,,,,,
Solvent,D2O,,,,,,
Note,"Proton chemical shifts were referenced to residual HDO at 4.61 ppm. a,b)Assignments may have to be interchanged.",,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Galf," 5,until", H1,5.02,1,2,2, 
b-D-Galf," 5,until", H2,4.1, , ,0, 
b-D-Galf," 5,until", H3,4.11, , ,0, 
b-D-Galf," 5,until", H4,4.11, , ,0, 
b-D-Galf," 5,until", H5,3.93, , ,0, 
b-D-Galf," 5,until", H61,3.79, , ,0, 
b-D-Galf," 5,until", H62,3.79, , ,0, 
b-D-Galf," 5,5,until", H1,5.19,1,2,2, 
b-D-Galf," 5,5,until", H2,4.13, , ,0, 
b-D-Galf," 5,5,until", H3,4.14, , ,0, 
b-D-Galf," 5,5,until", H4,4.16, , ,0, a
b-D-Galf," 5,5,until", H5,3.86, , ,0, b
b-D-Galf," 5,5,until", H61,3.81, , ,0, 
b-D-Galf," 5,5,until", H62,3.81, , ,0, 
b-D-Galf," 5,5,5,until", H1,5.19,1,2,2, 
b-D-Galf," 5,5,5,until", H2,4.13, , ,0, 
b-D-Galf," 5,5,5,until", H3,4.14, , ,0, 
b-D-Galf," 5,5,5,until", H4,4.17, , ,0, a
b-D-Galf," 5,5,5,until", H5,3.84, , ,0, b
b-D-Galf," 5,5,5,until", H61,3.81, , ,0, 
b-D-Galf," 5,5,5,until", H62,3.81, , ,0, 
b-D-Galf," 5,5,5,5,until", H1,5.23,1,2,2, 
b-D-Galf," 5,5,5,5,until", H2,4.15, , ,0, 
b-D-Galf," 5,5,5,5,until", H3,4.07, , ,0, 
b-D-Galf," 5,5,5,5,until", H4,4.07, , ,0, 
b-D-Galf," 5,5,5,5,until", H5,3.97, , ,0, 
b-D-Galf," 5,5,5,5,until", H61,3.88, , ,0, 
b-D-Galf," 5,5,5,5,until", H62,3.64, , ,0,
b-D-Galf," 5,until", C1,108.6, , ,0, 
b-D-Galf," 5,until", C2,81.9, , ,0, a
b-D-Galf," 5,until", C3,77.5, , ,0, b
b-D-Galf," 5,until", C4,82.8, , ,0, 
b-D-Galf," 5,until", C5,76.3, , ,0, 
b-D-Galf," 5,until", C6,61.8, , ,0, 
b-D-Galf," 5,5,until", C1,107.8, , ,0, 
b-D-Galf," 5,5,until", C2,82.2, , ,0, 
b-D-Galf," 5,5,until", C3,77.3, , ,0, 
b-D-Galf," 5,5,until", C4,82.5, , ,0, c
b-D-Galf," 5,5,until", C5,76.8, , ,0, d
b-D-Galf," 5,5,until", C6,61.9, , ,0, 
b-D-Galf," 5,5,5,until", C1,107.8, , ,0, 
b-D-Galf," 5,5,5,until", C2,82.2, , ,0, 
b-D-Galf," 5,5,5,until", C3,77.3, , ,0, 
b-D-Galf," 5,5,5,until", C4,82.6, , ,0, c
b-D-Galf," 5,5,5,until", C5,76.4, , ,0, d
b-D-Galf," 5,5,5,until", C6,61.9, , ,0, 
b-D-Galf," 5,5,5,5,until", C1,107.9, , ,0, 
b-D-Galf," 5,5,5,5,until", C2,82, , ,0, a
b-D-Galf," 5,5,5,5,until", C3,77.6, , ,0, b
b-D-Galf," 5,5,5,5,until", C4,84, , ,0, 
b-D-Galf," 5,5,5,5,until", C5,70.5, , ,0, 
b-D-Galf," 5,5,5,5,until", C6,70.1, , ,0,
