MHz,600,,,,,,
Temperature,25,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Varian unity Inova,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-D-GALP, , H1,5.3, , , , note
A-D-GALP, , H2,3.94, , , , note
A-D-GALP, , H3,3.94, , , , note
A-D-GALP, , H4,4.22, , , , note
A-D-GALP, , H5,4.03, , , , note
A-D-GALP, , H61,3.76, , , , note
A-D-GALP, , H62,3.73, , , , note
A-D-GALPNAC," 3, 6, 4", H1,4.85, , , , note
A-D-GALPNAC," 3, 6, 4", H2,4.32, , , , note
A-D-GALPNAC," 3, 6, 4", H3,4.11, , , , note
A-D-GALPNAC," 3, 6, 4", H4,3.34, , , , note
A-D-GALPNAC," 3, 6, 4", H5,3.9, , , , note
A-D-GALPNAC," 3, 6, 4", H61,3.64, , , , note
A-D-GALPNAC," 3, 6, 4", H62,3.61, , , , note
A-D-GALP, , C1,93.4, , , , note
A-D-GALP, , C2,67.8, , , , note
A-D-GALP, , C3,74.7, , , , note
A-D-GALP, , C4,66.5, , , , note
A-D-GALP, , C5,71.6, , , , note
A-D-GALP, , C6,62.3, , , , note
A-D-GALPNAC," 3, 6, 4", C1,101.4, , , , note
A-D-GALPNAC," 3, 6, 4", C2,52.9, , , , note
A-D-GALPNAC," 3, 6, 4", C3,68.8, , , , note
A-D-GALPNAC," 3, 6, 4", C4,70.3, , , , note
A-D-GALPNAC," 3, 6, 4", C5,71.1, , , , note
A-D-GALPNAC," 3, 6, 4", C6,64.4, , , , note
