MHz,500,,,,,,
Temperature,27,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker AMX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-FRUF, , H1,3.76, , , , note
B-D-FRUF, , H1,3.69, , , , note
B-D-FRUF, , H3,4.18, , , , note
B-D-FRUF, , H4,4.09, , , , note
B-D-FRUF, , H5,3.87, , , , note
B-D-FRUF, , H61,3.88, , , , note
B-D-FRUF, , H62,3.83, , , , note
B-D-FRUF,2, H1,3.88, , , , note
B-D-FRUF,2, H1,3.8, , , , note
B-D-FRUF,2, H3,4.3, , , , note
B-D-FRUF,2, H4,4.09, , , , note
B-D-FRUF,2, H5,3.81, , , , note
B-D-FRUF,2, H61,3.84, , , , note
B-D-FRUF,2, H62,3.77, , , , note
A-D-GLCP," 2, 2", H1,5.71, , , , note
A-D-GLCP," 2, 2", H2,3.66, , , , note
A-D-GLCP," 2, 2", H3,3.85, , , , note
A-D-GLCP," 2, 2", H4,3.5, , , , note
A-D-GLCP," 2, 2", H5,3.94, , , , note
A-D-GLCP," 2, 2", H61,3.83, , , , note
A-D-GLCP," 2, 2", H62,3.78, , , , note
A-D-GLCP," 2, 2, 2", H1,5.13, , , , note
A-D-GLCP," 2, 2, 2", H2,3.57, , , , note
A-D-GLCP," 2, 2, 2", H3,3.76, , , , note
A-D-GLCP," 2, 2, 2", H4,3.44, , , , note
A-D-GLCP," 2, 2, 2", H5,3.91, , , , note
A-D-GLCP," 2, 2, 2", H61,3.84, , , , note
A-D-GLCP," 2, 2, 2", H62,3.77, , , , note
B-D-FRUF, , C1,62.01, , , , note
B-D-FRUF, , C2,104.53, , , , note
B-D-FRUF, , C3,77.54, , , , note
B-D-FRUF, , C4,74.54, , , , note
B-D-FRUF, , C5,81.77, , , , note
B-D-FRUF, , C6,62.73, , , , note
B-D-FRUF,2, C1,61.11, , , , note
B-D-FRUF,2, C2,104.5, , , , note
B-D-FRUF,2, C3,77.58, , , , note
B-D-FRUF,2, C4,75.33, , , , note
B-D-FRUF,2, C5,81.99, , , , note
B-D-FRUF,2, C6,63.29, , , , note
A-D-GLCP," 2, 2", C1,90.57, , , , note
A-D-GLCP," 2, 2", C2,75.85, , , , note
A-D-GLCP," 2, 2", C3,72.01, , , , note
A-D-GLCP," 2, 2", C4,70.06, , , , note
A-D-GLCP," 2, 2", C5,73.04, , , , note
A-D-GLCP," 2, 2", C6,61.07, , , , note
A-D-GLCP," 2, 2, 2", C1,96.77, , , , note
A-D-GLCP," 2, 2, 2", C2,72.13, , , , note
A-D-GLCP," 2, 2, 2", C3,73.73, , , , note
A-D-GLCP," 2, 2, 2", C4,70.19, , , , note
A-D-GLCP," 2, 2, 2", C5,72.65, , , , note
A-D-GLCP," 2, 2, 2", C6,3.84, , , , note
