MHz,600,,,,,,
Temperature,45,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Varian Inova 600,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-D-GLCP, , H1,5.23, , , , note
A-D-GLCP, , H2,3.55, , , , note
A-D-GLCP, , H3,3.76, , , , note
A-D-GLCP, , H4,3.5, , , , note
A-D-GLCP, , H5,3.93, , , , note
A-D-GLCP, , H61,3.63, , , , note
A-D-GLCP, , H62,3.77, , , , note
A-L-FUCPNAC,4, H11,4.85, , , , note
A-L-FUCPNAC,4, H12,4.84, , , , note
A-L-FUCPNAC,4, H2,4.37, , , , note
A-L-FUCPNAC,4, H3,4.05, , , , note
A-L-FUCPNAC,4, H4,3.93, , , , note
A-L-FUCPNAC,4, H5,4.45, , , , note
A-L-FUCPNAC,4, H6,1.2, , , , note
A-L-FUCPNAC,4, NAc,1.99, , , , note
A-D-GLCPNAC," 4, 3", H1,5.02, , , , note
A-D-GLCPNAC," 4, 3", H2,4.08, , , , note
A-D-GLCPNAC," 4, 3", H3,3.88, , , , note
A-D-GLCPNAC," 4, 3", H4,3.56, , , , note
A-D-GLCPNAC," 4, 3", H5,3.78, , , , note
A-D-GLCPNAC," 4, 3", H61,3.8, , , , note
A-D-GLCPNAC," 4, 3", H62,3.88, , , , note
A-D-GLCPNAC," 4, 3", NAc,1.96, , , , note
A-L-FUCPNAC," 4, 3, 3", H1,5, , , , note
A-L-FUCPNAC," 4, 3, 3", H2,4.31, , , , note
A-L-FUCPNAC," 4, 3, 3", H3,3.95, , , , note
A-L-FUCPNAC," 4, 3, 3", H4,3.94, , , , note
A-L-FUCPNAC," 4, 3, 3", H5,4.44, , , , note
A-L-FUCPNAC," 4, 3, 3", H6,1.18, , , , note
A-L-FUCPNAC," 4, 3, 3", NAc,2.01, , , , note
A-D-GLCP," 4, 3, 3, 3", H1,5.03, , , , note
A-D-GLCP," 4, 3, 3, 3", H2,3.48, , , , note
A-D-GLCP," 4, 3, 3, 3", H3,3.74, , , , note
A-D-GLCP," 4, 3, 3, 3", H4,3.39, , , , note
A-D-GLCP," 4, 3, 3, 3", H5,3.77, , , , note
A-D-GLCP," 4, 3, 3, 3", H61,3.75, , , , note
A-D-GLCP," 4, 3, 3, 3", H62,3.85, , , , note
A-D-GLCP, , C1,92.6, , , , note
A-D-GLCP, , C2,72.5, , , , note
A-D-GLCP, , C3,72.3, , , , note
A-D-GLCP, , C4,77.3, , , , note
A-D-GLCP, , C5,71.5, , , , note
A-D-GLCP, , C6,60.8, , , , note
A-L-FUCPNAC,4, C1,98.6, , , , note
A-L-FUCPNAC,4, C2,49.8, , , , note
A-L-FUCPNAC,4, C3,72.9, , , , note
A-L-FUCPNAC,4, C4,71.8, , , , note
A-L-FUCPNAC,4, C5,67.8, , , , note
A-L-FUCPNAC,4, C6,16, , , , note
A-L-FUCPNAC,4, NAc,22.7, , , , note
A-L-FUCPNAC,4, CO,174.3, , , , note
A-D-GLCPNAC," 4, 3", C1,98.6, , , , note
A-D-GLCPNAC," 4, 3", C2,54.3, , , , note
A-D-GLCPNAC," 4, 3", C3,76.6, , , , note
A-D-GLCPNAC," 4, 3", C4,69.1, , , , note
A-D-GLCPNAC," 4, 3", C5,73.1, , , , note
A-D-GLCPNAC," 4, 3", C6,61.3, , , , note
A-D-GLCPNAC," 4, 3", NAc,22.9, , , , note
A-D-GLCPNAC," 4, 3", CO,174.1, , , , note
A-L-FUCPNAC," 4, 3, 3", C1,98.4, , , , note
A-L-FUCPNAC," 4, 3, 3", C2,49.1, , , , note
A-L-FUCPNAC," 4, 3, 3", C3,76.9, , , , note
A-L-FUCPNAC," 4, 3, 3", C4,72, , , , note
A-L-FUCPNAC," 4, 3, 3", C5,67.6, , , , note
A-L-FUCPNAC," 4, 3, 3", C6,16, , , , note
A-L-FUCPNAC," 4, 3, 3", NAc,23.1, , , , note
A-L-FUCPNAC," 4, 3, 3", CO,175.2, , , , note
A-D-GLCP," 4, 3, 3, 3", C1,101.6, , , , note
A-D-GLCP," 4, 3, 3, 3", C2,72.3, , , , note
A-D-GLCP," 4, 3, 3, 3", C3,73.5, , , , note
A-D-GLCP," 4, 3, 3, 3", C4,70.4, , , , note
A-D-GLCP," 4, 3, 3, 3", C5,73.1, , , , note
A-D-GLCP," 4, 3, 3, 3", C6,61.4, , , , note
