MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-GALP, , H1,5.27, , , , note
A-L-GALP, , H2,3.98, , , , note
A-L-GALP, , H3,3.88, , , , note
A-L-GALP, , H4,4.09, , , , note
A-L-GALP, , H5,3.65, , , , note
A-L-GALP, , H61,3.64, , , , note
A-L-GALP, , H62,3.72, , , , note
A-D-GLCP,3, H1,5.24, , , , note
A-D-GLCP,3, H2,3.63, , , , note
A-D-GLCP,3, H3,3.79, , , , note
A-D-GLCP,3, H4,3.47, , , , note
A-D-GLCP,3, H5,4.06, , , , note
A-L-GALP, , C1,93.17, , , , note
A-L-GALP, , C2,68.59, , , , note
A-L-GALP, , C3,78.63, , , , note
A-L-GALP, , C4,70.09, , , , note
A-L-GALP, , C5,71.48, , , , note
A-L-GALP, , C6,62.01, , , , note
A-D-GLCP,3, C1,101.29, , , , note
A-D-GLCP,3, C2,72.23, , , , note
A-D-GLCP,3, C3,73.65, , , , note
A-D-GLCP,3, C4,72.81, , , , note
A-D-GLCP,3, C5,73.4, , , , note
A-D-GLCP,3, C6,177.11, , , , note
