MHz,400,,,,,,
Temperature,37,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker AMX 400,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-D-GLCP, , H1,4.92, , , , note
A-D-GLCP, , H2,3.52, , , , note
A-D-GLCP, , H3,3.68, , , , note
A-D-GLCP, , H4,3.5, , , , note
A-D-GLCP, , H5,3.56, , , , note
A-D-GLCP, , H61,3.81, , , , note
A-D-GLCP, , H62,3.95, , , , note
A-D-GLCP,6, H1,4.92, , , , note
A-D-GLCP,6, H2,3.52, , , , note
A-D-GLCP,6, H3,3.68, , , , note
A-D-GLCP,6, H4,3.5, , , , note
A-D-GLCP,6, H5,3.56, , , , note
A-D-GLCP,6, H61,3.81, , , , note
A-D-GLCP,6, H62,3.95, , , , note
A-D-GLCP, , C1,98.76, , , , note
A-D-GLCP, , C2,71.25, , , , note
A-D-GLCP, , C3,74.6, , , , note
A-D-GLCP, , C4,70.79, , , , note
A-D-GLCP, , C5,72.47, , , , note
A-D-GLCP, , C6,66.74, , , , note
A-D-GLCP,6, C1,98.76, , , , note
A-D-GLCP,6, C2,71.25, , , , note
A-D-GLCP,6, C3,74.6, , , , note
A-D-GLCP,6, C4,70.79, , , , note
A-D-GLCP,6, C5,72.47, , , , note
A-D-GLCP,6, C6,66.74, , , , note
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
