MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
D-GalNAc-ol, , H2,4.404, , ,0, 
D-GalNAc-ol, , H3,4.081, , ,0, 
D-GalNAc-ol, , H4,3.541, , ,0, 
D-GalNAc-ol, , H5,4.193, , ,0, 
D-GalNAc-ol, , H6,3.76, , ,0, 
D-GalNAc-ol, , NAC,2.058, , ,0, 
b-D-Galp,3, H1,4.525, , ,0, 
b-D-Galp,3, H4,3.971, , ,0, 
a-D-GlcpNAc," 4,3", H1,4.869, , ,0, 
a-D-GlcpNAc," 4,3", H4,3.542, , ,0, 
a-D-GlcpNAc," 4,3", H5,4.183, , ,0, 
a-D-GlcpNAc," 4,3", NAC,2.089, , ,0,
D-GalNAc-ol, , C1,61.3, , ,0, 
D-GalNAc-ol, , C2,52.1, , ,0, 
D-GalNAc-ol, , C3,77.1, , ,0, 
D-GalNAc-ol, , C4,70.2, , ,0, 
D-GalNAc-ol, , C5,69.8, , ,0, 
D-GalNAc-ol, , C6,63.4, , ,0, 
b-D-Galp,3, C1,104.9, , ,0, 
b-D-Galp,3, C2,70.4, , ,0, 
b-D-Galp,3, C3,72.7, , ,0, 
b-D-Galp,3, C4,77.6, , ,0, 
b-D-Galp,3, C5,76.1, , ,0, 
b-D-Galp,3, C6,61.1, , ,0, 
a-D-GlcpNAc," 4,3", C1,98.6, , ,0, 
a-D-GlcpNAc," 4,3", C2,54.8, , ,0, 
a-D-GlcpNAc," 4,3", C3,71.6, , ,0, 
a-D-GlcpNAc," 4,3", C4,71, , ,0, 
a-D-GlcpNAc," 4,3", C5,72.7, , ,0, 
a-D-GlcpNAc," 4,3", C6,60.8, , ,0,
