MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
allyl, , H11,3.93, , ,0, 
allyl, , H12,3.83, , ,0, 
allyl, , H2,5.98, , ,0, 
allyl, , H31,5.23, , ,0, 
allyl, , H32,5.35, , ,0, 
a-D-Kdop,1, H31,1.92, 3a, 3e,-13, 
a-D-Kdop,1, H32,2.02, 3a,4,11.5, 
a-D-Kdop,1, H4,4.15, 3e,4,5.5, 
a-D-Kdop,1, H5,4.08,4,5,3, 
a-D-Kdop,1, H6,3.56,5,6,0.5, 
a-D-Kdop,1, H7,3.95,6,7,8.5, 
a-D-Kdop,1, H81,3.61,7,8,7, 
a-D-Kdop,1, H82,3.93,7, 8',3.2, 
a-D-Kdop,1, ,0,8, 8',-12, 
a-D-Kdop," 4,1", H31,1.78, 3a, 3e,-13, 
a-D-Kdop," 4,1", H32,2.14, 3a,4,11.5, 
a-D-Kdop," 4,1", H4,4.1, 3e,4,4.5, 
a-D-Kdop," 4,1", H5,4.05,4,5,2.5, 
a-D-Kdop," 4,1", H6,3.62,5,6,0.5, 
a-D-Kdop," 4,1", H7,4,6,7,8, 
a-D-Kdop," 4,1", H81,3.74,7,8,7.5, 
a-D-Kdop," 4,1", H82,3.96,7, 8',3.5, 
allyl, , C1,65, , ,0, 
allyl, , C2,135, , ,0, 
allyl, , C3,118.2, , ,0, 
a-D-Kdop,1, C1,176, , ,0, 
a-D-Kdop,1, C2,101, , ,0, 
a-D-Kdop,1, C3,34.2, , ,0, 
a-D-Kdop,1, C4,69.5, , ,0, 
a-D-Kdop,1, C5,65.2, , ,0, 
a-D-Kdop,1, C6,72.4, , ,0, 
a-D-Kdop,1, C7,70.5, , ,0, 
a-D-Kdop,1, C8,64, , ,0, 
a-D-Kdop," 4,1", C1,176.8, , ,0, 
a-D-Kdop," 4,1", C2,110.2, , ,0, 
a-D-Kdop," 4,1", C3,35.4, , ,0, 
a-D-Kdop," 4,1", C4,66.8, , ,0, 
a-D-Kdop," 4,1", C5,67.2, , ,0, 
a-D-Kdop," 4,1", C6,73.3, , ,0, 
a-D-Kdop," 4,1", C7,70.9, , ,0, 
a-D-Kdop," 4,1", C8,64, , ,0,
