MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
allyl, , H11,4.31, , ,0, 
allyl, , H12,4.12, , ,0, 
allyl, , H2,5.9, , ,0, 
allyl, , H31,5.24, , ,0, 
allyl, , H32,5.3, , ,0, 
b-D-GlcpNAc,1, H1,4.56,1,2,8.5, 
b-D-GlcpNAc,1, H2,3.74,2,3,10.3, 
b-D-GlcpNAc,1, H3,3.49, , ,0, 
b-D-GlcpNAc,1, H4,3.47, , ,0, 
b-D-GlcpNAc,1, H5,3.55, , ,0, 
b-D-GlcpNAc,1, H61,3.57, , ,0, 
b-D-GlcpNAc,1, H62,3.57, , ,0, 
b-D-GlcpNAc,1, NAC,2.02, , ,0, 
a-D-Kdop," 6,1", H31,1.9, 3a, 3e,-13, 
a-D-Kdop," 6,1", H32,2.01, 3a,4,11.9, 
a-D-Kdop," 6,1", H4,4.12, 3e,4,4.9, 
a-D-Kdop," 6,1", H5,4.09,4,5,2, 
a-D-Kdop," 6,1", H6,3.61,5,6,0.8, 
a-D-Kdop," 6,1", H7,3.91,6,7,9, 
a-D-Kdop," 6,1", H81,3.58, , ,0, 
a-D-Kdop," 6,1", H82,3.9,7, 8',2.7, 
a-D-Kdop," 4,6,1", H31,1.74, 3a, 3e,-13.4, 
a-D-Kdop," 4,6,1", H32,2.13, 3a,4,11.9, 
a-D-Kdop," 4,6,1", H4,4.05, 3e,4,5, 
a-D-Kdop," 4,6,1", H5,4.02,4,5,3, 
a-D-Kdop," 4,6,1", H6,3.59,5,6,0.8, 
a-D-Kdop," 4,6,1", H7,3.96,6,7,8.9, 
a-D-Kdop," 4,6,1", H81,3.72,7,8,6.8, 
a-D-Kdop," 4,6,1", H82,3.99,7, 8',2.9, 
allyl, , C1,71.2, , ,0, 
allyl, , C2,134.2, , ,0, 
allyl, , C3,118.7, , ,0, 
b-D-GlcpNAc,1, C1,101.1, , ,0, 
b-D-GlcpNAc,1, C2,56.4, , ,0, 
b-D-GlcpNAc,1, C3,75, , ,0, 
b-D-GlcpNAc,1, C4,71.1, , ,0, 
b-D-GlcpNAc,1, C5,75.1, , ,0, 
b-D-GlcpNAc,1, C6,62.4, , ,0, 
b-D-GlcpNAc,1, CO,175.7, , ,0, 
b-D-GlcpNAc,1, CH3,23, , ,0, 
a-D-Kdop," 6,1", C1,175.4, , ,0, 
a-D-Kdop," 6,1", C2,100.6, , ,0, 
a-D-Kdop," 6,1", C3,34.1, , ,0, 
a-D-Kdop," 6,1", C4,69.2, , ,0, 
a-D-Kdop," 6,1", C5,65, , ,0, 
a-D-Kdop," 6,1", C6,72.3, , ,0, 
a-D-Kdop," 6,1", C7,70.4, , ,0, 
a-D-Kdop," 6,1", C8,64.2, , ,0, 
a-D-Kdop," 4,6,1", C1,176.4, , ,0, 
a-D-Kdop," 4,6,1", C2,100.1, , ,0, 
a-D-Kdop," 4,6,1", C3,35.3, , ,0, 
a-D-Kdop," 4,6,1", C4,66.7, , ,0, 
a-D-Kdop," 4,6,1", C5,67, , ,0, 
a-D-Kdop," 4,6,1", C6,73.3, , ,0, 
a-D-Kdop," 4,6,1", C7,70.5, , ,0, 
a-D-Kdop," 4,6,1", C8,64.2, , ,0,
