MHz,300,,,,,,
Temperature,297,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-GlcpNAc, , H1,4.88,1,2,3.6, 
a-D-GlcpNAc, , H2,3.9,2,3,10.7, 
a-D-GlcpNAc, , H3,3.74,3,4,8.8, 
a-D-GlcpNAc, , H4,3.41, , ,0, 
a-D-GlcpNAc, , H5,3.83,5,6,8.5, 
a-D-GlcpNAc, , H61,4.17,5, 6',1.7, 
a-D-GlcpNAc, , H62,3.67,6, 6',11.4, 
b-D-GlcpNAc,6, H1,4.52,1,2,8.4, 
b-D-GlcpNAc,6, H2,3.76,2,3,10.1, 
b-D-GlcpNAc,6, H3,3.51,3,4,8.8, 
b-D-GlcpNAc,6, H4,3.44,4,5,10.1, 
b-D-GlcpNAc,6, H5,3.58, , ,0, 
b-D-GlcpNAc,6, H61,3.63, , ,0, 
b-D-GlcpNAc,6, H62,3.51, , ,0, 
a-D-Kdop," 6,6", H31,1.91, 3a, 3e,13.1, 
a-D-Kdop," 6,6", H32,2.01, 3a,4,11.8, 
a-D-Kdop," 6,6", H4,4.14, 3e,4,5, 
a-D-Kdop," 6,6", H5,4.08,4,5,3.1, 
a-D-Kdop," 6,6", H6,3.63, , ,0, 
a-D-Kdop," 6,6", H7,3.91, , ,0, 
a-D-Kdop," 6,6", H81,3.89, , ,0, 
a-D-Kdop," 6,6", H82,3.56, , ,0, 
a-D-Kdop," 4,6,6", H31,1.75, 3a, 3e,13, 
a-D-Kdop," 4,6,6", H32,2.13, 3a,4,11.5, 
a-D-Kdop," 4,6,6", H4,4.06, 3e,4,4.7, 
a-D-Kdop," 4,6,6", H5,4.03,4,5,2.7, 
a-D-Kdop," 4,6,6", H6,3.61, , ,0, 
a-D-Kdop," 4,6,6", H7,3.97, , ,0, 
a-D-Kdop," 4,6,6", H81,4, , ,0, 
a-D-Kdop," 4,6,6", H82,3.74, , ,0,
Allyl, , C1,69.1, , ,0, 
Allyl, , C2,134.5, , ,0, 
Allyl, , C3,119.1, , ,0, 
a-D-GlcpNAc,1, C1,96.8, , ,0, 
a-D-GlcpNAc,1, C2,54.6, , ,0, 
a-D-GlcpNAc,1, C3,72, , ,0, 
a-D-GlcpNAc,1, C4,71.1, , ,0, 
a-D-GlcpNAc,1, C5,71.9, , ,0, 
a-D-GlcpNAc,1, C6,70, , ,0, 
a-D-GlcpNAc,1, CO,175.2, , ,0, a
a-D-GlcpNAc,1, CH3,22.9, , ,0, b
b-D-GlcpNAc," 6,1", C1,102.6, , ,0, 
b-D-GlcpNAc," 6,1", C2,56.5, , ,0, 
b-D-GlcpNAc," 6,1", C3,75, , ,0, 
b-D-GlcpNAc," 6,1", C4,71.6, , ,0, 
b-D-GlcpNAc," 6,1", C5,75.4, , ,0, 
b-D-GlcpNAc," 6,1", C6,63.1, , ,0, 
b-D-GlcpNAc," 6,1", CO,175.3, , ,0, a
b-D-GlcpNAc," 6,1", CH3,23.3, , ,0, b
a-D-Kdop," 6,6,1", C1,175.7, , ,0, 
a-D-Kdop," 6,6,1", C2,100.9, , ,0, 
a-D-Kdop," 6,6,1", C3,34.3, , ,0, 
a-D-Kdop," 6,6,1", C4,69.6, , ,0, 
a-D-Kdop," 6,6,1", C5,65.5, , ,0, 
a-D-Kdop," 6,6,1", C6,72.5, , ,0, 
a-D-Kdop," 6,6,1", C7,70.8, , ,0, 
a-D-Kdop," 6,6,1", C8,64.3, , ,0, 
a-D-Kdop," 4,6,6,1", C1,176.6, , ,0, 
a-D-Kdop," 4,6,6,1", C2,100.5, , ,0, 
a-D-Kdop," 4,6,6,1", C3,35.5, , ,0, 
a-D-Kdop," 4,6,6,1", C4,66.9, , ,0, 
a-D-Kdop," 4,6,6,1", C5,67.2, , ,0, 
a-D-Kdop," 4,6,6,1", C6,73.5, , ,0, 
a-D-Kdop," 4,6,6,1", C7,70.9, , ,0, 
a-D-Kdop," 4,6,6,1", C8,64.3, , ,0,
