MHz,300,,,,,,
Temperature,297,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-GlcpNAc, , H1,4.58,1,2,8.5, 
b-D-GlcpNAc, , H2,3.75,2,3,10.2, 
b-D-GlcpNAc, , H3,3.57,3,4,8.8, 
b-D-GlcpNAc, , H4,3.48,4,5,8.9, 
b-D-GlcpNAc, , H5,3.61, , ,0, 
b-D-GlcpNAc, , H6,4.24,5, 6',1, 
b-D-GlcpNAc, , H6,3.69,6, 6',10.5, 
b-D-GlcpNAc,6, H1,4.58,1,2,8.4, 
b-D-GlcpNAc,6, H2,3.78,2,3,10, 
b-D-GlcpNAc,6, H3,3.57,3,4,9.1, 
b-D-GlcpNAc,6, H4,3.43,4,5,9.1, 
b-D-GlcpNAc,6, H5,3.61, , ,0, 
b-D-GlcpNAc,6, H6,3.67, , ,0, 
a-D-Kdop," 6,6", H31,1.97, 3a, 3e,12.7, 
a-D-Kdop," 6,6", H32,2.06, 3a,4,11.8, 
a-D-Kdop," 6,6", H4,4.18, 3e,4,5.6, 
a-D-Kdop," 6,6", H5,4.12, , ,0, 
a-D-Kdop," 6,6", H6,3.67, , ,0, 
a-D-Kdop," 6,6", H7,3.97, , ,0, 
a-D-Kdop," 6,6", H81,3.94, , ,0, 
a-D-Kdop," 6,6", H82,3.77, , ,0, 
a-D-Kdop," 4,6,6", H31,1.8, 3a, 3e,13.4, 
a-D-Kdop," 4,6,6", H32,2.19, 3a,4,11.8, 
a-D-Kdop," 4,6,6", H4,4.12, 3e,4,4.5, 
a-D-Kdop," 4,6,6", H5,4.08,4,5,2.8, 
a-D-Kdop," 4,6,6", H6,3.65, , ,0, 
a-D-Kdop," 4,6,6", H7,4.04, , ,0, 
a-D-Kdop," 4,6,6", H8,3.81, , ,0,
Allyl, , C1,71.2, , ,0, 
Allyl, , C2,134.3, , ,0, 
Allyl, , C3,119.3, , ,0, 
b-D-GlcpNAc,1, C1,101, , ,0, 
b-D-GlcpNAc,1, C2,56.5, , ,0, 
b-D-GlcpNAc,1, C3,75.1, , ,0, 
b-D-GlcpNAc,1, C4,71.1, , ,0, 
b-D-GlcpNAc,1, C5,75.8, , ,0, 
b-D-GlcpNAc,1, C6,70.1, , ,0, 
b-D-GlcpNAc,1, CO,175.6, , ,0, a
b-D-GlcpNAc,1, CH3,23.2, , ,0, b
b-D-GlcpNAc," 6,1", C1,102.5, , ,0, 
b-D-GlcpNAc," 6,1", C2,56.6, , ,0, 
b-D-GlcpNAc," 6,1", C3,75, , ,0, 
b-D-GlcpNAc," 6,1", C4,71.6, , ,0, 
b-D-GlcpNAc," 6,1", C5,75.5, , ,0, 
b-D-GlcpNAc," 6,1", C6,63.2, , ,0, 
b-D-GlcpNAc," 6,1", CO,175.3, , ,0, a
b-D-GlcpNAc," 6,1", CH3,23.4, , ,0, b
a-D-Kdop," 6,6,1", C1,175.7, , ,0, 
a-D-Kdop," 6,6,1", C2,100.9, , ,0, 
a-D-Kdop," 6,6,1", C3,34.3, , ,0, 
a-D-Kdop," 6,6,1", C4,69.5, , ,0, 
a-D-Kdop," 6,6,1", C5,65.5, , ,0, 
a-D-Kdop," 6,6,1", C6,72.6, , ,0, 
a-D-Kdop," 6,6,1", C7,70.8, , ,0, 
a-D-Kdop," 6,6,1", C8,64.4, , ,0, 
a-D-Kdop," 4,6,6,1", C1,176.7, , ,0, 
a-D-Kdop," 4,6,6,1", C2,100.4, , ,0, 
a-D-Kdop," 4,6,6,1", C3,35.5, , ,0, 
a-D-Kdop," 4,6,6,1", C4,67, , ,0, 
a-D-Kdop," 4,6,6,1", C5,67.3, , ,0, 
a-D-Kdop," 4,6,6,1", C6,73.6, , ,0, 
a-D-Kdop," 4,6,6,1", C7,70.9, , ,0, 
a-D-Kdop," 4,6,6,1", C8,64.5, , ,0,
