MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
allyl, , H11,4.29, , ,0, 
allyl, , H12,4.14, , ,0, 
allyl, , H2,5.98, , ,0, 
allyl, , H31,5.24, , ,0, 
allyl, , H32,5.35, , ,0, 
b-D-GlcpNAc,1, H1,4.53,1,2,8.5, 
b-D-GlcpNAc,1, H2,3.7,2,3,10.1, 
b-D-GlcpNAc,1, H3,3.49,3,4,8.9, 
b-D-GlcpNAc,1, H4,3.43,4,5,8.8, 
b-D-GlcpNAc,1, H5,3.56, , ,0, 
b-D-GlcpNAc,1, H61,3.58, , ,0, 
b-D-GlcpNAc,1, H62,3.6, , ,0, 
b-D-GlcpNAc,1, NAC,2.01, , ,0, 
a-D-Kdop," 6,1", H31,1.79, 3a, 3e,-13.1, 
a-D-Kdop," 6,1", H32,2.06, 3a,4,12, 
a-D-Kdop," 6,1", H4,4.07, 3e,4,5.1, 
a-D-Kdop," 6,1", H5,4.01,4,5,3, 
a-D-Kdop," 6,1", H6,3.66,5,6,0.5, 
a-D-Kdop," 6,1", H7,3.94,6,7,9.4, 
a-D-Kdop," 6,1", H81,3.63,7,8,7.5, 
a-D-Kdop," 6,1", H82,3.92,7, 8',3, 
allyl, , C1,71.4, , ,0, 
allyl, , C2,134.3, , ,0, 
allyl, , C3,118.7, , ,0, 
b-D-GlcpNAc,1, C1,101, , ,0, 
b-D-GlcpNAc,1, C2,56.3, , ,0, 
b-D-GlcpNAc,1, C3,74.8, , ,0, 
b-D-GlcpNAc,1, C4,71.3, , ,0, 
b-D-GlcpNAc,1, C5,75, , ,0, 
b-D-GlcpNAc,1, C6,62.8, , ,0, 
b-D-GlcpNAc,1, CO,176, , ,0, 
b-D-GlcpNAc,1, CH3,23, , ,0, 
a-D-Kdop," 6,1", C1,175.7, , ,0, 
a-D-Kdop," 6,1", C2,100.7, , ,0, 
a-D-Kdop," 6,1", C3,34.9, , ,0, 
a-D-Kdop," 6,1", C4,66.9, , ,0, 
a-D-Kdop," 6,1", C5,67.1, , ,0, 
a-D-Kdop," 6,1", C6,72.4, , ,0, 
a-D-Kdop," 6,1", C7,70.3, , ,0, 
a-D-Kdop," 6,1", C8,64.1, , ,0,
