MHz,300,,,,,,
Temperature,297,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-GlcpNAc, , H1,4.92,1,2,3.6, 
a-D-GlcpNAc, , H2,3.93,2,3,10.8, 
a-D-GlcpNAc, , H3,3.77, , ,0, 
a-D-GlcpNAc, , H4,3.47, , ,0, 
a-D-GlcpNAc, , H5,3.87,5,6,8.5, 
a-D-GlcpNAc, , H61,4.18,5, 6',1.5, 
a-D-GlcpNAc, , H62,3.71, , ,0, 
b-D-GlcpNAc,6, H1,4.55,1,2,8.5, 
b-D-GlcpNAc,6, H2,3.78,2,3,10.2, 
b-D-GlcpNAc,6, H3,3.57,3,4,8.8, 
b-D-GlcpNAc,6, H4,3.45,4,5,9.9, 
b-D-GlcpNAc,6, H5,3.63, , ,0, 
b-D-GlcpNAc,6, H61,3.69, , ,0, 
b-D-GlcpNAc,6, H62,3.64, , ,0, 
a-D-Kdop," 6,6", H31,1.84, 3a, 3e,12.3, 
a-D-Kdop," 6,6", H32,2.11, 3a,4,12.1, 
a-D-Kdop," 6,6", H4,4.11, 3e,4,5.1, 
a-D-Kdop," 6,6", H5,4.06,4,5,3.3, 
a-D-Kdop," 6,6", H6,3.71,6,7,9.5, 
a-D-Kdop," 6,6", H7,3.99, , ,0, 
a-D-Kdop," 6,6", H81,3.98, , ,0, 
a-D-Kdop," 6,6", H82,3.73, , ,0,
Allyl, , C1,69.4, , ,0, 
Allyl, , C2,134.7, , ,0, 
Allyl, , C3,119.2, , ,0, 
a-D-GlcpNAc,1, C1,97.1, , ,0, 
a-D-GlcpNAc,1, C2,54.7, , ,0, 
a-D-GlcpNAc,1, C3,72.3, , ,0, 
a-D-GlcpNAc,1, C4,71.4, , ,0, 
a-D-GlcpNAc,1, C5,71.9, , ,0, 
a-D-GlcpNAc,1, C6,69.8, , ,0, 
a-D-GlcpNAc,1, CO,175.5, , ,0, 
a-D-GlcpNAc,1, CH3,23, , ,0, a
b-D-GlcpNAc," 6,1", C1,102.7, , ,0, 
b-D-GlcpNAc," 6,1", C2,56.6, , ,0, 
b-D-GlcpNAc," 6,1", C3,75, , ,0, 
b-D-GlcpNAc," 6,1", C4,71.9, , ,0, 
b-D-GlcpNAc," 6,1", C5,75.3, , ,0, 
b-D-GlcpNAc," 6,1", C6,63.4, , ,0, 
b-D-GlcpNAc," 6,1", CO,175.5, , ,0, 
b-D-GlcpNAc," 6,1", CH3,23.4, , ,0, a
a-D-Kdop," 6,6,1", C1,176, , ,0, 
a-D-Kdop," 6,6,1", C2,101, , ,0, 
a-D-Kdop," 6,6,1", C3,35.2, , ,0, 
a-D-Kdop," 6,6,1", C4,67.2, , ,0, 
a-D-Kdop," 6,6,1", C5,67.5, , ,0, 
a-D-Kdop," 6,6,1", C6,72.7, , ,0, 
a-D-Kdop," 6,6,1", C7,70.7, , ,0, 
a-D-Kdop," 6,6,1", C8,64.5, , ,0,
