MHz,300,,,,,,
Temperature,297,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-GlcpNAc, , H1,4.56,1,2,8.5, 
b-D-GlcpNAc, , H2,3.71,2,3,10.3, 
b-D-GlcpNAc, , H3,3.54,3,4,9, 
b-D-GlcpNAc, , H4,3.37,4,5,9.7, 
b-D-GlcpNAc, , H5,3.6, , ,0, 
b-D-GlcpNAc, , H61,4.22,5, 6',1.5, 
b-D-GlcpNAc, , H62,3.69,6, 6',10.9, 
b-D-GlcpNAc,6, H1,4.55,1,2,8.4, 
b-D-GlcpNAc,6, H2,3.76,2,3,10.1, 
b-D-GlcpNAc,6, H3,3.55,3,4,8.8, 
b-D-GlcpNAc,6, H4,3.46, , ,0, 
b-D-GlcpNAc,6, H5,3.59, , ,0, 
b-D-GlcpNAc,6, H61,3.67, , ,0, 
b-D-GlcpNAc,6, H62,3.61, , ,0, 
a-D-Kdop," 6,6", H31,1.83, 3a, 3e,13, 
a-D-Kdop," 6,6", H32,2.11, 3a,4,12, 
a-D-Kdop," 6,6", H4,4.1, 3e,4,5, 
a-D-Kdop," 6,6", H5,4.05,4,5,3.1, 
a-D-Kdop," 6,6", H6,3.68, , ,0, 
a-D-Kdop," 6,6", H7,3.97, , ,0, 
a-D-Kdop," 6,6", H81,3.96, , ,0, 
a-D-Kdop," 6,6", H82,3.69, , ,0, 
