MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
allyl, , H11,4.28, , ,0, 
allyl, , H12,4.13, , ,0, 
allyl, , H2,5.92, , ,0, 
allyl, , H31,5.25, , ,0, 
allyl, , H32,5.31, , ,0, 
b-D-GlcpNAc,1, H1,4.57,1,2,8.5, 
b-D-GlcpNAc,1, H2,3.7,2,3,10.3, 
b-D-GlcpNAc,1, H3,3.52,3,4,9, 
b-D-GlcpNAc,1, H4,3.37,4,5,9.7, 
b-D-GlcpNAc,1, H5,3.56,5,6,6.7, 
b-D-GlcpNAc,1, H61,3.48,5, 6',2.9, 
b-D-GlcpNAc,1, H62,3.6,6, 6',-10.1, 
b-D-GlcpNAc,1, NAC,2.02, , ,0, 
a-D-Kdop," 6,1", H31,1.88, 3a, 3e,-13.1, 
a-D-Kdop," 6,1", H32,2.02, 3a,4,11.7, 
a-D-Kdop," 6,1", H4,4.04, 3e,4,5, 
a-D-Kdop," 6,1", H5,4.11,4,5,2.9, 
a-D-Kdop," 6,1", H6,3.69,5,6,1, 
a-D-Kdop," 6,1", H7,3.92,6,7,8.8, 
a-D-Kdop," 6,1", H81,3.61,7,8,7, 
a-D-Kdop," 6,1", H82,3.9,7, 8',2.5, 
a-D-Kdop," 4,6,1", H31,1.79, 3a, 3e,-13.1, 
a-D-Kdop," 4,6,1", H32,2.1, 3a,4,12, 
a-D-Kdop," 4,6,1", H4,4.06, 3e,4,5, 
a-D-Kdop," 4,6,1", H5,4.07, , ,0, 
a-D-Kdop," 4,6,1", H6,3.78,5,6,0.8, 
a-D-Kdop," 4,6,1", H7,4.16,6,7,4.6, 
a-D-Kdop," 4,6,1", H81,3.58,7,8,7, 
a-D-Kdop," 4,6,1", H82,3.58, , ,0, 
a-D-Kdop," 8,4,6,1", H31,1.78, 3a, 3e,-13.1, 
a-D-Kdop," 8,4,6,1", H32,2.02, 3a,4,12, 
a-D-Kdop," 8,4,6,1", H4,4.08, 3e,4,5, 
a-D-Kdop," 8,4,6,1", H5,4.05, , ,0, 
a-D-Kdop," 8,4,6,1", H6,3.67,5,6,1, 
a-D-Kdop," 8,4,6,1", H7,3.92,6,7,8.9, 
a-D-Kdop," 8,4,6,1", H81,3.71,7,8,6.5, 
a-D-Kdop," 8,4,6,1", H82,3.91,7, 8',2.5, 
allyl, , C1,71.4, , ,0, 
allyl, , C2,134.3, , ,0, 
allyl, , C3,118.6, , ,0, 
b-D-GlcpNAc,1, C1,101, , ,0, 
b-D-GlcpNAc,1, C2,56.4, , ,0, 
b-D-GlcpNAc,1, C3,74.8, , ,0, 
b-D-GlcpNAc,1, C4,71.7, , ,0, 
b-D-GlcpNAc,1, C5,75.1, , ,0, 
b-D-GlcpNAc,1, C6,63.2, , ,0, 
b-D-GlcpNAc,1, CO,175.4, , ,0, 
b-D-GlcpNAc,1, CH3,23, , ,0, 
a-D-Kdop," 6,1", C1,175.4, , ,0, 
a-D-Kdop," 6,1", C2,100.7, , ,0, 
a-D-Kdop," 6,1", C3,34.3, , ,0, 
a-D-Kdop," 6,1", C4,70.5, , ,0, 
a-D-Kdop," 6,1", C5,65.6, , ,0, 
a-D-Kdop," 6,1", C6,72.1, , ,0, 
a-D-Kdop," 6,1", C7,70.4, , ,0, 
a-D-Kdop," 6,1", C8,64.1, , ,0, 
a-D-Kdop," 4,6,1", C1,175.9, , ,0, 
a-D-Kdop," 4,6,1", C2,100.6, , ,0, 
a-D-Kdop," 4,6,1", C3,35.4, , ,0, 
a-D-Kdop," 4,6,1", C4,66.7, , ,0, 
a-D-Kdop," 4,6,1", C5,68, , ,0, 
a-D-Kdop," 4,6,1", C6,72.6, , ,0, 
a-D-Kdop," 4,6,1", C7,71.3, , ,0, 
a-D-Kdop," 4,6,1", C8,64, , ,0, 
a-D-Kdop," 8,4,6,1", C1,175.7, , ,0, 
a-D-Kdop," 8,4,6,1", C2,101.4, , ,0, 
a-D-Kdop," 8,4,6,1", C3,35, , ,0, 
a-D-Kdop," 8,4,6,1", C4,66.8, , ,0, 
a-D-Kdop," 8,4,6,1", C5,67.2, , ,0, 
a-D-Kdop," 8,4,6,1", C6,72.1, , ,0, 
a-D-Kdop," 8,4,6,1", C7,70.2, , ,0, 
a-D-Kdop," 8,4,6,1", C8,63.9, , ,0,
