MHz,300,,,,,,
Temperature,297,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-GlcpNAc, , H1,4.9,1,2,3.7, 
a-D-GlcpNAc, , H2,3.94,2,3,10.6, 
a-D-GlcpNAc, , H3,3.69, , ,0, 
a-D-GlcpNAc, , H4,3.51,4,5,8.9, 
a-D-GlcpNAc, , H5,3.83, , ,0, 
b-D-GlcpNAc,6, H1,4.59,1,2,8.4, 
b-D-GlcpNAc,6, H2,3.74,2,3,10, 
b-D-GlcpNAc,6, H3,3.56,3,4,9.1, 
b-D-GlcpNAc,6, H4,3.32,4,5,9.1, 
b-D-GlcpNAc,6, H5,3.61, , ,0, 
b-D-GlcpNAc,6, H6,3.74, , ,0, 
a-D-Kdop," 6,6", H31,1.89, , ,0, 
a-D-Kdop," 6,6", H32,2, 3a,4,11.7, 
a-D-Kdop," 6,6", H4,4.08, , ,0, 
a-D-Kdop," 6,6", H5,4.09, , ,0, 
a-D-Kdop," 6,6", H6,3.71, , ,0, 
a-D-Kdop," 6,6", H7,3.94, , ,0, 
a-D-Kdop," 6,6", H81,3.89, , ,0, 
a-D-Kdop," 6,6", H82,3.68, , ,0, 
a-D-Kdop," 4,6,6", H31,1.79, 3a, 3e,13, 
a-D-Kdop," 4,6,6", H32,2.14, 3a,4,12, 
a-D-Kdop," 4,6,6", H4,4.09, 3e,4,5, 
a-D-Kdop," 4,6,6", H5,4.08, , ,0, 
a-D-Kdop," 4,6,6", H6,3.76, , ,0, 
a-D-Kdop," 4,6,6", H7,4.19, , ,0, 
a-D-Kdop," 8,4,6,6", H31,1.8, 3a, 3e,12.4, 
a-D-Kdop," 8,4,6,6", H32,2.03, , ,0, 
a-D-Kdop," 8,4,6,6", H4,4.08, , ,0, 
a-D-Kdop," 8,4,6,6", H5,4.08, , ,0, 
a-D-Kdop," 8,4,6,6", H6,3.71, , ,0, 
a-D-Kdop," 8,4,6,6", H7,3.96, , ,0,
Allyl, , C1,69.1, , ,0, 
Allyl, , C2,134.6, , ,0, 
Allyl, , C3,119.1, , ,0, 
a-D-GlcpNAc,1, C1,96.8, , ,0, 
a-D-GlcpNAc,1, C2,54.7, , ,0, 
a-D-GlcpNAc,1, C3,72.1, , ,0, 
a-D-GlcpNAc,1, C4,71, , ,0, 
a-D-GlcpNAc,1, C5,72, , ,0, 
a-D-GlcpNAc,1, C6,70.5, , ,0, 
a-D-GlcpNAc,1, CO,175.4, , ,0, a
a-D-GlcpNAc,1, CH3,22.9, , ,0, b
b-D-GlcpNAc," 6,1", C1,102.4, , ,0, 
b-D-GlcpNAc," 6,1", C2,56.6, , ,0, 
b-D-GlcpNAc," 6,1", C3,75, , ,0, 
b-D-GlcpNAc," 6,1", C4,72.3, , ,0, 
b-D-GlcpNAc," 6,1", C5,75.4, , ,0, 
b-D-GlcpNAc," 6,1", C6,63.7, , ,0, 
b-D-GlcpNAc," 6,1", CO,175.2, , ,0, a
b-D-GlcpNAc," 6,1", CH3,23.3, , ,0, b
a-D-Kdop," 6,6,1", C1,176, , ,0, 
a-D-Kdop," 6,6,1", C2,101.6, , ,0, 
a-D-Kdop," 6,6,1", C3,34.6, , ,0, 
a-D-Kdop," 6,6,1", C4,70.7, , ,0, 
a-D-Kdop," 6,6,1", C5,66.1, , ,0, 
a-D-Kdop," 6,6,1", C6,72.3, , ,0, 
a-D-Kdop," 6,6,1", C7,70.8, , ,0, 
a-D-Kdop," 6,6,1", C8,64.4, , ,0, 
a-D-Kdop," 4,6,6,1", C1,176.4, , ,0, 
a-D-Kdop," 4,6,6,1", C2,100.9, , ,0, 
a-D-Kdop," 4,6,6,1", C3,35.5, , ,0, 
a-D-Kdop," 4,6,6,1", C4,66.9, , ,0, 
a-D-Kdop," 4,6,6,1", C5,68.1, , ,0, 
a-D-Kdop," 4,6,6,1", C6,72.8, , ,0, 
a-D-Kdop," 4,6,6,1", C7,71.4, , ,0, 
a-D-Kdop," 4,6,6,1", C8,64.4, , ,0, 
a-D-Kdop," 8,4,6,6,1", C1,176.8, , ,0, 
a-D-Kdop," 8,4,6,6,1", C2,100.7, , ,0, 
a-D-Kdop," 8,4,6,6,1", C3,35.3, , ,0, 
a-D-Kdop," 8,4,6,6,1", C4,67, , ,0, 
a-D-Kdop," 8,4,6,6,1", C5,67.5, , ,0, 
a-D-Kdop," 8,4,6,6,1", C6,72.3, , ,0, 
a-D-Kdop," 8,4,6,6,1", C7,70.4, , ,0, 
a-D-Kdop," 8,4,6,6,1", C8,64.1, , ,0,
