MHz,300,,,,,,
Temperature,297,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,
b-D-GlcpNAc, , H1,4.57,1,2,8.5,
b-D-GlcpNAc, , H2,3.76,2,3,10,
b-D-GlcpNAc, , H3,3.57,3,4,8.7,
b-D-GlcpNAc, , H4,3.49,4,5,8.9,
b-D-GlcpNAc, , H61,4.2, , ,0,
b-D-GlcpNAc, , H62,3.69, , ,0,
b-D-GlcpNAc,6, H1,4.65,1,2,8.4,
b-D-GlcpNAc,6, H2,3.77,2,3,10.3,
b-D-GlcpNAc,6, H3,3.61,3,4,8.9,
b-D-GlcpNAc,6, H4,3.36,4,5,8.9,
b-D-GlcpNAc,6, H5,3.68, , ,0,
a-D-Kdop," 6,6", H31,1.93, , ,0,
a-D-Kdop," 6,6", H32,2.07, 3a,4,11.9,
a-D-Kdop," 6,6", H4,4.12, , ,0,
a-D-Kdop," 6,6", H5,4.13, , ,0,
a-D-Kdop," 6,6", H6,3.73, , ,0,
a-D-Kdop," 6,6", H7,3.93, , ,0,
a-D-Kdop," 6,6", H8,3.97, , ,0,
a-D-Kdop," 4,6,6", H31,1.84, 3a, 3e,13.2,
a-D-Kdop," 4,6,6", H32,2.18, 3a,4,12.7,
a-D-Kdop," 4,6,6", H4,4.12, 3e,4,4.8,
a-D-Kdop," 4,6,6", H5,4.11, , ,0,
a-D-Kdop," 4,6,6", H6,3.81, , ,0,
a-D-Kdop," 4,6,6", H7,4.21, , ,0,
a-D-Kdop," 8,4,6,6", H31,1.85, 3a, 3e,12.9,
a-D-Kdop," 8,4,6,6", H32,2.04, , ,0,
a-D-Kdop," 8,4,6,6", H4,4.13, , ,0,
a-D-Kdop," 8,4,6,6", H5,4.11, , ,0,
a-D-Kdop," 8,4,6,6", H6,3.73, , ,0,Note
a-D-Kdop," 8,4,6,6", H7,3.99, , ,0, 
Allyl, , C1,71.1, , ,0, 
Allyl, , C2,134.3, , ,0, 
Allyl, , C3,119.3, , ,0, 
b-D-GlcpNAc,1, C1,100.9, , ,0, 
b-D-GlcpNAc,1, C2,56.4, , ,0, 
b-D-GlcpNAc,1, C3,75, , ,0, 
b-D-GlcpNAc,1, C4,70.8, , ,0, 
b-D-GlcpNAc,1, C5,75.8, , ,0, 
b-D-GlcpNAc,1, C6,70.3, , ,0, 
b-D-GlcpNAc,1, CO,175.6, , ,0, a
b-D-GlcpNAc,1, CH3,23.2, , ,0, b
b-D-GlcpNAc," 6,1", C1,102.2, , ,0, 
b-D-GlcpNAc," 6,1", C2,56.6, , ,0, 
b-D-GlcpNAc," 6,1", C3,74.9, , ,0, 
b-D-GlcpNAc," 6,1", C4,72.1, , ,0, 
b-D-GlcpNAc," 6,1", C5,75.5, , ,0, 
b-D-GlcpNAc," 6,1", C6,63.6, , ,0, 
b-D-GlcpNAc," 6,1", CO,175.3, , ,0, a
b-D-GlcpNAc," 6,1", CH3,23.3, , ,0, b
a-D-Kdop," 6,6,1", C1,176, , ,0, 
a-D-Kdop," 6,6,1", C2,101.4, , ,0, 
a-D-Kdop," 6,6,1", C3,34.5, , ,0, 
a-D-Kdop," 6,6,1", C4,70.6, , ,0, 
a-D-Kdop," 6,6,1", C5,66, , ,0, 
a-D-Kdop," 6,6,1", C6,72.2, , ,0, 
a-D-Kdop," 6,6,1", C7,70.8, , ,0, 
a-D-Kdop," 6,6,1", C8,64.3, , ,0, 
a-D-Kdop," 4,6,6,1", C1,176.5, , ,0, 
a-D-Kdop," 4,6,6,1", C2,100.9, , ,0, 
a-D-Kdop," 4,6,6,1", C3,35.5, , ,0, 
a-D-Kdop," 4,6,6,1", C4,66.9, , ,0, 
a-D-Kdop," 4,6,6,1", C5,68, , ,0, 
a-D-Kdop," 4,6,6,1", C6,72.8, , ,0, 
a-D-Kdop," 4,6,6,1", C7,71.3, , ,0, 
a-D-Kdop," 4,6,6,1", C8,64.3, , ,0, 
a-D-Kdop," 8,4,6,6,1", C1,175.7, , ,0, 
a-D-Kdop," 8,4,6,6,1", C2,100.6, , ,0, 
a-D-Kdop," 8,4,6,6,1", C3,35.3, , ,0, 
a-D-Kdop," 8,4,6,6,1", C4,67, , ,0, 
a-D-Kdop," 8,4,6,6,1", C5,67.5, , ,0, 
a-D-Kdop," 8,4,6,6,1", C6,72.2, , ,0, 
a-D-Kdop," 8,4,6,6,1", C7,70.3, , ,0, 
a-D-Kdop," 8,4,6,6,1", C8,64.1, , ,0,
