MHz,270,,,,,,
Temperature,303,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Ser, , HA,3.97, , ,0, 
Ser, , HB1,4.12, , ,0, 
Ser, , HB2,3.88, , ,0, 
a-D-Manp,3, H1,5.12, , ,0, 
a-D-Manp,3, H2,4, , ,0, 
a-D-Manp,3, H3,3.95, , ,0, 
a-D-Manp,3, H4,3.69, , ,0, 
a-D-Manp,3, H5,3.64, , ,0, 
a-D-Manp,3, H61,3.91, , ,0, 
a-D-Manp,3, H62,3.77, , ,0, 
a-D-Manp," 2,3", H1,5.02, , ,0, 
a-D-Manp," 2,3", H2,4.06, , ,0, 
a-D-Manp," 2,3", H3,3.83, , ,0, 
a-D-Manp," 2,3", H4,3.62, , ,0, 
a-D-Manp," 2,3", H5,3.76, , ,0, 
a-D-Manp," 2,3", H61,3.9, , ,0, 
a-D-Manp," 2,3", H62,3.72, , ,0,
Ser, , CO,172.69, , ,0, 
Ser, , CA,55.43, , ,0, 
Ser, , CB,67.4, , ,0, 
a-D-Manp,3, C1,99.73, , ,0, 
a-D-Manp,3, C2,79.07, , ,0, 
a-D-Manp,3, C3,70.8, , ,0, 
a-D-Manp,3, C4,67.72, , ,0, 
a-D-Manp,3, C5,73.98, , ,0, 
a-D-Manp,3, C6,61.81, , ,0, 
a-D-Manp," 2,3", C1,102.96, , ,0, 
a-D-Manp," 2,3", C2,70.8, , ,0, 
a-D-Manp," 2,3", C3,71.17, , ,0, 
a-D-Manp," 2,3", C4,67.72, , ,0, 
a-D-Manp," 2,3", C5,74.1, , ,0, 
a-D-Manp," 2,3", C6,61.97, , ,0,
