MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Monosaccharid, , H1,5.22, , , , note
Monosaccharid, , H2,3.9, , , , note
Monosaccharid, , H3,3.87, , , , note
Monosaccharid, , H4,3.83, , , , note
Monosaccharid, , H5,4.04, , , , note
Monosaccharid, , C1,94.8, , , , note
Monosaccharid, , C2,71.42, , , , note
Monosaccharid, , C3,71.1, , , , note
Monosaccharid, , C4,69.95, , , , note
Monosaccharid, , C5,73.68, , , , note
Monosaccharid, , C6,177.58, , , , note
