MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Monosaccharid, , H1,4.87, , , , note
Monosaccharid, , H2,3.82, , , , note
Monosaccharid, , H3,3.93, , , , note
Monosaccharid, , H4,3.87, , , , note
Monosaccharid, , H5,3.62, , , , note
Monosaccharid, , H6,3.92, , , , note
Monosaccharid, , C1,96.3, , , , note
Monosaccharid, , C2,73, , , , note
Monosaccharid, , C3,72.2, , , , note
Monosaccharid, , C4,70.1, , , , note
Monosaccharid, , C5,65.8, , , , note
