MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Note,Reference signal unknown,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,
D-Glc-ol, , H12,3.676,1, 1',-11.8,
D-Glc-ol, , H11,3.742,1,2,4.3,
D-Glc-ol, , H2,3.922, 1',2,6.3,
D-Glc-ol, , H3,3.886,2,3,5,
D-Glc-ol, , H4,3.898,3,4,2.4,
D-Glc-ol, , H5,3.945,4,5,8.5,
D-Glc-ol, , H61,3.744,5,6,5.5,
D-Glc-ol, , H62,3.865,5, 6',3.1,
b-D-Glcp,4, H1,4.614,1,2,7.9,
b-D-Glcp,4, H2,3.349,2,3,9.4,
b-D-Glcp,4, H3,3.508,3,4,9.4,
b-D-Glcp,4, H4,3.558,4,5,9.4,
b-D-Glcp,4, H5,3.644,5,6,2.3,
b-D-Glcp,4, H61,3.744,5, 6',4.4,
b-D-Glcp,4, H62,3.962,6, 6',-11.3,
a-D-Xylp," 6,4", H1,4.934,1,2,3.7,
a-D-Xylp," 6,4", H2,3.541,2,3,9.8,
a-D-Xylp," 6,4", H3,3.677,3,4,9.1,
a-D-Xylp," 6,4", H4,3.623,4, 5a,10.2,
a-D-Xylp," 6,4", H51,3.544,4, 5e,5.1,
a-D-Xylp," 6,4", H52,3.711,5, 5',-11.1,
D-Glc-ol, , C1,63.5, , ,0,
D-Glc-ol, , C2,73.4, , ,0,
D-Glc-ol, , C3,70.5, , ,0,
D-Glc-ol, , C4,81, , ,0,
D-Glc-ol, , C5,72.4, , ,0,
D-Glc-ol, , C6,63.2, , ,0,
b-D-Glcp,4, C1,103.9, , ,0,
b-D-Glcp,4, C2,74.4, , ,0,
b-D-Glcp,4, C3,76.9, , ,0,Note
b-D-Glcp,4, C4,70.5, , ,0, 
b-D-Glcp,4, C5,75.5, , ,0, 
b-D-Glcp,4, C6,67, , ,0, 
a-D-Xylp," 6,4", C1,99.6, , ,0, 
a-D-Xylp," 6,4", C2,72.7, , ,0, 
a-D-Xylp," 6,4", C3,74.3, , ,0, 
a-D-Xylp," 6,4", C4,70.5, , ,0, 
a-D-Xylp," 6,4", C5,62.4, , ,0, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,,
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
,,,,,,, 
