MHz,500,,,,,,
Temperature,300,,,,,,
Solvent,D2O,,,,,,
Note,a)From Eur J. Biochem. (1981) 118: 487-495. At 360 MHz. b)Between 3.7 and 3.8 ppm.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
D-GalNAc-ol, , H1,3.73, , ,0, a
D-GalNAc-ol, , H12,3.75, , ,0," a,b"
D-GalNAc-ol, , H2,4.399, , ,0, 
D-GalNAc-ol, , H3,4.091, , ,0, 
D-GalNAc-ol, , H4,3.522, , ,0, 
D-GalNAc-ol, , H5,4.163, , ,0, 
D-GalNAc-ol, , H61,3.68, , ,0, 
D-GalNAc-ol, , H62,3.63, , ,0, a
D-GalNAc-ol, , NAC,2.046, , ,0, 
b-D-Galp,3, H1,4.584, , ,0, 
b-D-Galp,3, H2,3.688, , ,0, a
b-D-Galp,3, H3,3.88, , ,0, a
b-D-Galp,3, H4,3.926, , ,0, 
a-L-Fucp," 2,3", H1,5.256, , ,0, 
a-L-Fucp," 2,3", H5,4.279, , ,0, 
a-L-Fucp," 2,3", CH3,1.243, , ,0, 
D-GalNAc-ol, , C1,61.1, , ,0, 
D-GalNAc-ol, , C2,52.2, , ,0, 
D-GalNAc-ol, , C3,75.3, , ,0, 
D-GalNAc-ol, , C4,70.1, , ,0, 
D-GalNAc-ol, , C5,69.6, , ,0, 
D-GalNAc-ol, , C6,63.4, , ,0, 
b-D-Galp,3, C1,102.9, , ,0, 
b-D-Galp,3, C2,79.9, , ,0, 
b-D-Galp,3, C3,72.5, , ,0, 
b-D-Galp,3, C4,69.3, , ,0, 
b-D-Galp,3, C5,75.6, , ,0, 
b-D-Galp,3, C6,61.6, , ,0, 
a-L-Fucp," 2,3", C1,101.9, , ,0, 
a-L-Fucp," 2,3", C2,70.1, , ,0, 
a-L-Fucp," 2,3", C3,70.3, , ,0, 
a-L-Fucp," 2,3", C4,72.9, , ,0, 
a-L-Fucp," 2,3", C5,69.1, , ,0, 
a-L-Fucp," 2,3", C6,16.2, , ,0,
