MHz,0,,,,,,
Temperature,60,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker WM-250,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GALP1OME, , H1,4.42, , , , note
B-D-GALP1OME, , H2,3.53, , , , note
B-D-GALP1OME, , H3,3.84, , , , note
B-D-GALP1OME, , H4,3.92, , , , note
B-D-GALP1OME, , H6,3.755, , , , note
A-L-FUCP,2, H1,5.13, , , , note
A-L-FUCP,2, H2,3.78, , , , note
A-L-FUCP,2, H3,3.88, , , , note
A-L-FUCP,2, H4,3.81, , , , note
A-L-FUCP,2, H5,4.26, , , , note
A-L-FUCP,2, H6,1.21, , , , note
B-D-GALP1OME, , C1,104.1, , , , note
B-D-GALP1OME, , C2,79.6, , , , note
B-D-GALP1OME, , C3,74.7, , , , note
B-D-GALP1OME, , C4,70.1, , , , note
B-D-GALP1OME, , C5,76.2, , , , note
B-D-GALP1OME, , C6,62.3, , , , note
B-D-GALP1OME, , OMe,58.3, , , , note
A-L-FUCP,2, C1,101.4, , , , note
A-L-FUCP,2, C2,69.9, , , , note
A-L-FUCP,2, C3,71.1, , , , note
A-L-FUCP,2, C4,73.3, , , , note
A-L-FUCP,2, C5,68.1, , , , note
A-L-FUCP,2, C6,16.4, , , , note
