MHz,500,,,,,,
Temperature,40,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-FUCP3SO34SO3,1, H1,5.14, , , , note
A-L-FUCP3SO34SO3,1, H2,4.04, , , , note
A-L-FUCP3SO34SO3,1, H3,4.72, , , , note
A-L-FUCP3SO34SO3,1, H4,4.98, , , , note
A-L-FUCP3SO34SO3,1, H5,4.3, , , , note
A-L-FUCP3SO34SO3,1, H6,1.34, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", H1,5.36, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", H2,4.56, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", H3,4.75, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", H4,4.96, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", H5,4.66, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", H6,1.32, , , , note
A-L-FUCP3SO34SO3,1, C1,97.7, , , , note
A-L-FUCP3SO34SO3,1, C2,74.7, , , , note
A-L-FUCP3SO34SO3,1, C3,74.3, , , , note
A-L-FUCP3SO34SO3,1, C4,80.5, , , , note
A-L-FUCP3SO34SO3,1, C5,67.1, , , , note
A-L-FUCP3SO34SO3,1, C6,17, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", C1,98.3, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", C2,73.1, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", C3,73.5, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", C4,80.6, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", C5,67.9, , , , note
A-L-FUCP2SO33SO34SO3," 1, 2", C6,17, , , , note
