MHz,500,,,,,,
Temperature,303,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-FUCP2SO3, , H1,5.4, , , , note
A-L-FUCP2SO3, , H2,4.48, , , , note
A-L-FUCP2SO3, , H3,4.38, , , , note
A-L-FUCP2SO3, , H4,4.03, , , , note
A-L-FUCP2SO3, , H5,4.4, , , , note
A-L-FUCP2SO3, , H6,1.4, , , , note
A-L-FUCP2SO34SO3,4, H1,5.38, , , , note
A-L-FUCP2SO34SO3,4, H2,4.58, , , , note
A-L-FUCP2SO34SO3,4, H3,4.33, , , , note
A-L-FUCP2SO34SO3,4, H4,4.98, , , , note
A-L-FUCP2SO34SO3,4, H5,4.52, , , , note
A-L-FUCP2SO34SO3,4, H6,1.34, , , , note
A-L-FUCP2SO3, , C1,99.1, , , , note
A-L-FUCP2SO3, , C2,77.5, , , , note
A-L-FUCP2SO3, , C3,68.7, , , , note
A-L-FUCP2SO3, , C4,84, , , , note
A-L-FUCP2SO3, , C5,69.8, , , , note
A-L-FUCP2SO3, , C6,16.8, , , , note
A-L-FUCP2SO34SO3,4, C1,100.2, , , , note
A-L-FUCP2SO34SO3,4, C2,76, , , , note
A-L-FUCP2SO34SO3,4, C3,74.4, , , , note
A-L-FUCP2SO34SO3,4, C4,81.2, , , , note
A-L-FUCP2SO34SO3,4, C5,68.9, , , , note
A-L-FUCP2SO34SO3,4, C6,16.8, , , , note
