MHz,0,,,,,,
Temperature,60,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker WM-250,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCP1OME, , H1,4.38, , , , note
B-D-GLCP1OME, , H2,3.4, , , , note
B-D-GLCP1OME, , H3,3.61, , , , note
B-D-GLCP1OME, , H4,3.46, , , , note
B-D-GLCP1OME, , H5,3.51, , , , note
B-D-GLCP1OME, , H6a,3.74, , , , note
B-D-GLCP1OME, , H6b,3.93, , , , note
A-L-RHAP,3, H1,5.14, , , , note
A-L-RHAP,3, H2,4.06, , , , note
A-L-RHAP,3, H3,3.8, , , , note
A-L-RHAP,3, H4,3.47, , , , note
A-L-RHAP,3, H5,4, , , , note
A-L-RHAP,3, H6,1.27, , , , note
B-D-GLCP1OME, , C1,104.4, , , , note
B-D-GLCP1OME, , C2,74.8, , , , note
B-D-GLCP1OME, , C3,83.9, , , , note
B-D-GLCP1OME, , C4,69.7, , , , note
B-D-GLCP1OME, , C5,77.2, , , , note
B-D-GLCP1OME, , C6,62.3, , , , note
B-D-GLCP1OME, , OMe,58.3, , , , note
A-L-RHAP,3, C1,102.2, , , , note
A-L-RHAP,3, C2,71.7, , , , note
A-L-RHAP,3, C3,71.6, , , , note
A-L-RHAP,3, C4,73.4, , , , note
A-L-RHAP,3, C5,70.1, , , , note
A-L-RHAP,3, C6,17.8, , , , note
