MHz,500,,,,,,
Temperature,30,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX-500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-RHAP, , H1,5.05, , , , note
A-L-RHAP, , H2,4.04, , , , note
A-L-RHAP, , H3,3.77, , , , note
A-L-RHAP, , H4,3.49, , , , note
A-L-RHAP, , H5,3.71, , , , note
A-L-RHAP, , H6,1.31, , , , note
A-L-RHAP,1, H1,5.21, , , , note
A-L-RHAP,1, H2,4.14, , , , note
A-L-RHAP,1, H3,3.94, , , , note
A-L-RHAP,1, H4,3.42, , , , note
A-L-RHAP,1, H5,3.81, , , , note
A-L-RHAP,1, H6,1.27, , , , note
B-D-GLCPNAC," 1, 2", H1,4.57, , , , note
B-D-GLCPNAC," 1, 2", H2,3.81, , , , note
B-D-GLCPNAC," 1, 2", H3,3.75, , , , note
B-D-GLCPNAC," 1, 2", H4,3.69, , , , note
B-D-GLCPNAC," 1, 2", H5,3.44, , , , note
B-D-GLCPNAC," 1, 2", H61,3.76, , , , note
B-D-GLCPNAC," 1, 2", H62,3.85, , , , note
A-D-GALPA," 1, 2, 3", H1,5.29, , , , note
A-D-GALPA," 1, 2, 3", H2,3.9, , , , note
A-D-GALPA," 1, 2, 3", H3,4, , , , note
A-D-GALPA," 1, 2, 3", H4,4.39, , , , note
A-D-GALPA," 1, 2, 3", H5,4.28, , , , note
A-L-RHAP," 1, 2, 3, 4", H1,5.13, , , , note
A-L-RHAP," 1, 2, 3, 4", H2,4.14, , , , note
A-L-RHAP," 1, 2, 3, 4", H3,3.84, , , , note
A-L-RHAP," 1, 2, 3, 4", H4,3.46, , , , note
A-L-RHAP," 1, 2, 3, 4", H5,3.75, , , , note
A-L-RHAP," 1, 2, 3, 4", H6,1.24, , , , note
A-L-RHAP, , C1,103.6, , , , note
A-L-RHAP, , C2,71.4, , , , note
A-L-RHAP, , C3,71.5, , , , note
A-L-RHAP, , C4,73.3, , , , note
A-L-RHAP, , C5,70.5, , , , note
A-L-RHAP, , C6,18, , , , note
A-L-RHAP,1, C1,102.8, , , , note
A-L-RHAP,1, C2,79.6, , , , note
A-L-RHAP,1, C3,77.7, , , , note
A-L-RHAP,1, C4,73.7, , , , note
A-L-RHAP,1, C5,70.8, , , , note
A-L-RHAP,1, C6,17.9, , , , note
B-D-GLCPNAC," 1, 2", C1,104.2, , , , note
B-D-GLCPNAC," 1, 2", C2,55.8, , , , note
B-D-GLCPNAC," 1, 2", C3,82.8, , , , note
B-D-GLCPNAC," 1, 2", C4,71.6, , , , note
B-D-GLCPNAC," 1, 2", C5,76.4, , , , note
B-D-GLCPNAC," 1, 2", C6,61.5, , , , note
A-D-GALPA," 1, 2, 3", C1,102, , , , note
A-D-GALPA," 1, 2, 3", C2,69.6, , , , note
A-D-GALPA," 1, 2, 3", C3,71.4, , , , note
A-D-GALPA," 1, 2, 3", C4,78.3, , , , note
A-D-GALPA," 1, 2, 3", C5,72.4, , , , note
A-D-GALPA," 1, 2, 3", C6,175, , , , note
A-L-RHAP," 1, 2, 3, 4", C1,102.2, , , , note
A-L-RHAP," 1, 2, 3, 4", C2,71.5, , , , note
A-L-RHAP," 1, 2, 3, 4", C3,79.5, , , , note
A-L-RHAP," 1, 2, 3, 4", C4,72.8, , , , note
A-L-RHAP," 1, 2, 3, 4", C5,70.4, , , , note
A-L-RHAP," 1, 2, 3, 4", C6,17.9, , , , note
