MHz,600,,,,,,
Temperature,45,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Varian Inova 600,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCP, , H1,4.5, , , , note
B-D-GLCP, , H2,3.35, , , , note
B-D-GLCP, , H3,3.52, , , , note
B-D-GLCP, , H4,3.42, , , , note
B-D-GLCP, , H5,3.46, , , , note
B-D-GLCP, , H61,3.73, , , , note
B-D-GLCP, , H62,3.93, , , , note
A-D-GLCP,1, H1,4.92, , , , note
A-D-GLCP,1, H2,3.51, , , , note
A-D-GLCP,1, H3,3.74, , , , note
A-D-GLCP,1, H4,3.65, , , , note
A-D-GLCP,1, H5,4.31, , , , note
A-D-GLCP,1, H61,4.05, , , , note
A-D-GLCP,1, H62,4.33, , , , note
B-D-GALP," 1, 1", H1,4.49, , , , note
B-D-GALP," 1, 1", H2,3.68, , , , note
B-D-GALP," 1, 1", H3,3.83, , , , note
B-D-GALP," 1, 1", H4,4.24, , , , note
B-D-GALP," 1, 1", H5,3.77, , , , note
B-D-GALP," 1, 1", H61,3.82, , , , note
B-D-GALP," 1, 1", H62,3.87, , , , note
B-D-GALPNAC," 1, 1, 3", H1,4.71, , , , note
B-D-GALPNAC," 1, 1, 3", H2,3.96, , , , note
B-D-GALPNAC," 1, 1, 3", H3,3.81, , , , note
B-D-GALPNAC," 1, 1, 3", H4,4.05, , , , note
B-D-GALPNAC," 1, 1, 3", H5,3.67, , , , note
B-D-GALPNAC," 1, 1, 3", H61,3.78, , , , note
B-D-GALPNAC," 1, 1, 3", H62,3.86, , , , note
B-D-GALF," 1, 1, 3, 3", H1,5.09, , , , note
B-D-GALF," 1, 1, 3, 3", H2,4.1, , , , note
B-D-GALF," 1, 1, 3, 3", H3,4.05, , , , note
B-D-GALF," 1, 1, 3, 3", H4,4.05, , , , note
B-D-GALF," 1, 1, 3, 3", H5,4.01, , , , note
B-D-GALF," 1, 1, 3, 3", H61,3.74, , , , note
B-D-GALF," 1, 1, 3, 3", H62,4.07, , , , note
B-D-GLCP, , C1,103.5, , , , note
B-D-GLCP, , C2,74.1, , , , note
B-D-GLCP, , C3,76.6, , , , note
B-D-GLCP, , C4,70.6, , , , note
B-D-GLCP, , C5,76.8, , , , note
B-D-GLCP, , C6,61.8, , , , note
A-D-GLCP,1, C1,100, , , , note
A-D-GLCP,1, C2,72.9, , , , note
A-D-GLCP,1, C3,73.6, , , , note
A-D-GLCP,1, C4,69.7, , , , note
A-D-GLCP,1, C5,71.5, , , , note
A-D-GLCP,1, C6,68.8, , , , note
B-D-GALP," 1, 1", C1,104.4, , , , note
B-D-GALP," 1, 1", C2,71.8, , , , note
B-D-GALP," 1, 1", C3,81.6, , , , note
B-D-GALP," 1, 1", C4,76.4, , , , note
B-D-GALP," 1, 1", C5,76.2, , , , note
B-D-GALP," 1, 1", C6,60.7, , , , note
B-D-GALPNAC," 1, 1, 3", C1,104.2, , , , note
B-D-GALPNAC," 1, 1, 3", C2,52.2, , , , note
B-D-GALPNAC," 1, 1, 3", C3,79.3, , , , note
B-D-GALPNAC," 1, 1, 3", C4,70.6, , , , note
B-D-GALPNAC," 1, 1, 3", C5,75.8, , , , note
B-D-GALPNAC," 1, 1, 3", C6,62, , , , note
B-D-GALF," 1, 1, 3, 3", C1,110, , , , note
B-D-GALF," 1, 1, 3, 3", C2,82.2, , , , note
B-D-GALF," 1, 1, 3, 3", C3,78, , , , note
B-D-GALF," 1, 1, 3, 3", C4,84.2, , , , note
B-D-GALF," 1, 1, 3, 3", C5,70.5, , , , note
B-D-GALF," 1, 1, 3, 3", C6,72.2, , , , note
