MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Monosaccharid, , H1,4.68, , , , note
Monosaccharid, , H2,3.9, , , , note
Monosaccharid, , H3,3.77, , , , note
Monosaccharid, , H4,3.98, , , , note
Monosaccharid, , H5,3.72, , , , note
Monosaccharid, , H61,3.82, , , , note
Monosaccharid, , H62,3.84, , , , note
Monosaccharid, , CH3,2.06, , , , note
Monosaccharid, , C1,96.29, , , , note
Monosaccharid, , C2,54.8, , , , note
Monosaccharid, , C3,72.1, , , , note
Monosaccharid, , C4,68.85, , , , note
Monosaccharid, , C5,75.98, , , , note
Monosaccharid, , C6,61.89, , , , note
Monosaccharid, , CH3,73.12, , , , note
Monosaccharid, , CO,175.78, , , , note
