MHz,600,,,,,,
Temperature,0,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX 600,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCP, , H1,4.65, , , , note
B-D-GLCP, , H2,3.27, , , , note
B-D-GLCP, , H3,3.59, , , , note
B-D-GLCP, , H4,3.74, , , , note
B-D-GLCP, , H5,3.59, , , , note
B-D-GLCP, , H61,3.83, , , , note
B-D-GLCP, , H62,3.96, , , , note
B-D-GLCP,4, H1,4.53, , , , note
B-D-GLCP,4, H2,3.28, , , , note
B-D-GLCP,4, H3,3.51, , , , note
B-D-GLCP,4, H4,3.29, , , , note
B-D-GLCP,4, H5,3.5, , , , note
B-D-GLCP,4, H61,3.67, , , , note
B-D-GLCP,4, H62,3.95, , , , note
B-D-GLCP, , C1,97, , , , note
B-D-GLCP, , C2,76, , , , note
B-D-GLCP, , C3,82.3, , , , note
B-D-GLCP, , C4,76, , , , note
B-D-GLCP, , C5,76.3, , , , note
B-D-GLCP, , C6,60.8, , , , note
B-D-GLCP,4, C1,103, , , , note
B-D-GLCP,4, C2,74.5, , , , note
B-D-GLCP,4, C3,76.5, , , , note
B-D-GLCP,4, C4,70.9, , , , note
B-D-GLCP,4, C5,77.7, , , , note
B-D-GLCP,4, C6,62.6, , , , note
